Title:               Administrative and Waste Services Earnings in North Carolina
Series ID:           NCEADM
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01    4845396
1998-04-01    4816776
1998-07-01    5047840
1998-10-01    5170024
1999-01-01    5107688
1999-04-01    5255912
1999-07-01    5292604
1999-10-01    5403144
2000-01-01    5500272
2000-04-01    5677860
2000-07-01    5661876
2000-10-01    5657308
2001-01-01    6116196
2001-04-01    5991280
2001-07-01    5823312
2001-10-01    5805460
2002-01-01    6077660
2002-04-01    6282228
2002-07-01    6359636
2002-10-01    6386808
2003-01-01    6365388
2003-04-01    6435196
2003-07-01    6480788
2003-10-01    6765288
2004-01-01    6586572
2004-04-01    6867244
2004-07-01    7147204
2004-10-01    7258860
2005-01-01    7324472
2005-04-01    7381624
2005-07-01    7631120
2005-10-01    7778968
2006-01-01    8064228
2006-04-01    8235512
2006-07-01    8400416
2006-10-01    8661696
2007-01-01    8975568
2007-04-01    9238552
2007-07-01    8981764
2007-10-01    9214160
2008-01-01    9250336
2008-04-01    9212956
2008-07-01    9137356
2008-10-01    9156316
2009-01-01    8595756
2009-04-01    8417836
2009-07-01    8613540
2009-10-01    8918576
2010-01-01    9210988
2010-04-01    9420964
2010-07-01    9651484
2010-10-01    9871652
2011-01-01   10388508
2011-04-01   10328208
2011-07-01   10459444
2011-10-01   10614152
2012-01-01   11133284
2012-04-01   10953636
2012-07-01   12307196
2012-10-01   11462236
2013-01-01   11382960
2013-04-01   11612676
2013-07-01   11769640
2013-10-01   12122552
2014-01-01   12409748
2014-04-01   12602964
2014-07-01   12698004
2014-10-01   13220684
2015-01-01   12815568
2015-04-01   13029816
2015-07-01   13185152
2015-10-01   13332488
2016-01-01   13415352
2016-04-01   13484732
2016-07-01   13577412
2016-10-01   14000936
2017-01-01   14268448
2017-04-01   14349168
2017-07-01   14547932
2017-10-01   14461448
2018-01-01   14709271
2018-04-01   14809148
2018-07-01   15058216
