Title:               Forestry, Fishing, Related Activities, and Other Earnings in North Carolina
Series ID:           NCEFOR
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE          VALUE
1998-01-01   416604
1998-04-01   444524
1998-07-01   445152
1998-10-01   454412
1999-01-01   441416
1999-04-01   423788
1999-07-01   421688
1999-10-01   422720
2000-01-01   409064
2000-04-01   412160
2000-07-01   462284
2000-10-01   566432
2001-01-01   436468
2001-04-01   462224
2001-07-01   485840
2001-10-01   510084
2002-01-01   501724
2002-04-01   479848
2002-07-01   479140
2002-10-01   465808
2003-01-01   451748
2003-04-01   466652
2003-07-01   487120
2003-10-01   509576
2004-01-01   476504
2004-04-01   517784
2004-07-01   514944
2004-10-01   521388
2005-01-01   415808
2005-04-01   454544
2005-07-01   485952
2005-10-01   562204
2006-01-01   538764
2006-04-01   510136
2006-07-01   507264
2006-10-01   526156
2007-01-01   470624
2007-04-01   490624
2007-07-01   490712
2007-10-01   475020
2008-01-01   456104
2008-04-01   446404
2008-07-01   454172
2008-10-01   484884
2009-01-01   491452
2009-04-01   515576
2009-07-01   545348
2009-10-01   507164
2010-01-01   681004
2010-04-01   663692
2010-07-01   660744
2010-10-01   639468
2011-01-01   614976
2011-04-01   609324
2011-07-01   649792
2011-10-01   656780
2012-01-01   766780
2012-04-01   751144
2012-07-01   740720
2012-10-01   740664
2013-01-01   767600
2013-04-01   751404
2013-07-01   770812
2013-10-01   790360
2014-01-01   776588
2014-04-01   816512
2014-07-01   817408
2014-10-01   832444
2015-01-01   828872
2015-04-01   798668
2015-07-01   866464
2015-10-01   868988
2016-01-01   808716
2016-04-01   814256
2016-07-01   831240
2016-10-01   810792
2017-01-01   825104
2017-04-01   823696
2017-07-01   818552
2017-10-01   824092
2018-01-01   829263
2018-04-01   847169
2018-07-01   815158
