Title:               All Employees: Education and Health Services in North Carolina
Series ID:           NCEDUH
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:33 PM CST
Notes:               

DATE        VALUE
1990-01-01  231.8
1990-02-01  233.2
1990-03-01  234.3
1990-04-01  235.4
1990-05-01  236.1
1990-06-01  237.3
1990-07-01  238.8
1990-08-01  240.9
1990-09-01  241.6
1990-10-01  241.9
1990-11-01  243.4
1990-12-01  244.4
1991-01-01  247.0
1991-02-01  246.5
1991-03-01  247.3
1991-04-01  248.1
1991-05-01  249.2
1991-06-01  250.3
1991-07-01  251.0
1991-08-01  252.3
1991-09-01  253.8
1991-10-01  254.4
1991-11-01  255.6
1991-12-01  256.9
1992-01-01  259.3
1992-02-01  260.1
1992-03-01  261.2
1992-04-01  262.4
1992-05-01  265.6
1992-06-01  268.0
1992-07-01  270.6
1992-08-01  272.3
1992-09-01  274.0
1992-10-01  275.9
1992-11-01  277.2
1992-12-01  279.8
1993-01-01  281.9
1993-02-01  284.3
1993-03-01  285.9
1993-04-01  286.3
1993-05-01  286.6
1993-06-01  287.3
1993-07-01  288.3
1993-08-01  289.2
1993-09-01  290.0
1993-10-01  291.1
1993-11-01  291.5
1993-12-01  292.5
1994-01-01  292.0
1994-02-01  292.0
1994-03-01  293.3
1994-04-01  295.2
1994-05-01  296.3
1994-06-01  298.3
1994-07-01  298.9
1994-08-01  299.7
1994-09-01  301.5
1994-10-01  301.9
1994-11-01  303.4
1994-12-01  304.7
1995-01-01  306.2
1995-02-01  306.7
1995-03-01  308.3
1995-04-01  309.0
1995-05-01  310.8
1995-06-01  312.9
1995-07-01  312.6
1995-08-01  313.6
1995-09-01  315.2
1995-10-01  317.0
1995-11-01  318.7
1995-12-01  320.1
1996-01-01  319.5
1996-02-01  320.8
1996-03-01  323.5
1996-04-01  323.8
1996-05-01  325.9
1996-06-01  326.9
1996-07-01  328.1
