Title:               Earnings by Place of Work in North Carolina
Series ID:           NCEPLA
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Please visit http://research.stlouisfed.org/fred2/personalincome for
                     documentation on the derivation of personal income.

DATE             VALUE
1998-01-01   145979708
1998-04-01   148436940
1998-07-01   152178544
1998-10-01   155906588
1999-01-01   157137537
1999-04-01   158251213
1999-07-01   160931129
1999-10-01   163476433
2000-01-01   166490159
2000-04-01   169776611
2000-07-01   172358523
2000-10-01   173221607
2001-01-01   173847172
2001-04-01   174907460
2001-07-01   173614900
2001-10-01   174083808
2002-01-01   174113156
2002-04-01   176416764
2002-07-01   177134504
2002-10-01   177163152
2003-01-01   179248936
2003-04-01   181108148
2003-07-01   184336300
2003-10-01   188814156
2004-01-01   191708500
2004-04-01   195948580
2004-07-01   200824616
2004-10-01   203442232
2005-01-01   208328900
2005-04-01   209379776
2005-07-01   212846912
2005-10-01   215520840
2006-01-01   226266452
2006-04-01   227645376
2006-07-01   229687104
2006-10-01   234683228
2007-01-01   245584840
2007-04-01   244772784
2007-07-01   244188644
2007-10-01   246812596
2008-01-01   257962164
2008-04-01   256410184
2008-07-01   256878448
2008-10-01   258771040
2009-01-01   235938844
2009-04-01   241595624
2009-07-01   245779972
2009-10-01   249357964
2010-01-01   241128576
2010-04-01   244567692
2010-07-01   244300016
2010-10-01   245051824
2011-01-01   246169068
2011-04-01   246929736
2011-07-01   248349324
2011-10-01   248409560
2012-01-01   263946468
2012-04-01   266245616
2012-07-01   268224696
2012-10-01   269871896
2013-01-01   265630140
2013-04-01   266264816
2013-07-01   266497940
2013-10-01   268648636
2014-01-01   276064568
2014-04-01   277153816
2014-07-01   281545892
2014-10-01   285346976
2015-01-01   290196384
2015-04-01   292495228
2015-07-01   295837408
2015-10-01   297492104
2016-01-01   299931920
2016-04-01   300621636
2016-07-01   304429272
2016-10-01   310197088
2017-01-01   314470564
2017-04-01   317399724
2017-07-01   320060216
2017-10-01   323084280
2018-01-01   327725756
2018-04-01   333335417
2018-07-01   334550418
