Title:               Real Estate, Rental and Leasing Earnings in North Carolina
Series ID:           NCEREA
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE           VALUE
1998-01-01   2217000
1998-04-01   2305340
1998-07-01   2413916
1998-10-01   2479632
1999-01-01   2472080
1999-04-01   2510204
1999-07-01   2539808
1999-10-01   2577316
2000-01-01   2461776
2000-04-01   2517100
2000-07-01   2534288
2000-10-01   2557500
2001-01-01   2514588
2001-04-01   2561760
2001-07-01   2580384
2001-10-01   2571256
2002-01-01   2635392
2002-04-01   2717084
2002-07-01   2684792
2002-10-01   2705900
2003-01-01   2669456
2003-04-01   2724928
2003-07-01   2833344
2003-10-01   2817584
2004-01-01   2863696
2004-04-01   3039524
2004-07-01   3052372
2004-10-01   3046792
2005-01-01   3153548
2005-04-01   3253248
2005-07-01   3331948
2005-10-01   3296744
2006-01-01   4071416
2006-04-01   4145252
2006-07-01   4053984
2006-10-01   4182780
2007-01-01   3834348
2007-04-01   3639844
2007-07-01   3517196
2007-10-01   3447140
2008-01-01   4531212
2008-04-01   4667156
2008-07-01   4628032
2008-10-01   4408440
2009-01-01   2482116
2009-04-01   2466308
2009-07-01   2430464
2009-10-01   2456312
2010-01-01   1908372
2010-04-01   1936864
2010-07-01   1967488
2010-10-01   1954016
2011-01-01   1996912
2011-04-01   2019440
2011-07-01   2072412
2011-10-01   2071744
2012-01-01   3189268
2012-04-01   3228468
2012-07-01   3263472
2012-10-01   3385820
2013-01-01   4149656
2013-04-01   4226804
2013-07-01   4294904
2013-10-01   4291056
2014-01-01   4875072
2014-04-01   4945996
2014-07-01   5079608
2014-10-01   5348940
2015-01-01   5544864
2015-04-01   5725204
2015-07-01   5881652
2015-10-01   5935932
2016-01-01   6241708
2016-04-01   6426852
2016-07-01   6566908
2016-10-01   6704336
2017-01-01   6740872
2017-04-01   6739984
2017-07-01   6815512
2017-10-01   6969916
2018-01-01   7075202
2018-04-01   7121846
2018-07-01   7180872
