Title:               Transportation and Warehousing Earnings in North Carolina
Series ID:           NCETRA
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01    5462636
1998-04-01    5651056
1998-07-01    5742568
1998-10-01    5861840
1999-01-01    5632500
1999-04-01    5735984
1999-07-01    5898408
1999-10-01    6119744
2000-01-01    5971932
2000-04-01    6197960
2000-07-01    6193864
2000-10-01    6226360
2001-01-01    6247352
2001-04-01    6228472
2001-07-01    6066296
2001-10-01    5911532
2002-01-01    5872696
2002-04-01    5851792
2002-07-01    5790140
2002-10-01    5751016
2003-01-01    5867156
2003-04-01    5741980
2003-07-01    5921128
2003-10-01    6015064
2004-01-01    6046456
2004-04-01    6212760
2004-07-01    6341960
2004-10-01    6398812
2005-01-01    6355688
2005-04-01    6408816
2005-07-01    6436592
2005-10-01    6500724
2006-01-01    6484000
2006-04-01    6558720
2006-07-01    6654584
2006-10-01    6685780
2007-01-01    6870420
2007-04-01    6978740
2007-07-01    6928688
2007-10-01    6934444
2008-01-01    6844412
2008-04-01    6655592
2008-07-01    6580928
2008-10-01    6612232
2009-01-01    6254984
2009-04-01    6246068
2009-07-01    6334664
2009-10-01    6436632
2010-01-01    6314840
2010-04-01    6467944
2010-07-01    6576032
2010-10-01    6620936
2011-01-01    6888936
2011-04-01    6895364
2011-07-01    6945476
2011-10-01    7030276
2012-01-01    7150992
2012-04-01    7286256
2012-07-01    7233696
2012-10-01    7314112
2013-01-01    7300736
2013-04-01    7400040
2013-07-01    7401312
2013-10-01    7827060
2014-01-01    7816300
2014-04-01    8012620
2014-07-01    8103040
2014-10-01    8216000
2015-01-01    8485872
2015-04-01    8634796
2015-07-01    8762168
2015-10-01    8772500
2016-01-01    8630360
2016-04-01    8737580
2016-07-01    8802644
2016-10-01    9003048
2017-01-01    9347312
2017-04-01    9297476
2017-07-01    9546856
2017-10-01    9664568
2018-01-01   10144666
2018-04-01   10017637
2018-07-01   10122985
