Title:               Civilian Labor Force in Vance County, NC
Series ID:           NCVANC1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  20395
1990-02-01  20321
1990-03-01  20483
1990-04-01  20498
1990-05-01  20811
1990-06-01  20860
1990-07-01  20443
1990-08-01  20198
1990-09-01  19976
1990-10-01  20141
1990-11-01  20163
1990-12-01  19921
1991-01-01  20110
1991-02-01  20116
1991-03-01  20198
1991-04-01  20338
1991-05-01  20954
1991-06-01  20739
1991-07-01  20786
1991-08-01  20709
1991-09-01  20582
1991-10-01  20788
1991-11-01  20423
1991-12-01  20247
1992-01-01  20305
1992-02-01  20490
1992-03-01  20144
1992-04-01  20407
1992-05-01  21018
1992-06-01  20999
1992-07-01  21241
1992-08-01  20649
1992-09-01  20781
1992-10-01  20775
1992-11-01  20410
1992-12-01  20279
1993-01-01  19843
1993-02-01  19803
1993-03-01  19744
1993-04-01  20036
1993-05-01  20393
1993-06-01  20481
1993-07-01  20222
1993-08-01  20060
1993-09-01  19889
1993-10-01  19746
1993-11-01  19550
1993-12-01  19542
1994-01-01  19348
1994-02-01  19389
1994-03-01  19451
1994-04-01  19344
1994-05-01  19913
1994-06-01  20346
1994-07-01  20092
1994-08-01  20092
1994-09-01  19890
1994-10-01  19767
1994-11-01  19706
1994-12-01  19277
1995-01-01  19284
1995-02-01  19127
1995-03-01  19120
1995-04-01  19368
1995-05-01  19841
1995-06-01  20104
1995-07-01  19594
1995-08-01  19468
1995-09-01  19336
1995-10-01  19668
1995-11-01  19877
1995-12-01  19572
1996-01-01  19858
1996-02-01  19417
1996-03-01  19429
1996-04-01  19500
1996-05-01  20494
1996-06-01  20331
1996-07-01  20643
1996-08-01  20055
1996-09-01  20051
1996-10-01  20346
1996-11-01  20354
1996-12-01  20093
1997-01-01  19876
1997-02-01  19664
1997-03-01  19943
1997-04-01  20129
1997-05-01  20458
1997-06-01  20317
1997-07-01  20454
1997-08-01  20244
1997-09-01  20001
1997-10-01  19953
1997-11-01  19831
1997-12-01  19653
1998-01-01  19805
1998-02-01  19374
1998-03-01  19335
1998-04-01  19268
1998-05-01  19883
1998-06-01  19617
1998-07-01  19626
1998-08-01  19867
1998-09-01  19823
1998-10-01  19688
1998-11-01  19763
1998-12-01  19508
1999-01-01  19819
1999-02-01  19805
1999-03-01  19814
1999-04-01  20485
1999-05-01  20529
1999-06-01  20098
1999-07-01  20560
1999-08-01  20299
1999-09-01  19997
1999-10-01  20199
1999-11-01  20257
1999-12-01  19890
2000-01-01  19940
2000-02-01  20044
2000-03-01  20168
2000-04-01  20376
2000-05-01  20463
2000-06-01  20612
2000-07-01  20447
2000-08-01  20447
2000-09-01  20407
2000-10-01  20282
2000-11-01  20243
2000-12-01  20142
2001-01-01  20438
2001-02-01  20459
2001-03-01  20582
2001-04-01  20501
2001-05-01  20315
2001-06-01  20127
2001-07-01  20143
2001-08-01  20028
2001-09-01  20117
2001-10-01  20064
2001-11-01  20034
2001-12-01  20098
2002-01-01  19991
2002-02-01  20199
2002-03-01  20036
2002-04-01  19938
2002-05-01  20128
2002-06-01  19690
2002-07-01  20103
2002-08-01  20088
2002-09-01  20104
2002-10-01  20009
2002-11-01  19883
2002-12-01  19667
2003-01-01  20005
2003-02-01  20352
2003-03-01  20061
2003-04-01  20210
2003-05-01  20277
2003-06-01  20332
2003-07-01  19778
2003-08-01  19704
2003-09-01  19668
2003-10-01  19842
2003-11-01  19727
2003-12-01  19435
2004-01-01  19581
2004-02-01  19539
2004-03-01  19417
2004-04-01  19389
2004-05-01  19282
2004-06-01  18995
2004-07-01  18915
2004-08-01  19251
2004-09-01  19257
2004-10-01  19229
2004-11-01  19429
2004-12-01  19310
2005-01-01  18913
2005-02-01  18914
2005-03-01  18882
2005-04-01  18925
2005-05-01  18933
2005-06-01  18842
2005-07-01  18818
2005-08-01  19130
2005-09-01  18902
2005-10-01  19232
2005-11-01  19271
2005-12-01  18944
2006-01-01  18776
2006-02-01  18869
2006-03-01  18751
2006-04-01  18748
2006-05-01  19014
2006-06-01  18724
2006-07-01  18524
2006-08-01  18799
2006-09-01  18738
2006-10-01  18812
2006-11-01  18872
2006-12-01  18647
2007-01-01  19668
2007-02-01  19611
2007-03-01  19697
2007-04-01  19674
2007-05-01  19703
2007-06-01  19651
2007-07-01  19471
2007-08-01  19535
2007-09-01  19542
2007-10-01  19616
2007-11-01  19698
2007-12-01  19596
2008-01-01  19403
2008-02-01  19259
2008-03-01  19327
2008-04-01  19448
2008-05-01  19659
2008-06-01  19557
2008-07-01  19212
2008-08-01  19483
2008-09-01  19627
2008-10-01  19490
2008-11-01  20024
2008-12-01  19772
2009-01-01  19466
2009-02-01  19510
2009-03-01  19416
2009-04-01  19472
2009-05-01  19424
2009-06-01  19410
2009-07-01  19120
2009-08-01  19248
2009-09-01  19336
2009-10-01  19319
2009-11-01  19438
2009-12-01  19203
2010-01-01  18973
2010-02-01  18977
2010-03-01  19057
2010-04-01  19231
2010-05-01  19292
2010-06-01  19000
2010-07-01  18887
2010-08-01  19113
2010-09-01  19151
2010-10-01  18790
2010-11-01  18940
2010-12-01  18806
2011-01-01  18804
2011-02-01  18782
2011-03-01  18786
2011-04-01  18733
2011-05-01  18797
2011-06-01  18482
2011-07-01  18452
2011-08-01  18569
2011-09-01  18724
2011-10-01  18667
2011-11-01  18593
2011-12-01  18355
2012-01-01  18882
2012-02-01  18931
2012-03-01  18895
2012-04-01  18393
2012-05-01  18615
2012-06-01  18283
2012-07-01  18248
2012-08-01  18338
2012-09-01  18434
2012-10-01  18401
2012-11-01  18307
2012-12-01  18101
2013-01-01  18447
2013-02-01  18436
2013-03-01  18373
2013-04-01  18246
2013-05-01  18322
2013-06-01  18134
2013-07-01  17936
2013-08-01  17939
2013-09-01  18103
2013-10-01  17947
2013-11-01  17898
2013-12-01  17758
2014-01-01  18059
2014-02-01  18219
2014-03-01  18224
2014-04-01  17998
2014-05-01  18264
2014-06-01  17981
2014-07-01  17872
2014-08-01  18055
2014-09-01  18159
2014-10-01  18080
2014-11-01  18014
2014-12-01  17824
2015-01-01  17954
2015-02-01  18123
2015-03-01  18135
2015-04-01  18253
2015-05-01  18456
2015-06-01  18154
2015-07-01  17988
2015-08-01  17974
2015-09-01  17914
2015-10-01  17974
2015-11-01  17854
2015-12-01  17782
2016-01-01  17784
2016-02-01  17946
2016-03-01  18057
2016-04-01  18109
2016-05-01  18081
2016-06-01  17955
2016-07-01  17893
2016-08-01  17844
2016-09-01  18023
2016-10-01  18063
2016-11-01  18055
2016-12-01  18000
2017-01-01  18024
2017-02-01  18107
2017-03-01  18181
2017-04-01  18022
2017-05-01  17988
2017-06-01  17692
2017-07-01  17740
2017-08-01  17722
2017-09-01  17926
2017-10-01  17840
2017-11-01  17826
2017-12-01  17699
2018-01-01  17862
2018-02-01  17961
2018-03-01  18020
2018-04-01  17898
2018-05-01  18088
2018-06-01  17785
2018-07-01  17616
2018-08-01  17288
2018-09-01  17314
2018-10-01  17464
2018-11-01  17423
