Title:               Civilian Labor Force in Greenville, NC (MSA)
Series ID:           GREE737LF
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Smoothed Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 1:41 PM CST
Notes:               

DATE         VALUE
1990-01-01   56901
1990-02-01   57014
1990-03-01   57072
1990-04-01   57103
1990-05-01   57154
1990-06-01   57225
1990-07-01   57305
1990-08-01   57291
1990-09-01   57207
1990-10-01   57255
1990-11-01   57461
1990-12-01   57632
1991-01-01   57639
1991-02-01   57604
1991-03-01   57711
1991-04-01   57944
1991-05-01   58236
1991-06-01   58402
1991-07-01   58335
1991-08-01   58367
1991-09-01   58550
1991-10-01   58623
1991-11-01   58610
1991-12-01   58474
1992-01-01   58253
1992-02-01   58153
1992-03-01   58112
1992-04-01   58034
1992-05-01   58028
1992-06-01   58106
1992-07-01   58208
1992-08-01   58317
1992-09-01   58373
1992-10-01   58407
1992-11-01   58523
1992-12-01   58754
1993-01-01   58969
1993-02-01   59020
1993-03-01   58976
1993-04-01   58994
1993-05-01   59085
1993-06-01   59072
1993-07-01   58971
1993-08-01   58938
1993-09-01   59007
1993-10-01   59068
1993-11-01   59096
1993-12-01   59272
1994-01-01   59534
1994-02-01   59775
1994-03-01   60084
1994-04-01   60383
1994-05-01   60414
1994-06-01   60322
1994-07-01   60651
1994-08-01   61378
1994-09-01   61929
1994-10-01   62123
1994-11-01   62206
1994-12-01   62461
1995-01-01   62893
1995-02-01   63289
1995-03-01   63497
1995-04-01   63446
1995-05-01   63373
1995-06-01   63653
1995-07-01   64046
1995-08-01   64105
1995-09-01   64044
1995-10-01   64180
1995-11-01   64387
1995-12-01   64299
1996-01-01   64067
1996-02-01   64148
1996-03-01   64505
1996-04-01   65011
1996-05-01   65451
1996-06-01   65758
1996-07-01   66060
1996-08-01   66174
1996-09-01   66147
1996-10-01   66282
1996-11-01   66521
1996-12-01   66589
1997-01-01   66509
1997-02-01   66529
1997-03-01   66700
1997-04-01   66843
1997-05-01   66904
1997-06-01   66895
1997-07-01   66901
1997-08-01   67135
1997-09-01   67378
1997-10-01   67369
1997-11-01   67331
1997-12-01   67327
1998-01-01   67295
1998-02-01   67315
1998-03-01   67207
1998-04-01   66942
1998-05-01   66922
1998-06-01   67071
1998-07-01   67068
1998-08-01   67007
1998-09-01   67079
1998-10-01   67310
1998-11-01   67603
1998-12-01   68132
1999-01-01   68884
1999-02-01   69266
1999-03-01   69389
1999-04-01   69699
1999-05-01   69996
1999-06-01   70213
1999-07-01   70322
1999-08-01   70299
1999-09-01   70476
1999-10-01   70800
1999-11-01   70928
1999-12-01   70987
2000-01-01   69663
2000-02-01   69913
2000-03-01   70108
2000-04-01   70150
2000-05-01   70244
2000-06-01   70176
2000-07-01   69917
2000-08-01   69911
2000-09-01   70026
2000-10-01   70175
2000-11-01   70406
2000-12-01   70575
2001-01-01   70598
2001-02-01   70432
2001-03-01   70097
2001-04-01   69673
2001-05-01   69492
2001-06-01   69788
2001-07-01   70048
2001-08-01   70008
2001-09-01   69882
2001-10-01   69532
2001-11-01   69233
2001-12-01   69024
2002-01-01   68761
2002-02-01   68793
2002-03-01   68926
2002-04-01   68917
2002-05-01   68862
2002-06-01   68737
2002-07-01   68497
2002-08-01   68324
2002-09-01   68326
2002-10-01   68334
