Title:               New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Greensboro-High Point, NC (MSA)
Series ID:           GREE637BP1FH
Source:              U.S. Bureau of the Census
Release:             Housing Units Authorized By Building Permits (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          1988-01-01 to 2018-10-01
Last Updated:        2018-11-28 8:01 AM CST
Notes:               The Saint Louis Federal Reserve Bank uses the most recent Metropolitan
                     Statistical Area definitions released by the Office of Management and
                     Budget. For more information on specific definitions visit
                     https://census.gov/programs-surveys/metro-micro.html.

DATE       VALUE
1988-01-01   175
1988-02-01   515
1988-03-01   686
1988-04-01   554
1988-05-01   549
1988-06-01   582
1988-07-01   374
1988-08-01   544
1988-09-01   457
1988-10-01   434
1988-11-01   371
1988-12-01   338
1989-01-01   315
1989-02-01   329
1989-03-01   460
1989-04-01   438
1989-05-01   475
1989-06-01   702
1989-07-01   575
1989-08-01   452
1989-09-01   350
1989-10-01   406
1989-11-01   397
1989-12-01   260
1990-01-01   334
1990-02-01   352
1990-03-01   509
1990-04-01   419
1990-05-01   370
1990-06-01   433
1990-07-01   360
1990-08-01   385
1990-09-01   344
1990-10-01   286
1990-11-01   282
1990-12-01   214
1991-01-01   229
1991-02-01   275
1991-03-01   414
1991-04-01   438
1991-05-01   486
1991-06-01   450
1991-07-01   435
1991-08-01   412
1991-09-01   378
1991-10-01   417
1991-11-01   343
1991-12-01   344
1992-01-01   406
1992-02-01   420
1992-03-01   601
1992-04-01   543
1992-05-01   477
1992-06-01   444
1992-07-01   504
1992-08-01   373
1992-09-01   459
1992-10-01   455
1992-11-01   369
1992-12-01   457
1993-01-01   425
1993-02-01   483
1993-03-01   585
1993-04-01   805
1993-05-01   386
1993-06-01   505
1993-07-01   501
1993-08-01   524
1993-09-01   569
1993-10-01   575
1993-11-01   500
1993-12-01   475
1994-01-01   373
1994-02-01   500
1994-03-01   746
1994-04-01   660
1994-05-01   682
1994-06-01   660
1994-07-01   518
1994-08-01   504
1994-09-01   605
1994-10-01   500
1994-11-01   503
1994-12-01   450
1995-01-01   490
1995-02-01   456
1995-03-01   623
1995-04-01   578
1995-05-01   692
1995-06-01   642
1995-07-01   563
1995-08-01   611
1995-09-01   529
1995-10-01   591
1995-11-01   578
1995-12-01   421
1996-01-01   411
1996-02-01   453
1996-03-01   669
1996-04-01   742
1996-05-01   679
1996-06-01   747
1996-07-01   710
1996-08-01   593
1996-09-01   543
1996-10-01   645
1996-11-01   539
1996-12-01   454
1997-01-01   489
1997-02-01   510
1997-03-01   632
1997-04-01   754
1997-05-01   741
1997-06-01   796
1997-07-01   667
1997-08-01   592
1997-09-01   664
1997-10-01   776
1997-11-01   495
1997-12-01   477
1998-01-01   423
1998-02-01   615
1998-03-01   768
1998-04-01   820
1998-05-01   635
1998-06-01   838
1998-07-01   652
1998-08-01   778
1998-09-01   673
1998-10-01   695
1998-11-01   682
1998-12-01   700
1999-01-01   554
1999-02-01   702
1999-03-01   778
1999-04-01   784
1999-05-01   873
1999-06-01   818
1999-07-01   757
1999-08-01   565
1999-09-01   527
1999-10-01   513
1999-11-01   569
1999-12-01   530
2000-01-01   477
2000-02-01   712
2000-03-01   968
2000-04-01   614
2000-05-01   695
2000-06-01   747
2000-07-01   676
2000-08-01   713
2000-09-01   612
2000-10-01   717
2000-11-01   624
2000-12-01   578
2001-01-01   657
2001-02-01   683
2001-03-01   860
2001-04-01   811
2001-05-01   868
2001-06-01   853
2001-07-01   690
2001-08-01   752
2001-09-01   584
2001-10-01   577
2001-11-01   589
2001-12-01   580
2002-01-01   551
2002-02-01   684
2002-03-01   689
2002-04-01   897
2002-05-01   860
2002-06-01   743
2002-07-01   655
2002-08-01   692
2002-09-01   709
2002-10-01   740
2002-11-01   811
2002-12-01   796
2003-01-01   607
2003-02-01   511
2003-03-01   706
2003-04-01   752
2003-05-01   776
2003-06-01   760
2003-07-01   889
2003-08-01   753
2003-09-01   671
2003-10-01   816
2003-11-01   580
2003-12-01   625
2004-01-01   315
2004-02-01   402
2004-03-01   439
2004-04-01   412
2004-05-01   337
2004-06-01   466
2004-07-01   522
2004-08-01   463
2004-09-01   377
2004-10-01   297
2004-11-01   343
2004-12-01   318
2005-01-01   318
2005-02-01   444
2005-03-01   451
2005-04-01   458
2005-05-01   479
2005-06-01   517
2005-07-01   404
2005-08-01   526
2005-09-01   457
2005-10-01   389
2005-11-01   397
2005-12-01   379
2006-01-01   362
2006-02-01   425
2006-03-01   472
2006-04-01   408
2006-05-01   469
2006-06-01   429
2006-07-01   429
2006-08-01   325
2006-09-01   324
2006-10-01   332
2006-11-01   321
2006-12-01   290
2007-01-01   344
2007-02-01   263
2007-03-01   375
2007-04-01   358
2007-05-01   404
2007-06-01   341
2007-07-01   356
2007-08-01   363
2007-09-01   262
2007-10-01   225
2007-11-01   283
2007-12-01   170
2008-01-01   195
2008-02-01   244
2008-03-01   236
2008-04-01   221
2008-05-01   166
2008-06-01   177
2008-07-01   208
2008-08-01   159
2008-09-01   122
2008-10-01   131
2008-11-01    86
2008-12-01   104
2009-01-01    83
2009-02-01    92
2009-03-01   104
2009-04-01   130
2009-05-01   128
2009-06-01   133
2009-07-01   129
2009-08-01   137
2009-09-01   138
2009-10-01    95
2009-11-01    90
2009-12-01   137
2010-01-01   106
2010-02-01   122
2010-03-01   174
2010-04-01   151
2010-05-01   104
2010-06-01   118
2010-07-01   124
2010-08-01   102
2010-09-01    68
2010-10-01    78
2010-11-01    90
2010-12-01    92
2011-01-01    63
2011-02-01    81
2011-03-01   117
2011-04-01    81
2011-05-01    94
2011-06-01   102
2011-07-01    64
2011-08-01   106
2011-09-01    81
2011-10-01   102
2011-11-01    79
2011-12-01    78
2012-01-01    71
2012-02-01    97
2012-03-01   129
2012-04-01    83
2012-05-01    92
2012-06-01    84
2012-07-01    98
2012-08-01    95
2012-09-01    96
2012-10-01   116
2012-11-01   108
2012-12-01   115
2013-01-01   106
2013-02-01    87
2013-03-01   107
2013-04-01   146
2013-05-01   139
2013-06-01   136
2013-07-01   118
2013-08-01   166
2013-09-01   106
2013-10-01   144
2013-11-01    84
2013-12-01    90
2014-01-01   123
2014-02-01    85
2014-03-01    96
2014-04-01   132
2014-05-01   157
2014-06-01   113
2014-07-01   145
2014-08-01   141
2014-09-01   139
2014-10-01   138
2014-11-01   110
2014-12-01   114
2015-01-01   126
2015-02-01   109
2015-03-01   124
2015-04-01   181
2015-05-01   109
2015-06-01   172
2015-07-01   130
2015-08-01   155
2015-09-01   138
2015-10-01   146
2015-11-01   108
2015-12-01   149
2016-01-01    86
2016-02-01   123
2016-03-01   141
2016-04-01   239
2016-05-01   154
2016-06-01   170
2016-07-01   143
2016-08-01   145
2016-09-01   129
2016-10-01   142
2016-11-01   144
2016-12-01   114
2017-01-01   136
2017-02-01   128
2017-03-01   194
2017-04-01   135
2017-05-01   282
2017-06-01   143
2017-07-01   161
2017-08-01   202
2017-09-01   116
2017-10-01   170
2017-11-01   152
2017-12-01   121
2018-01-01   198
2018-02-01   152
2018-03-01   186
2018-04-01   216
2018-05-01   179
2018-06-01   161
2018-07-01   186
2018-08-01   183
2018-09-01   127
2018-10-01   147
