Title:               Civilian Labor Force in Greenville, NC (MSA)
Series ID:           GREE737LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:16 AM CST
Notes:               

DATE        VALUE
2015-02-01  87710
2015-03-01  87744
2015-04-01  87642
2015-05-01  88610
2015-06-01  87606
2015-07-01  87761
2015-08-01  87250
2015-09-01  87775
2015-10-01  87803
2015-11-01  87529
2015-12-01  87505
2016-01-01  87073
2016-02-01  87831
2016-03-01  88087
2016-04-01  87095
2016-05-01  87715
2016-06-01  87935
2016-07-01  88388
2016-08-01  87817
2016-09-01  89075
2016-10-01  89125
2016-11-01  88859
2016-12-01  88411
2017-01-01  88377
2017-02-01  89114
2017-03-01  89589
2017-04-01  89202
2017-05-01  89189
2017-06-01  88981
2017-07-01  89322
2017-08-01  88722
2017-09-01  90489
2017-10-01  89484
2017-11-01  89728
2017-12-01  89043
2018-01-01  89202
2018-02-01  89936
2018-03-01  90260
2018-04-01  89912
2018-05-01  90323
2018-06-01  90239
2018-07-01  90537
2018-08-01  88901
2018-09-01  89246
2018-10-01  89326
2018-11-01  89096
