Title:               All Employees: Total Nonfarm in Greensboro-High Point, NC (MSA)
Series ID:           GREE637NAN
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:34 PM CST
Notes:               

DATE        VALUE
1990-01-01  304.1
1990-02-01  305.3
1990-03-01  306.6
1990-04-01  308.9
1990-05-01  309.8
1990-06-01  311.4
1990-07-01  308.0
1990-08-01  310.5
1990-09-01  310.5
1990-10-01  310.1
1990-11-01  310.0
1990-12-01  308.9
1991-01-01  300.4
1991-02-01  299.6
1991-03-01  299.6
1991-04-01  302.7
1991-05-01  303.9
1991-06-01  305.1
1991-07-01  301.8
1991-08-01  304.3
1991-09-01  304.4
1991-10-01  306.7
1991-11-01  307.2
1991-12-01  308.1
1992-01-01  299.4
1992-02-01  300.0
1992-03-01  301.4
1992-04-01  305.4
1992-05-01  306.4
1992-06-01  308.0
1992-07-01  305.5
1992-08-01  306.5
1992-09-01  308.5
1992-10-01  312.2
1992-11-01  313.5
1992-12-01  314.8
1993-01-01  306.1
1993-02-01  307.3
1993-03-01  308.9
1993-04-01  313.3
1993-05-01  315.3
1993-06-01  317.6
1993-07-01  315.7
1993-08-01  317.8
1993-09-01  319.7
1993-10-01  322.9
1993-11-01  325.0
1993-12-01  326.5
1994-01-01  317.9
1994-02-01  319.0
1994-03-01  321.3
1994-04-01  325.6
1994-05-01  327.4
1994-06-01  330.3
1994-07-01  325.3
1994-08-01  328.1
1994-09-01  331.9
1994-10-01  333.2
1994-11-01  335.7
1994-12-01  337.1
1995-01-01  330.1
1995-02-01  331.6
1995-03-01  334.5
1995-04-01  339.0
1995-05-01  339.6
1995-06-01  342.1
1995-07-01  335.3
1995-08-01  339.1
1995-09-01  342.7
1995-10-01  344.2
1995-11-01  346.5
1995-12-01  347.8
1996-01-01  336.6
1996-02-01  339.4
1996-03-01  341.9
1996-04-01  344.0
1996-05-01  347.2
1996-06-01  349.5
1996-07-01  340.5
1996-08-01  344.2
1996-09-01  347.6
1996-10-01  350.3
1996-11-01  352.3
1996-12-01  353.6
1997-01-01  344.7
1997-02-01  345.7
1997-03-01  348.7
1997-04-01  349.9
1997-05-01  352.7
1997-06-01  354.6
1997-07-01  348.9
1997-08-01  352.2
1997-09-01  355.9
1997-10-01  356.9
1997-11-01  358.2
1997-12-01  359.7
1998-01-01  351.6
1998-02-01  352.3
1998-03-01  354.8
1998-04-01  358.1
1998-05-01  360.0
1998-06-01  362.6
1998-07-01  356.9
1998-08-01  361.3
1998-09-01  362.8
1998-10-01  366.7
1998-11-01  368.2
1998-12-01  369.6
1999-01-01  358.2
1999-02-01  360.7
1999-03-01  363.8
1999-04-01  366.5
1999-05-01  366.3
1999-06-01  367.8
1999-07-01  363.0
1999-08-01  367.7
1999-09-01  369.3
1999-10-01  374.2
1999-11-01  374.5
1999-12-01  376.0
2000-01-01  366.8
2000-02-01  368.4
2000-03-01  371.9
2000-04-01  372.8
2000-05-01  374.1
2000-06-01  375.5
2000-07-01  369.1
2000-08-01  373.5
2000-09-01  374.4
2000-10-01  375.7
2000-11-01  377.0
2000-12-01  377.5
2001-01-01  367.7
2001-02-01  368.9
2001-03-01  368.8
2001-04-01  369.5
2001-05-01  369.8
2001-06-01  369.7
2001-07-01  360.3
2001-08-01  363.1
2001-09-01  363.3
2001-10-01  362.9
2001-11-01  363.0
2001-12-01  362.0
2002-01-01  351.0
2002-02-01  352.1
2002-03-01  353.9
2002-04-01  358.8
2002-05-01  359.7
2002-06-01  360.2
2002-07-01  353.8
2002-08-01  358.1
2002-09-01  359.7
2002-10-01  361.7
2002-11-01  363.1
2002-12-01  362.6
2003-01-01  354.4
2003-02-01  354.9
2003-03-01  356.9
2003-04-01  356.8
2003-05-01  356.1
2003-06-01  355.1
2003-07-01  344.4
2003-08-01  348.0
2003-09-01  350.1
2003-10-01  353.2
2003-11-01  352.3
2003-12-01  351.7
2004-01-01  345.4
2004-02-01  346.5
2004-03-01  349.9
2004-04-01  355.9
2004-05-01  357.6
2004-06-01  357.7
2004-07-01  350.6
2004-08-01  354.6
2004-09-01  357.3
2004-10-01  359.3
2004-11-01  359.8
2004-12-01  361.1
2005-01-01  354.8
2005-02-01  357.3
2005-03-01  360.0
2005-04-01  362.2
2005-05-01  362.1
2005-06-01  361.5
2005-07-01  355.1
2005-08-01  360.3
2005-09-01  361.5
2005-10-01  362.9
2005-11-01  363.8
2005-12-01  364.4
2006-01-01  359.6
2006-02-01  361.0
2006-03-01  364.2
2006-04-01  367.9
2006-05-01  370.7
2006-06-01  367.8
2006-07-01  362.2
2006-08-01  367.7
2006-09-01  368.1
2006-10-01  371.8
2006-11-01  373.6
2006-12-01  375.0
2007-01-01  365.3
2007-02-01  366.5
2007-03-01  370.1
2007-04-01  370.8
2007-05-01  372.3
2007-06-01  370.8
2007-07-01  363.7
2007-08-01  369.4
2007-09-01  370.4
2007-10-01  373.2
2007-11-01  373.5
2007-12-01  373.9
2008-01-01  367.1
2008-02-01  367.6
2008-03-01  369.0
2008-04-01  367.5
2008-05-01  367.7
2008-06-01  364.9
2008-07-01  358.0
2008-08-01  364.0
2008-09-01  365.9
2008-10-01  366.0
2008-11-01  364.2
2008-12-01  359.2
2009-01-01  347.6
2009-02-01  346.5
2009-03-01  343.4
2009-04-01  342.6
2009-05-01  341.7
2009-06-01  339.8
2009-07-01  333.0
2009-08-01  337.5
2009-09-01  340.1
2009-10-01  339.5
2009-11-01  339.2
2009-12-01  338.2
2010-01-01  331.5
2010-02-01  331.7
2010-03-01  334.5
2010-04-01  336.0
2010-05-01  337.8
2010-06-01  337.7
2010-07-01  333.5
2010-08-01  337.3
2010-09-01  337.8
2010-10-01  341.8
2010-11-01  340.0
2010-12-01  340.0
2011-01-01  333.0
2011-02-01  335.7
2011-03-01  337.7
2011-04-01  340.7
2011-05-01  341.3
2011-06-01  338.8
2011-07-01  333.8
2011-08-01  338.6
2011-09-01  341.5
2011-10-01  342.6
2011-11-01  343.1
2011-12-01  342.5
2012-01-01  337.2
2012-02-01  339.5
2012-03-01  341.2
2012-04-01  342.6
2012-05-01  343.8
2012-06-01  339.1
2012-07-01  330.7
2012-08-01  340.7
2012-09-01  342.7
2012-10-01  345.7
2012-11-01  347.5
2012-12-01  347.9
2013-01-01  341.0
2013-02-01  343.1
2013-03-01  344.4
2013-04-01  346.4
2013-05-01  346.8
2013-06-01  343.7
2013-07-01  336.5
2013-08-01  345.6
2013-09-01  347.6
2013-10-01  349.8
2013-11-01  350.3
2013-12-01  350.5
2014-01-01  342.6
2014-02-01  342.6
2014-03-01  345.7
2014-04-01  349.2
2014-05-01  350.6
2014-06-01  346.3
2014-07-01  339.9
2014-08-01  347.6
2014-09-01  350.1
2014-10-01  353.6
2014-11-01  354.6
2014-12-01  354.8
2015-01-01  348.7
2015-02-01  350.4
2015-03-01  351.2
2015-04-01  355.6
2015-05-01  356.6
2015-06-01  353.7
2015-07-01  346.8
2015-08-01  354.8
2015-09-01  356.5
2015-10-01  359.5
2015-11-01  360.3
2015-12-01  360.2
2016-01-01  352.8
2016-02-01  354.8
2016-03-01  356.3
2016-04-01  359.1
2016-05-01  358.8
2016-06-01  355.6
2016-07-01  350.9
2016-08-01  357.0
2016-09-01  359.2
2016-10-01  362.2
2016-11-01  365.5
2016-12-01  363.9
2017-01-01  354.8
2017-02-01  357.6
2017-03-01  357.5
2017-04-01  360.4
2017-05-01  361.1
2017-06-01  358.9
2017-07-01  351.7
2017-08-01  357.9
2017-09-01  358.9
2017-10-01  362.0
2017-11-01  363.9
2017-12-01  363.2
2018-01-01  355.8
2018-02-01  359.5
2018-03-01  360.5
2018-04-01  363.5
2018-05-01  364.9
2018-06-01  363.9
2018-07-01  357.9
2018-08-01  363.2
2018-09-01  365.0
2018-10-01  369.1
