Title:               Civilian Labor Force in Goldsboro, NC (MSA)
Series ID:           GOLD137LF
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Smoothed Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 1:41 PM CST
Notes:               

DATE         VALUE
1990-01-01   47753
1990-02-01   47827
1990-03-01   47882
1990-04-01   47946
1990-05-01   48099
1990-06-01   48212
1990-07-01   48170
1990-08-01   47982
1990-09-01   47711
1990-10-01   47417
1990-11-01   48570
1990-12-01   48802
1991-01-01   49127
1991-02-01   49210
1991-03-01   49277
1991-04-01   49313
1991-05-01   49186
1991-06-01   49066
1991-07-01   50806
1991-08-01   49883
1991-09-01   49242
1991-10-01   49001
1991-11-01   49051
1991-12-01   49004
1992-01-01   47639
1992-02-01   47790
1992-03-01   47817
1992-04-01   47740
1992-05-01   47697
1992-06-01   47645
1992-07-01   47541
1992-08-01   47606
1992-09-01   47832
1992-10-01   47887
1992-11-01   47763
1992-12-01   47476
1993-01-01   47108
1993-02-01   46950
1993-03-01   46913
1993-04-01   46943
1993-05-01   46973
1993-06-01   46921
1993-07-01   46965
1993-08-01   46945
1993-09-01   46834
1993-10-01   46802
1993-11-01   46891
1993-12-01   47212
1994-01-01   47641
1994-02-01   47884
1994-03-01   47886
1994-04-01   47847
1994-05-01   47878
1994-06-01   48016
1994-07-01   48352
1994-08-01   48666
1994-09-01   48831
1994-10-01   48989
1994-11-01   49149
1994-12-01   49305
1995-01-01   47726
1995-02-01   47761
1995-03-01   48049
1995-04-01   48401
1995-05-01   48545
1995-06-01   48761
1995-07-01   49012
1995-08-01   49196
1995-09-01   49390
1995-10-01   49454
1995-11-01   49415
1995-12-01   49140
1996-01-01   48685
1996-02-01   48535
1996-03-01   48604
1996-04-01   48751
1996-05-01   49057
1996-06-01   49206
1996-07-01   49146
1996-08-01   49175
1996-09-01   49332
1996-10-01   49519
1996-11-01   49661
1996-12-01   49748
1997-01-01   49872
1997-02-01   50078
1997-03-01   50227
1997-04-01   50273
1997-05-01   50377
1997-06-01   50529
1997-07-01   50522
1997-08-01   50365
1997-09-01   50291
1997-10-01   50387
1997-11-01   50587
1997-12-01   50696
1998-01-01   50525
1998-02-01   50230
1998-03-01   50106
1998-04-01   50118
1998-05-01   49988
1998-06-01   49668
1998-07-01   49512
1998-08-01   49711
1998-09-01   49954
1998-10-01   50010
1998-11-01   49901
1998-12-01   49989
1999-01-01   50412
1999-02-01   50648
1999-03-01   50510
1999-04-01   50198
1999-05-01   49981
1999-06-01   50036
1999-07-01   50314
1999-08-01   50599
1999-09-01   50727
1999-10-01   50808
1999-11-01   50833
1999-12-01   50817
2000-01-01   50818
2000-02-01   50919
2000-03-01   51018
2000-04-01   50998
2000-05-01   51033
2000-06-01   51104
2000-07-01   51149
2000-08-01   51309
2000-09-01   51383
2000-10-01   51248
2000-11-01   51151
2000-12-01   51291
2001-01-01   51513
2001-02-01   51607
2001-03-01   51528
2001-04-01   51291
2001-05-01   51119
2001-06-01   51279
2001-07-01   51712
2001-08-01   52046
2001-09-01   52079
2001-10-01   51878
