Title:               Civilian Labor Force in Greensboro-High Point, NC (MSA)
Series ID:           GREE637LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:11 AM CST
Notes:               

DATE         VALUE
1990-01-01  303826
1990-02-01  305708
1990-03-01  305855
1990-04-01  306380
1990-05-01  309940
1990-06-01  312516
1990-07-01  319682
1990-08-01  317020
1990-09-01  309925
1990-10-01  312320
1990-11-01  311428
1990-12-01  310645
1991-01-01  309077
1991-02-01  309680
1991-03-01  309566
1991-04-01  310377
1991-05-01  311715
1991-06-01  315972
1991-07-01  320862
1991-08-01  318933
1991-09-01  315352
1991-10-01  316415
1991-11-01  315183
1991-12-01  313760
1992-01-01  312630
1992-02-01  312402
1992-03-01  313496
1992-04-01  312692
1992-05-01  315464
1992-06-01  320584
1992-07-01  325461
1992-08-01  324122
1992-09-01  318455
1992-10-01  318971
1992-11-01  320341
1992-12-01  318565
1993-01-01  315711
1993-02-01  316599
1993-03-01  316293
1993-04-01  315330
1993-05-01  318656
1993-06-01  322011
1993-07-01  325898
1993-08-01  322269
1993-09-01  316043
1993-10-01  320108
1993-11-01  320158
1993-12-01  319764
1994-01-01  317574
1994-02-01  317812
1994-03-01  317058
1994-04-01  319813
1994-05-01  323421
1994-06-01  326501
1994-07-01  327036
1994-08-01  326489
1994-09-01  325057
1994-10-01  328120
1994-11-01  329254
1994-12-01  328455
1995-01-01  324001
1995-02-01  325600
1995-03-01  325162
1995-04-01  326656
1995-05-01  326246
1995-06-01  329077
1995-07-01  333543
1995-08-01  329530
1995-09-01  328450
1995-10-01  331642
1995-11-01  331391
1995-12-01  331076
1996-01-01  331336
1996-02-01  332493
1996-03-01  334704
1996-04-01  337419
1996-05-01  339862
1996-06-01  342610
1996-07-01  346592
1996-08-01  342784
1996-09-01  341460
1996-10-01  344636
1996-11-01  343609
