Title:               Civilian Labor Force in Greensboro-High Point, NC (MSA)
Series ID:           GREE637LF
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Smoothed Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 1:41 PM CST
Notes:               

DATE          VALUE
1990-01-01   308178
1990-02-01   308771
1990-03-01   309109
1990-04-01   309514
1990-05-01   310194
1990-06-01   310842
1990-07-01   311694
1990-08-01   311824
1990-09-01   311153
1990-10-01   311053
1990-11-01   311497
1990-12-01   312056
1991-01-01   312504
1991-02-01   312619
1991-03-01   312857
1991-04-01   313060
1991-05-01   312966
1991-06-01   313178
1991-07-01   313651
1991-08-01   314535
1991-09-01   315528
1991-10-01   315621
1991-11-01   315285
1991-12-01   315425
1992-01-01   315608
1992-02-01   315590
1992-03-01   315893
1992-04-01   316178
1992-05-01   316619
1992-06-01   317606
1992-07-01   318713
1992-08-01   319424
1992-09-01   319261
1992-10-01   318988
1992-11-01   319368
1992-12-01   319515
1993-01-01   319212
1993-02-01   319114
1993-03-01   318890
1993-04-01   318657
1993-05-01   318972
1993-06-01   319400
1993-07-01   319543
1993-08-01   318911
1993-09-01   318181
1993-10-01   318612
1993-11-01   319466
1993-12-01   320139
1994-01-01   320502
1994-02-01   320244
1994-03-01   320372
1994-04-01   321834
1994-05-01   323404
1994-06-01   323525
1994-07-01   323191
1994-08-01   324206
1994-09-01   325873
1994-10-01   327097
1994-11-01   327962
1994-12-01   328131
1995-01-01   327806
1995-02-01   327580
1995-03-01   327574
1995-04-01   327443
1995-05-01   327028
1995-06-01   327225
1995-07-01   327960
1995-08-01   328680
1995-09-01   329703
1995-10-01   330529
1995-11-01   330888
1995-12-01   331273
1996-01-01   332243
1996-02-01   334068
1996-03-01   336182
1996-04-01   338103
1996-05-01   339524
1996-06-01   340582
1996-07-01   341453
1996-08-01   342160
1996-09-01   343019
1996-10-01   343515
1996-11-01   343259
1996-12-01   343573
1997-01-01   344814
1997-02-01   346022
1997-03-01   346475
1997-04-01   345908
1997-05-01   345233
1997-06-01   344839
1997-07-01   344341
1997-08-01   343706
1997-09-01   342926
1997-10-01   342176
1997-11-01   342295
1997-12-01   342478
1998-01-01   341998
1998-02-01   341858
1998-03-01   342144
1998-04-01   342342
1998-05-01   342071
1998-06-01   341733
1998-07-01   341872
1998-08-01   342250
1998-09-01   342376
1998-10-01   342358
1998-11-01   342594
1998-12-01   343199
1999-01-01   343987
1999-02-01   344365
1999-03-01   344099
1999-04-01   343753
1999-05-01   344044
1999-06-01   344320
1999-07-01   344100
1999-08-01   344313
1999-09-01   345383
1999-10-01   346839
1999-11-01   347879
1999-12-01   348414
2000-01-01   349737
2000-02-01   350569
2000-03-01   350843
2000-04-01   350712
2000-05-01   350927
2000-06-01   351682
2000-07-01   352775
2000-08-01   353354
2000-09-01   353157
2000-10-01   353799
2000-11-01   355941
2000-12-01   357949
2001-01-01   358760
2001-02-01   358959
2001-03-01   358434
2001-04-01   357256
2001-05-01   356879
2001-06-01   357056
2001-07-01   356384
2001-08-01   355801
2001-09-01   356019
2001-10-01   355903
2001-11-01   356104
2001-12-01   356070
2002-01-01   355180
2002-02-01   355158
2002-03-01   355726
2002-04-01   356237
2002-05-01   356617
2002-06-01   356791
2002-07-01   357212
2002-08-01   357997
2002-09-01   358464
2002-10-01   358235
2002-11-01   357995
2002-12-01   358804
2003-01-01   360994
2003-02-01   363052
2003-03-01   363920
2003-04-01   363549
2003-05-01   362556
2003-06-01   360990
2003-07-01   358386
2003-08-01   356739
2003-09-01   356905
2003-10-01   357512
2003-11-01   357293
2003-12-01   356390
2004-01-01   355706
2004-02-01   355192
2004-03-01   355421
2004-04-01   356301
2004-05-01   357190
2004-06-01   357917
2004-07-01   357703
2004-08-01   356896
2004-09-01   356660
2004-10-01   357233
2004-11-01   358072
2004-12-01   358156
2005-01-01   357784
2005-02-01   358152
2005-03-01   359035
2005-04-01   360113
2005-05-01   361074
2005-06-01   361553
2005-07-01   361985
2005-08-01   362286
2005-09-01   362509
2005-10-01   362706
2005-11-01   362521
2005-12-01   362240
2006-01-01   362251
2006-02-01   362995
2006-03-01   364465
2006-04-01   366563
2006-05-01   368415
2006-06-01   369196
2006-07-01   370525
2006-08-01   371949
2006-09-01   372345
2006-10-01   373069
2006-11-01   373972
2006-12-01   374420
2007-01-01   366538
2007-02-01   366209
2007-03-01   365970
2007-04-01   365547
2007-05-01   365360
2007-06-01   365684
2007-07-01   365921
2007-08-01   366036
2007-09-01   366350
2007-10-01   366566
2007-11-01   366578
2007-12-01   367254
2008-01-01   368141
2008-02-01   367995
2008-03-01   367947
2008-04-01   368351
2008-05-01   368136
2008-06-01   368073
2008-07-01   369110
2008-08-01   370357
2008-09-01   371298
2008-10-01   371239
2008-11-01   376627
2008-12-01   373618
2009-01-01   371599
2009-02-01   369971
2009-03-01   368592
2009-04-01   367881
2009-05-01   367222
2009-06-01   367097
2009-07-01   367796
2009-08-01   368252
2009-09-01   367884
2009-10-01   367005
2009-11-01   366105
2009-12-01   365145
2010-01-01   364177
2010-02-01   364183
2010-03-01   365543
2010-04-01   366892
2010-05-01   366928
2010-06-01   367347
2010-07-01   368065
2010-08-01   366864
2010-09-01   364733
2010-10-01   363878
2010-11-01   364137
2010-12-01   364513
2011-01-01   364274
2011-02-01   363776
2011-03-01   364033
2011-04-01   364547
2011-05-01   364779
2011-06-01   365259
2011-07-01   365842
2011-08-01   366220
2011-09-01   366541
2011-10-01   366481
2011-11-01   366201
2011-12-01   365976
2012-01-01   365743
2012-02-01   365768
2012-03-01   365381
2012-04-01   364872
2012-05-01   365240
2012-06-01   365170
2012-07-01   364691
2012-08-01   365355
2012-09-01   366932
2012-10-01   368123
2012-11-01   368577
2012-12-01   369329
2013-01-01   369592
2013-02-01   368235
2013-03-01   366540
2013-04-01   365717
2013-05-01   365756
2013-06-01   365664
2013-07-01   365055
2013-08-01   364820
2013-09-01   364332
2013-10-01   363195
2013-11-01   362521
2013-12-01   362050
2014-01-01   361623
2014-02-01   361936
2014-03-01   361912
2014-04-01   361032
2014-05-01   360436
2014-06-01   360209
2014-07-01   360448
2014-08-01   360788
2014-09-01   361072
2014-10-01   361567
2014-11-01   361553
2014-12-01   361810
2015-01-01   362800
2015-02-01   362957
2015-03-01   362942
2015-04-01   364333
2015-05-01   365429
2015-06-01   364806
2015-07-01   364079
2015-08-01   363861
2015-09-01   363586
2015-10-01   363698
2015-11-01   364284
2015-12-01   364927
2016-01-01   365505
2016-02-01   366062
2016-03-01   365836
2016-04-01   364553
2016-05-01   363589
2016-06-01   363821
2016-07-01   364558
2016-08-01   365222
2016-09-01   366221
2016-10-01   367658
2016-11-01   368533
2016-12-01   368340
2017-01-01   368176
2017-02-01   368373
2017-03-01   368361
2017-04-01   368093
2017-05-01   367994
2017-06-01   368379
2017-07-01   368514
2017-08-01   368807
2017-09-01   369169
2017-10-01   368905
2017-11-01   369093
2017-12-01   369344
2018-01-01   369359
2018-02-01   371421
2018-03-01   371828
2018-04-01   371389
2018-05-01   371744
2018-06-01   372225
2018-07-01   370891
2018-08-01   368192
2018-09-01   368445
2018-10-01   371260
2018-11-01   372491
