Title:               Civilian Labor Force in Goldsboro, NC (MSA)
Series ID:           GOLD137LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:16 AM CST
Notes:               

DATE        VALUE
2015-01-01  53819
2015-02-01  53674
2015-03-01  54259
2015-04-01  53690
2015-05-01  54248
2015-06-01  54562
2015-07-01  54256
2015-08-01  52767
2015-09-01  53360
2015-10-01  53554
2015-11-01  53589
2015-12-01  52976
2016-01-01  53380
2016-02-01  53559
2016-03-01  54462
2016-04-01  53540
2016-05-01  53571
2016-06-01  53348
2016-07-01  53904
2016-08-01  52745
2016-09-01  53527
2016-10-01  53876
2016-11-01  53171
2016-12-01  52886
2017-01-01  53145
2017-02-01  53825
2017-03-01  54328
2017-04-01  54351
2017-05-01  53913
2017-06-01  53490
2017-07-01  53675
2017-08-01  52720
2017-09-01  53549
2017-10-01  53260
2017-11-01  52806
2017-12-01  52799
2018-01-01  52856
2018-02-01  53632
2018-03-01  53436
2018-04-01  53133
2018-05-01  53247
2018-06-01  53386
2018-07-01  53308
2018-08-01  51869
2018-09-01  51907
2018-10-01  52683
2018-11-01  52325
