Title:               New Private Housing Units Authorized by Building Permits for Greensboro-High Point, NC (MSA)
Series ID:           GREE637BPPRIV
Source:              U.S. Bureau of the Census
Release:             Housing Units Authorized By Building Permits (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          1988-01-01 to 2018-10-01
Last Updated:        2018-11-28 8:01 AM CST
Notes:               The Saint Louis Federal Reserve Bank uses the most recent Metropolitan
                     Statistical Area definitions released by the Office of Management and
                     Budget. For more information on specific definitions visit
                     https://census.gov/programs-surveys/metro-micro.html.

DATE       VALUE
1988-01-01   209
1988-02-01   714
1988-03-01   788
1988-04-01   622
1988-05-01   725
1988-06-01   627
1988-07-01   539
1988-08-01   637
1988-09-01   686
1988-10-01   470
1988-11-01   435
1988-12-01   370
1989-01-01   505
1989-02-01   347
1989-03-01   541
1989-04-01   524
1989-05-01   612
1989-06-01  1056
1989-07-01   707
1989-08-01   627
1989-09-01   422
1989-10-01   464
1989-11-01   442
1989-12-01   305
1990-01-01   418
1990-02-01   369
1990-03-01   531
1990-04-01   449
1990-05-01   500
1990-06-01   469
1990-07-01   375
1990-08-01   414
1990-09-01   373
1990-10-01   317
1990-11-01   368
1990-12-01   365
1991-01-01   249
1991-02-01   304
1991-03-01   431
1991-04-01   493
1991-05-01   504
1991-06-01   534
1991-07-01   483
1991-08-01   422
1991-09-01   406
1991-10-01   465
1991-11-01   430
1991-12-01   406
1992-01-01   600
1992-02-01   425
1992-03-01   687
1992-04-01   629
1992-05-01   489
1992-06-01   457
1992-07-01   520
1992-08-01   392
1992-09-01   474
1992-10-01   460
1992-11-01   384
1992-12-01   499
1993-01-01   442
1993-02-01   511
1993-03-01   595
1993-04-01   902
1993-05-01   597
1993-06-01   511
1993-07-01   519
1993-08-01   546
1993-09-01   681
1993-10-01   677
1993-11-01   615
1993-12-01   960
1994-01-01   469
1994-02-01   601
1994-03-01   754
1994-04-01   697
1994-05-01  1028
1994-06-01   690
1994-07-01   576
1994-08-01   675
1994-09-01   879
1994-10-01   564
1994-11-01   550
1994-12-01   480
1995-01-01   531
1995-02-01   468
1995-03-01   681
1995-04-01   739
1995-05-01   782
1995-06-01  1009
1995-07-01   877
1995-08-01   650
1995-09-01   593
1995-10-01   948
1995-11-01   750
1995-12-01   865
1996-01-01   421
1996-02-01   468
1996-03-01   687
1996-04-01  1027
1996-05-01  1015
1996-06-01  1103
1996-07-01   844
1996-08-01   731
1996-09-01   797
1996-10-01   762
1996-11-01   827
1996-12-01   577
1997-01-01   510
1997-02-01   671
1997-03-01   654
1997-04-01   990
1997-05-01  1000
1997-06-01   990
1997-07-01   831
1997-08-01   674
1997-09-01  1006
1997-10-01  1194
1997-11-01   508
1997-12-01   526
1998-01-01   440
1998-02-01   880
1998-03-01  1191
1998-04-01  1108
1998-05-01   723
1998-06-01  1113
1998-07-01   847
1998-08-01  1334
1998-09-01   941
1998-10-01   764
1998-11-01  1023
1998-12-01  1046
1999-01-01   570
1999-02-01   834
1999-03-01   821
1999-04-01   884
1999-05-01  1290
1999-06-01  1440
1999-07-01  1321
1999-08-01   670
1999-09-01   593
1999-10-01   578
1999-11-01   797
1999-12-01   743
2000-01-01   681
2000-02-01   987
2000-03-01  1011
2000-04-01   646
2000-05-01   798
2000-06-01   905
2000-07-01   740
2000-08-01   781
2000-09-01   884
2000-10-01   758
2000-11-01   825
2000-12-01   603
2001-01-01   798
2001-02-01   787
2001-03-01   943
2001-04-01   910
2001-05-01  1149
2001-06-01  1078
2001-07-01   799
2001-08-01   776
2001-09-01  1228
2001-10-01   895
2001-11-01   729
2001-12-01   604
2002-01-01   766
2002-02-01   818
2002-03-01   836
2002-04-01   964
2002-05-01  1017
2002-06-01  1335
2002-07-01   718
2002-08-01   956
2002-09-01   836
2002-10-01   913
2002-11-01   872
2002-12-01  1035
2003-01-01   685
2003-02-01   513
2003-03-01   724
2003-04-01   882
2003-05-01   993
2003-06-01   810
2003-07-01   905
2003-08-01  1222
2003-09-01   795
2003-10-01   855
2003-11-01   850
2003-12-01   731
2004-01-01   363
2004-02-01   415
2004-03-01   577
2004-04-01   512
2004-05-01   710
2004-06-01   472
2004-07-01  1044
2004-08-01   475
2004-09-01   427
2004-10-01   315
2004-11-01   412
2004-12-01   324
2005-01-01   342
2005-02-01   476
2005-03-01   497
2005-04-01   556
2005-05-01   676
2005-06-01   633
2005-07-01   491
2005-08-01   618
2005-09-01   524
2005-10-01   545
2005-11-01   449
2005-12-01   498
2006-01-01   443
2006-02-01   488
2006-03-01   599
2006-04-01   477
2006-05-01   534
2006-06-01   578
2006-07-01   450
2006-08-01   458
2006-09-01   625
2006-10-01   450
2006-11-01   441
2006-12-01   399
2007-01-01   349
2007-02-01   393
2007-03-01   709
2007-04-01   368
2007-05-01   612
2007-06-01   481
2007-07-01   370
2007-08-01   381
2007-09-01   382
2007-10-01   289
2007-11-01   477
2007-12-01   202
2008-01-01   216
2008-02-01   376
2008-03-01   431
2008-04-01   288
2008-05-01   256
2008-06-01   378
2008-07-01   319
2008-08-01   201
2008-09-01   159
2008-10-01   318
2008-11-01   115
2008-12-01   151
2009-01-01   111
2009-02-01   156
2009-03-01   216
2009-04-01   162
2009-05-01   240
2009-06-01   267
2009-07-01   181
2009-08-01   207
2009-09-01   162
2009-10-01   115
2009-11-01   169
2009-12-01   144
2010-01-01   175
2010-02-01   179
2010-03-01   183
2010-04-01   277
2010-05-01   115
2010-06-01   126
2010-07-01   206
2010-08-01   170
2010-09-01   160
2010-10-01   119
2010-11-01   167
2010-12-01   158
2011-01-01    97
2011-02-01   123
2011-03-01   429
2011-04-01   138
2011-05-01   101
2011-06-01   173
2011-07-01   112
2011-08-01   229
2011-09-01   110
2011-10-01   224
2011-11-01   175
2011-12-01   212
2012-01-01   207
2012-02-01   229
2012-03-01   289
2012-04-01   123
2012-05-01   174
2012-06-01   180
2012-07-01   169
2012-08-01    95
2012-09-01    96
2012-10-01   173
2012-11-01   108
2012-12-01   115
2013-01-01   106
2013-02-01   161
2013-03-01   107
2013-04-01   194
2013-05-01   163
2013-06-01   198
2013-07-01   187
2013-08-01   316
2013-09-01   163
2013-10-01   162
2013-11-01   123
2013-12-01   208
2014-01-01   139
2014-02-01   141
2014-03-01   156
2014-04-01   245
2014-05-01   157
2014-06-01   154
2014-07-01   248
2014-08-01   175
2014-09-01   163
2014-10-01   230
2014-11-01   173
2014-12-01   284
2015-01-01   186
2015-02-01   109
2015-03-01   124
2015-04-01   245
2015-05-01   136
2015-06-01   184
2015-07-01   241
2015-08-01   192
2015-09-01   274
2015-10-01   182
2015-11-01   213
2015-12-01   209
2016-01-01   112
2016-02-01   176
2016-03-01   279
2016-04-01   397
2016-05-01   258
2016-06-01   362
2016-07-01   156
2016-08-01   215
2016-09-01   387
2016-10-01   183
2016-11-01   197
2016-12-01   240
2017-01-01   189
2017-02-01   128
2017-03-01   553
2017-04-01   166
2017-05-01   310
2017-06-01   336
2017-07-01   357
2017-08-01   268
2017-09-01   121
2017-10-01   170
2017-11-01   157
2017-12-01   264
2018-01-01   198
2018-02-01   185
2018-03-01   186
2018-04-01   302
2018-05-01   179
2018-06-01   175
2018-07-01   238
2018-08-01   216
2018-09-01   127
2018-10-01   204
