Title:               Resident Population in Jones County, NC
Series ID:           NCJONE3POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01   9.779
1971-01-01   9.900
1972-01-01  10.000
1973-01-01   9.800
1974-01-01   9.600
1975-01-01   9.800
1976-01-01   9.800
1977-01-01   9.700
1978-01-01   9.800
1979-01-01   9.600
1980-01-01   9.705
1981-01-01   9.688
1982-01-01   9.712
1983-01-01   9.760
1984-01-01   9.338
1985-01-01   9.384
1986-01-01   9.384
1987-01-01   9.320
1988-01-01   9.349
1989-01-01   9.376
1990-01-01   9.392
1991-01-01   9.479
1992-01-01   9.623
1993-01-01   9.902
1994-01-01  10.059
1995-01-01  10.104
1996-01-01  10.065
1997-01-01  10.193
1998-01-01  10.224
1999-01-01  10.350
2000-01-01  10.270
2001-01-01  10.182
2002-01-01  10.066
2003-01-01   9.898
2004-01-01  10.045
2005-01-01   9.958
2006-01-01   9.884
2007-01-01   9.918
2008-01-01   9.846
2009-01-01  10.004
2010-01-01  10.141
2011-01-01  10.059
2012-01-01  10.069
2013-01-01  10.004
2014-01-01   9.857
2015-01-01   9.796
2016-01-01   9.625
2017-01-01   9.597
