Title:               Civilian Labor Force in Jackson County, NC
Series ID:           NCJACK9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  13228
1990-02-01  13441
1990-03-01  13292
1990-04-01  13426
1990-05-01  13251
1990-06-01  13309
1990-07-01  13266
1990-08-01  13230
1990-09-01  14012
1990-10-01  14536
1990-11-01  14447
1990-12-01  13705
1991-01-01  13168
1991-02-01  13476
1991-03-01  13383
1991-04-01  13543
1991-05-01  13592
1991-06-01  13460
1991-07-01  13737
1991-08-01  13733
1991-09-01  14280
1991-10-01  14207
1991-11-01  14092
1991-12-01  13545
1992-01-01  14169
1992-02-01  14252
1992-03-01  14090
1992-04-01  14164
1992-05-01  13855
1992-06-01  14118
1992-07-01  14393
1992-08-01  14227
1992-09-01  14864
1992-10-01  14597
1992-11-01  14616
1992-12-01  13940
1993-01-01  14235
1993-02-01  14431
1993-03-01  14185
1993-04-01  14345
1993-05-01  13993
1993-06-01  14077
1993-07-01  14471
1993-08-01  14588
1993-09-01  15088
1993-10-01  15274
1993-11-01  14837
1993-12-01  14266
1994-01-01  14497
1994-02-01  14816
1994-03-01  14460
1994-04-01  14630
1994-05-01  14298
1994-06-01  14312
1994-07-01  14644
1994-08-01  14985
1994-09-01  15103
1994-10-01  15242
1994-11-01  15019
1994-12-01  14322
1995-01-01  14559
1995-02-01  14759
1995-03-01  14555
1995-04-01  14871
1995-05-01  14463
1995-06-01  14660
1995-07-01  15280
1995-08-01  15048
1995-09-01  15096
1995-10-01  15603
1995-11-01  15529
1995-12-01  14754
1996-01-01  15277
1996-02-01  15624
1996-03-01  15504
1996-04-01  15598
1996-05-01  15026
1996-06-01  15303
1996-07-01  15228
1996-08-01  15835
1996-09-01  16077
1996-10-01  16295
1996-11-01  16252
1996-12-01  15351
1997-01-01  16511
1997-02-01  16167
