Title:               Civilian Labor Force in Jones County, NC
Series ID:           NCJONE3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE       VALUE
1990-01-01  4245
1990-02-01  4244
1990-03-01  4353
1990-04-01  4417
1990-05-01  4509
1990-06-01  4558
1990-07-01  4540
1990-08-01  4509
1990-09-01  4381
1990-10-01  4487
1990-11-01  4394
1990-12-01  4429
1991-01-01  4309
1991-02-01  4350
1991-03-01  4348
1991-04-01  4392
1991-05-01  4512
1991-06-01  4560
1991-07-01  4622
1991-08-01  4697
1991-09-01  4549
1991-10-01  4420
1991-11-01  4373
1991-12-01  4329
1992-01-01  4384
1992-02-01  4379
1992-03-01  4437
1992-04-01  4474
1992-05-01  4581
1992-06-01  4757
1992-07-01  4755
1992-08-01  4684
1992-09-01  4548
1992-10-01  4517
1992-11-01  4496
1992-12-01  4410
1993-01-01  4384
1993-02-01  4391
1993-03-01  4386
1993-04-01  4439
1993-05-01  4502
1993-06-01  4582
1993-07-01  4667
1993-08-01  4689
1993-09-01  4458
1993-10-01  4465
1993-11-01  4403
1993-12-01  4367
1994-01-01  4276
1994-02-01  4318
1994-03-01  4350
1994-04-01  4382
1994-05-01  4513
1994-06-01  4633
1994-07-01  4723
1994-08-01  4749
1994-09-01  4557
1994-10-01  4517
1994-11-01  4503
1994-12-01  4467
1995-01-01  4338
1995-02-01  4464
1995-03-01  4415
1995-04-01  4510
1995-05-01  4477
1995-06-01  4623
1995-07-01  4698
1995-08-01  4624
1995-09-01  4508
1995-10-01  4556
1995-11-01  4690
1995-12-01  4609
1996-01-01  4395
1996-02-01  4286
1996-03-01  4337
1996-04-01  4461
1996-05-01  4558
1996-06-01  4630
1996-07-01  4661
1996-08-01  4606
1996-09-01  4562
1996-10-01  4585
1996-11-01  4573
1996-12-01  4539
1997-01-01  4451
1997-02-01  4518
1997-03-01  4567
1997-04-01  4594
1997-05-01  4682
1997-06-01  4734
1997-07-01  4759
1997-08-01  4786
1997-09-01  4596
1997-10-01  4602
1997-11-01  4562
1997-12-01  4508
1998-01-01  4450
1998-02-01  4457
1998-03-01  4541
1998-04-01  4478
1998-05-01  4563
1998-06-01  4650
1998-07-01  4669
1998-08-01  4562
1998-09-01  4526
1998-10-01  4512
1998-11-01  4633
1998-12-01  4511
1999-01-01  4448
1999-02-01  4439
1999-03-01  4492
1999-04-01  4552
1999-05-01  4551
1999-06-01  4736
1999-07-01  4692
1999-08-01  4638
1999-09-01  4743
1999-10-01  4621
1999-11-01  4608
1999-12-01  4531
2000-01-01  4649
2000-02-01  4656
2000-03-01  4692
2000-04-01  4692
2000-05-01  4718
2000-06-01  4762
2000-07-01  4758
2000-08-01  4736
2000-09-01  4677
2000-10-01  4615
2000-11-01  4617
2000-12-01  4634
2001-01-01  4635
2001-02-01  4663
2001-03-01  4707
2001-04-01  4586
2001-05-01  4607
2001-06-01  4696
2001-07-01  4682
2001-08-01  4615
2001-09-01  4606
2001-10-01  4590
2001-11-01  4550
2001-12-01  4512
2002-01-01  4592
2002-02-01  4632
2002-03-01  4655
2002-04-01  4677
2002-05-01  4716
2002-06-01  4731
2002-07-01  4710
2002-08-01  4692
2002-09-01  4660
2002-10-01  4663
2002-11-01  4605
2002-12-01  4578
2003-01-01  4618
2003-02-01  4673
2003-03-01  4702
2003-04-01  4755
2003-05-01  4729
2003-06-01  4821
2003-07-01  4796
2003-08-01  4722
2003-09-01  4667
2003-10-01  4774
2003-11-01  4782
2003-12-01  4737
2004-01-01  4798
2004-02-01  4845
2004-03-01  4835
2004-04-01  4861
2004-05-01  4869
2004-06-01  4941
2004-07-01  4989
2004-08-01  4929
2004-09-01  4876
2004-10-01  4899
2004-11-01  4923
2004-12-01  4889
2005-01-01  4864
2005-02-01  4875
2005-03-01  4884
2005-04-01  4906
2005-05-01  4930
2005-06-01  4981
2005-07-01  5006
2005-08-01  4984
2005-09-01  4970
2005-10-01  4963
2005-11-01  4951
2005-12-01  4906
2006-01-01  4698
2006-02-01  4743
2006-03-01  4734
2006-04-01  4746
2006-05-01  4786
2006-06-01  4877
2006-07-01  4941
2006-08-01  4844
2006-09-01  4824
2006-10-01  4830
2006-11-01  4861
2006-12-01  4796
2007-01-01  4839
2007-02-01  4828
2007-03-01  4832
2007-04-01  4810
2007-05-01  4805
2007-06-01  4879
2007-07-01  4923
2007-08-01  4784
2007-09-01  4793
2007-10-01  4772
2007-11-01  4797
2007-12-01  4786
2008-01-01  4658
2008-02-01  4610
2008-03-01  4627
2008-04-01  4653
2008-05-01  4694
2008-06-01  4772
2008-07-01  4837
2008-08-01  4691
2008-09-01  4714
2008-10-01  4680
2008-11-01  4724
2008-12-01  4696
2009-01-01  4643
2009-02-01  4632
2009-03-01  4627
2009-04-01  4582
2009-05-01  4631
2009-06-01  4649
2009-07-01  4726
2009-08-01  4626
2009-09-01  4596
2009-10-01  4598
2009-11-01  4594
2009-12-01  4549
2010-01-01  4568
2010-02-01  4578
2010-03-01  4527
2010-04-01  4603
2010-05-01  4610
2010-06-01  4679
2010-07-01  4700
2010-08-01  4635
2010-09-01  4602
2010-10-01  4626
2010-11-01  4585
2010-12-01  4465
2011-01-01  4504
2011-02-01  4512
2011-03-01  4517
2011-04-01  4539
2011-05-01  4616
2011-06-01  4667
2011-07-01  4670
2011-08-01  4677
2011-09-01  4580
2011-10-01  4606
2011-11-01  4577
2011-12-01  4527
2012-01-01  4472
2012-02-01  4551
2012-03-01  4502
2012-04-01  4539
2012-05-01  4648
2012-06-01  4682
2012-07-01  4725
2012-08-01  4602
2012-09-01  4573
2012-10-01  4646
2012-11-01  4596
2012-12-01  4533
2013-01-01  4494
2013-02-01  4499
2013-03-01  4417
2013-04-01  4463
2013-05-01  4534
2013-06-01  4612
2013-07-01  4695
2013-08-01  4565
2013-09-01  4500
2013-10-01  4586
2013-11-01  4552
2013-12-01  4542
2014-01-01  4435
2014-02-01  4402
2014-03-01  4412
2014-04-01  4427
2014-05-01  4505
2014-06-01  4602
2014-07-01  4611
2014-08-01  4458
2014-09-01  4424
2014-10-01  4568
2014-11-01  4577
2014-12-01  4451
2015-01-01  4550
2015-02-01  4516
2015-03-01  4601
2015-04-01  4511
2015-05-01  4520
2015-06-01  4620
2015-07-01  4660
2015-08-01  4489
2015-09-01  4480
2015-10-01  4555
2015-11-01  4571
2015-12-01  4502
2016-01-01  4401
2016-02-01  4434
2016-03-01  4559
2016-04-01  4529
2016-05-01  4504
2016-06-01  4525
2016-07-01  4653
2016-08-01  4489
2016-09-01  4497
2016-10-01  4592
2016-11-01  4495
2016-12-01  4447
2017-01-01  4461
2017-02-01  4545
2017-03-01  4622
2017-04-01  4543
2017-05-01  4490
2017-06-01  4460
2017-07-01  4602
2017-08-01  4475
2017-09-01  4480
2017-10-01  4468
2017-11-01  4402
2017-12-01  4423
2018-01-01  4427
2018-02-01  4534
2018-03-01  4501
2018-04-01  4504
2018-05-01  4515
2018-06-01  4564
2018-07-01  4673
2018-08-01  4479
2018-09-01  4378
2018-10-01  4436
2018-11-01  4388
