Title:               Equifax Subprime Credit Population for Davie County, NC
Series ID:           EQFXSUBPRIME037059
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  30.848660858341397
1999-04-01  30.944730077120823
1999-07-01  31.043506705920837
1999-10-01  31.303772336201190
2000-01-01  32.685455134434726
2000-04-01  32.686084142394820
2000-07-01  33.322528363047000
2000-10-01  31.737804878048780
2001-01-01  31.784386617100374
2001-04-01  30.095923261390890
2001-07-01  30.519093078758953
2001-10-01  29.864785420340980
2002-01-01  30.410719487328870
2002-04-01  29.855401190813723
2002-07-01  30.287929125138430
2002-10-01  31.218557853549466
2003-01-01  31.031567080045097
2003-04-01  30.709566216604422
2003-07-01  31.171786120591584
2003-10-01  30.934449093444910
2004-01-01  31.884057971014490
2004-04-01  30.923159018143010
2004-07-01  30.673519069515827
2004-10-01  30.617540217955370
2005-01-01  30.069749418754842
2005-04-01  29.883307965499746
2005-07-01  30.234354880247230
2005-10-01  31.038961038961038
2006-01-01  30.640522875816995
2006-04-01  29.692307692307690
2006-07-01  30.917237743806010
2006-10-01  30.795940170940174
2007-01-01  31.029882604055498
2007-04-01  30.238522698127724
2007-07-01  30.857288221826508
2007-10-01  30.749083289680463
2008-01-01  30.795664816283374
2008-04-01  30.231321457059290
2008-07-01  29.699842022116900
2008-10-01  30.331753554502370
2009-01-01  30.121757543673900
2009-04-01  29.683762955089026
2009-07-01  29.380341880341880
2009-10-01  30.125634856990107
2010-01-01  29.873960847412175
2010-04-01  29.255319148936170
2010-07-01  29.142248268513587
2010-10-01  28.728540772532190
2011-01-01  28.814913448735020
2011-04-01  28.001071811361200
2011-07-01  28.037383177570092
2011-10-01  28.499868178223043
2012-01-01  28.383012397784224
2012-04-01  28.218602207041517
2012-07-01  28.704663212435232
2012-10-01  29.146247098271860
2013-01-01  27.860948997716317
2013-04-01  28.010075566750630
2013-07-01  28.146727403500360
2013-10-01  28.403924383823880
2014-01-01  27.078384798099762
2014-04-01  26.758588455246553
2014-07-01  26.742301458670987
2014-10-01  27.070938215102974
2015-01-01  26.856492027334850
2015-04-01  26.192599197503340
2015-07-01  25.675977653631282
2015-10-01  25.835189309576840
2016-01-01  25.055580257892395
2016-04-01  25.131578947368420
2016-07-01  25.026399155227030
2016-10-01  25.030851501439738
2017-01-01  24.341563786008230
2017-04-01  24.503722084367247
2017-07-01  25.196199917389507
2017-10-01  25.532354765350423
2018-01-01  24.958540630182423
2018-04-01  24.766645924082140
2018-07-01  24.829015544041450
