Title:               Number of Private Establishments for All Industries in Edgecombe County, NC
Series ID:           ENU3706520510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   877
1990-04-01   890
1990-07-01   890
1990-10-01   893
1991-01-01   896
1991-04-01   947
1991-07-01   949
1991-10-01   960
1992-01-01   927
1992-04-01   928
1992-07-01   925
1992-10-01   928
1993-01-01   926
1993-04-01   927
1993-07-01   920
1993-10-01   941
1994-01-01   928
1994-04-01   933
1994-07-01   947
1994-10-01   945
1995-01-01   938
1995-04-01   945
1995-07-01   951
1995-10-01   968
1996-01-01   974
1996-04-01   969
1996-07-01   971
1996-10-01   974
1997-01-01   981
1997-04-01   978
1997-07-01   997
1997-10-01  1001
1998-01-01  1033
1998-04-01  1046
1998-07-01  1053
1998-10-01  1061
1999-01-01  1063
1999-04-01  1080
1999-07-01  1102
1999-10-01  1111
2000-01-01  1082
2000-04-01  1091
2000-07-01  1094
2000-10-01  1094
2001-01-01  1090
2001-04-01  1085
2001-07-01  1085
2001-10-01  1073
2002-01-01  1048
2002-04-01  1041
2002-07-01  1032
2002-10-01  1035
2003-01-01   984
2003-04-01   971
2003-07-01   981
2003-10-01   972
2004-01-01   958
2004-04-01   960
2004-07-01   952
2004-10-01   945
2005-01-01   923
2005-04-01   938
2005-07-01   934
2005-10-01   930
2006-01-01   921
2006-04-01   940
2006-07-01   932
2006-10-01   929
2007-01-01   910
2007-04-01   906
2007-07-01   905
2007-10-01   907
2008-01-01   899
2008-04-01   894
2008-07-01   884
2008-10-01   889
2009-01-01   888
2009-04-01   886
2009-07-01   880
2009-10-01   874
2010-01-01   877
2010-04-01   876
2010-07-01   873
2010-10-01   872
2011-01-01   874
2011-04-01   878
2011-07-01   893
2011-10-01   895
2012-01-01   903
2012-04-01   903
2012-07-01   899
2012-10-01   896
2013-01-01   868
2013-04-01   884
2013-07-01   880
2013-10-01   886
2014-01-01   858
2014-04-01   852
2014-07-01   850
2014-10-01   847
2015-01-01   842
2015-04-01   847
2015-07-01   852
2015-10-01   857
2016-01-01   854
2016-04-01   861
2016-07-01   834
2016-10-01   831
2017-01-01   830
2017-04-01   840
2017-07-01   829
2017-10-01   842
2018-01-01   851
