Title:               Average Weekly Wages for Employees in Total Covered Establishments in Wilmington, NC (MSA)
Series ID:           ENUC489040010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   368
1990-04-01   356
1990-07-01   368
1990-10-01   387
1991-01-01   386
1991-04-01   389
1991-07-01   384
1991-10-01   409
1992-01-01   396
1992-04-01   386
1992-07-01   398
1992-10-01   435
1993-01-01   397
1993-04-01   403
1993-07-01   411
1993-10-01   444
1994-01-01   411
1994-04-01   420
1994-07-01   429
1994-10-01   447
1995-01-01   437
1995-04-01   428
1995-07-01   432
1995-10-01   457
1996-01-01   454
1996-04-01   437
1996-07-01   445
1996-10-01   485
1997-01-01   464
1997-04-01   452
1997-07-01   461
1997-10-01   505
1998-01-01   473
1998-04-01   471
1998-07-01   479
1998-10-01   521
1999-01-01   478
1999-04-01   495
1999-07-01   492
1999-10-01   556
2000-01-01   524
2000-04-01   521
2000-07-01   515
2000-10-01   567
2001-01-01   561
2001-04-01   544
2001-07-01   536
2001-10-01   575
2002-01-01   550
2002-04-01   542
2002-07-01   533
2002-10-01   579
2003-01-01   549
2003-04-01   544
2003-07-01   547
2003-10-01   604
2004-01-01   565
2004-04-01   562
2004-07-01   572
2004-10-01   637
2005-01-01   589
2005-04-01   588
2005-07-01   611
2005-10-01   655
2006-01-01   634
2006-04-01   610
2006-07-01   613
2006-10-01   676
2007-01-01   652
2007-04-01   634
2007-07-01   644
2007-10-01   704
2008-01-01   674
2008-04-01   657
2008-07-01   661
2008-10-01   723
2009-01-01   681
2009-04-01   664
2009-07-01   678
2009-10-01   764
2010-01-01   688
2010-04-01   687
2010-07-01   698
2010-10-01   768
2011-01-01   711
2011-04-01   710
2011-07-01   725
2011-10-01   755
2012-01-01   727
2012-04-01   702
2012-07-01   696
2012-10-01   761
2013-01-01   749
2013-04-01   722
2013-07-01   727
2013-10-01   784
2014-01-01   758
2014-04-01   738
2014-07-01   737
2014-10-01   815
2015-01-01   765
2015-04-01   755
2015-07-01   755
2015-10-01   848
2016-01-01   786
2016-04-01   773
2016-07-01   804
2016-10-01   849
2017-01-01   836
2017-04-01   859
2017-07-01   803
2017-10-01   858
2018-01-01   857
