Title:               Number of Private Establishments for All Industries in Rutherford County, NC
Series ID:           ENU3716120510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   995
1990-04-01  1011
1990-07-01  1022
1990-10-01  1036
1991-01-01  1008
1991-04-01   995
1991-07-01  1004
1991-10-01  1016
1992-01-01  1009
1992-04-01  1009
1992-07-01  1004
1992-10-01   998
1993-01-01  1001
1993-04-01   996
1993-07-01   999
1993-10-01  1012
1994-01-01  1011
1994-04-01  1019
1994-07-01  1025
1994-10-01  1024
1995-01-01  1035
1995-04-01  1049
1995-07-01  1043
1995-10-01  1061
1996-01-01  1052
1996-04-01  1063
1996-07-01  1072
1996-10-01  1087
1997-01-01  1099
1997-04-01  1113
1997-07-01  1125
1997-10-01  1140
1998-01-01  1123
1998-04-01  1137
1998-07-01  1140
1998-10-01  1157
1999-01-01  1164
1999-04-01  1199
1999-07-01  1213
1999-10-01  1237
2000-01-01  1254
2000-04-01  1261
2000-07-01  1198
2000-10-01  1197
2001-01-01  1194
2001-04-01  1194
2001-07-01  1202
2001-10-01  1208
2002-01-01  1243
2002-04-01  1250
2002-07-01  1265
2002-10-01  1263
2003-01-01  1212
2003-04-01  1214
2003-07-01  1218
2003-10-01  1216
2004-01-01  1219
2004-04-01  1235
2004-07-01  1229
2004-10-01  1234
2005-01-01  1231
2005-04-01  1229
2005-07-01  1243
2005-10-01  1241
2006-01-01  1248
2006-04-01  1248
2006-07-01  1270
2006-10-01  1267
2007-01-01  1293
2007-04-01  1291
2007-07-01  1305
2007-10-01  1311
2008-01-01  1296
2008-04-01  1300
2008-07-01  1305
2008-10-01  1301
2009-01-01  1282
2009-04-01  1273
2009-07-01  1270
2009-10-01  1265
2010-01-01  1253
2010-04-01  1259
2010-07-01  1251
2010-10-01  1260
2011-01-01  1250
2011-04-01  1268
2011-07-01  1287
2011-10-01  1289
2012-01-01  1291
2012-04-01  1293
2012-07-01  1281
2012-10-01  1265
2013-01-01  1227
2013-04-01  1229
2013-07-01  1218
2013-10-01  1230
2014-01-01  1248
2014-04-01  1238
2014-07-01  1238
2014-10-01  1229
2015-01-01  1227
2015-04-01  1223
2015-07-01  1217
2015-10-01  1228
2016-01-01  1226
2016-04-01  1251
2016-07-01  1224
2016-10-01  1222
2017-01-01  1211
2017-04-01  1226
2017-07-01  1230
2017-10-01  1228
2018-01-01  1234
