Title:               Equifax Subprime Credit Population for Lenoir County, NC
Series ID:           EQFXSUBPRIME037107
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  40.940045399919880
1999-04-01  41.651973416519730
1999-07-01  41.012411100264956
1999-10-01  40.881763527054110
2000-01-01  41.038211968276855
2000-04-01  40.646087580760950
2000-07-01  40.675081548716500
2000-10-01  39.492704213827900
2001-01-01  39.612530915086566
2001-04-01  39.185716218044100
2001-07-01  40.093048713738370
2001-10-01  40.661425860666850
2002-01-01  41.254988303288840
2002-04-01  41.212715305979550
2002-07-01  40.994997220678150
2002-10-01  40.435328589367934
2003-01-01  41.153081510934390
2003-04-01  41.206896551724135
2003-07-01  41.060080878105140
2003-10-01  41.816849816849820
2004-01-01  41.786870768324990
2004-04-01  41.275318829707420
2004-07-01  40.307416803462170
2004-10-01  40.633284241531660
2005-01-01  39.638061879743140
2005-04-01  40.597777110243314
2005-07-01  39.871141744081510
2005-10-01  40.391271632806620
2006-01-01  40.982129448866196
2006-04-01  40.709687078904025
2006-07-01  40.734582829504234
2006-10-01  41.530139103554866
2007-01-01  39.697822544808176
2007-04-01  38.832968636032090
2007-07-01  39.802483914409700
2007-10-01  40.857503152585120
2008-01-01  42.986348122866890
2008-04-01  43.366816764807760
2008-07-01  43.532078103207810
2008-10-01  43.096526444405654
2009-01-01  42.782951289398280
2009-04-01  42.644658080899690
2009-07-01  41.996744438415625
2009-10-01  41.948382406397670
2010-01-01  42.267294458529520
2010-04-01  42.107181917608460
2010-07-01  41.574889867841410
2010-10-01  42.430939226519335
2011-01-01  41.872465904902320
2011-04-01  41.645053723601336
2011-07-01  41.486010746711140
2011-10-01  41.665121453736326
2012-01-01  41.055935019383420
2012-04-01  40.608294930875580
2012-07-01  40.968514085803720
2012-10-01  40.934818331203220
2013-01-01  39.665708123652050
2013-04-01  39.111900532859680
2013-07-01  38.901791639017915
2013-10-01  38.696301210814400
2014-01-01  38.467874794069190
2014-04-01  38.586595885865960
2014-07-01  38.322665353684556
2014-10-01  38.518155053974480
2015-01-01  37.413765442002244
2015-04-01  37.197758206565254
2015-07-01  37.469898860170170
2015-10-01  38.359916223618500
2016-01-01  38.218437858195514
2016-04-01  37.763265306122450
2016-07-01  36.632132364311120
2016-10-01  36.570026077619270
2017-01-01  36.450913595540410
2017-04-01  35.922178988326850
2017-07-01  36.215360253365006
2017-10-01  36.648631444939525
2018-01-01  36.350597609561750
2018-04-01  36.093724923768260
2018-07-01  36.091917081793350
