Title:               Total Quarterly Wages in Burlington, NC (MSA)
Series ID:           ENUC155030010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.

DATE            VALUE
1990-01-01  231652053
1990-04-01  240846518
1990-07-01  236627050
1990-10-01  257719861
1991-01-01  239139901
1991-04-01  247664013
1991-07-01  247261834
1991-10-01  279085059
1992-01-01  252706514
1992-04-01  261825890
1992-07-01  255240308
1992-10-01  292270575
1993-01-01  255399241
1993-04-01  274706899
1993-07-01  277823442
1993-10-01  316898502
1994-01-01  276109083
1994-04-01  290723453
1994-07-01  299770268
1994-10-01  331595336
1995-01-01  301639403
1995-04-01  313716951
1995-07-01  301312134
1995-10-01  342184003
1996-01-01  309609399
1996-04-01  333616103
1996-07-01  325585636
1996-10-01  374591460
1997-01-01  337264652
1997-04-01  356311843
1997-07-01  347231933
1997-10-01  403853499
1998-01-01  357431065
1998-04-01  381085863
1998-07-01  365627261
1998-10-01  420142307
1999-01-01  377000093
1999-04-01  406221669
1999-07-01  404768029
1999-10-01  477004104
2000-01-01  425782508
2000-04-01  438166376
2000-07-01  435589358
2000-10-01  469429352
2001-01-01  439159696
2001-04-01  437067133
2001-07-01  423672186
2001-10-01  464377476
2002-01-01  436327909
2002-04-01  438744897
2002-07-01  421758669
2002-10-01  445723967
2003-01-01  420536799
2003-04-01  423666118
2003-07-01  417376345
2003-10-01  452017442
2004-01-01  430687790
2004-04-01  443273457
2004-07-01  438387754
2004-10-01  484135165
2005-01-01  435900044
2005-04-01  456169622
2005-07-01  455646453
2005-10-01  477856353
2006-01-01  468910298
2006-04-01  456982005
2006-07-01  451873981
2006-10-01  541811676
2007-01-01  491615514
2007-04-01  502057110
2007-07-01  482296770
2007-10-01  519283864
2008-01-01  504999685
2008-04-01  524014213
2008-07-01  489714296
2008-10-01  525388530
2009-01-01  455183639
2009-04-01  450216632
2009-07-01  445903399
2009-10-01  494300976
2010-01-01  446107243
2010-04-01  454548543
2010-07-01  455044509
2010-10-01  511637806
2011-01-01  473150077
2011-04-01  493020340
2011-07-01  481984917
2011-10-01  502677579
2012-01-01  499863638
2012-04-01  498243926
2012-07-01  492629549
2012-10-01  523061522
2013-01-01  512389536
2013-04-01  523016479
2013-07-01  498174615
2013-10-01  541835897
2014-01-01  505933706
2014-04-01  512705608
2014-07-01  515119846
2014-10-01  555560319
2015-01-01  526466439
2015-04-01  514335059
2015-07-01  530279246
2015-10-01  586652231
2016-01-01  543026774
2016-04-01  577083831
2016-07-01  579112508
2016-10-01  607032280
2017-01-01  606044209
2017-04-01  602448376
2017-07-01  579829630
2017-10-01  623702179
2018-01-01  622206942
