Title:               Average Weekly Wages for Employees in Local Government Establishments in Rocky Mount, NC (MSA)
Series ID:           ENUC405840310
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   356
1990-04-01   384
1990-07-01   367
1990-10-01   413
1991-01-01   383
1991-04-01   415
1991-07-01   373
1991-10-01   421
1992-01-01   385
1992-04-01   426
1992-07-01   412
1992-10-01   421
1993-01-01   412
1993-04-01   433
1993-07-01   434
1993-10-01   427
1994-01-01   417
1994-04-01   452
1994-07-01   454
1994-10-01   443
1995-01-01   430
1995-04-01   438
1995-07-01   442
1995-10-01   446
1996-01-01   444
1996-04-01   440
1996-07-01   478
1996-10-01   480
1997-01-01   456
1997-04-01   454
1997-07-01   513
1997-10-01   506
1998-01-01   483
1998-04-01   475
1998-07-01   535
1998-10-01   558
1999-01-01   509
1999-04-01   525
1999-07-01   561
1999-10-01   590
2000-01-01   533
2000-04-01   562
2000-07-01   551
2000-10-01   595
2001-01-01   547
2001-04-01   580
2001-07-01   570
2001-10-01   604
2002-01-01   563
2002-04-01   586
2002-07-01   580
2002-10-01   606
2003-01-01   588
2003-04-01   595
2003-07-01   590
2003-10-01   627
2004-01-01   584
2004-04-01   578
2004-07-01   608
2004-10-01   611
2005-01-01   607
2005-04-01   589
2005-07-01   645
2005-10-01   618
2006-01-01   625
2006-04-01   587
2006-07-01   660
2006-10-01   636
2007-01-01   656
2007-04-01   620
2007-07-01   686
2007-10-01   700
2008-01-01   655
2008-04-01   657
2008-07-01   688
2008-10-01   698
2009-01-01   674
2009-04-01   675
2009-07-01   687
2009-10-01   714
2010-01-01   661
2010-04-01   670
2010-07-01   702
2010-10-01   720
2011-01-01   663
2011-04-01   689
2011-07-01   709
2011-10-01   734
2012-01-01   673
2012-04-01   698
2012-07-01   683
2012-10-01   725
2013-01-01   677
2013-04-01   732
2013-07-01   730
2013-10-01   716
2014-01-01   714
2014-04-01   686
2014-07-01   746
2014-10-01   728
2015-01-01   763
2015-04-01   723
2015-07-01   766
2015-10-01   777
2016-01-01   749
2016-04-01   719
2016-07-01   807
2016-10-01   779
2017-01-01   805
2017-04-01   732
2017-07-01   831
2017-10-01   773
2018-01-01   818
