Title:               Average Weekly Wages for Employees in Private Establishments in Goldsboro, NC (MSA)
Series ID:           ENUC241440510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   292
1990-04-01   294
1990-07-01   294
1990-10-01   323
1991-01-01   307
1991-04-01   307
1991-07-01   308
1991-10-01   337
1992-01-01   321
1992-04-01   320
1992-07-01   324
1992-10-01   376
1993-01-01   319
1993-04-01   334
1993-07-01   346
1993-10-01   386
1994-01-01   332
1994-04-01   342
1994-07-01   352
1994-10-01   382
1995-01-01   352
1995-04-01   367
1995-07-01   360
1995-10-01   407
1996-01-01   374
1996-04-01   384
1996-07-01   381
1996-10-01   438
1997-01-01   388
1997-04-01   400
1997-07-01   399
1997-10-01   451
1998-01-01   399
1998-04-01   414
1998-07-01   423
1998-10-01   470
1999-01-01   419
1999-04-01   429
1999-07-01   441
1999-10-01   487
2000-01-01   436
2000-04-01   447
2000-07-01   442
2000-10-01   482
2001-01-01   444
2001-04-01   454
2001-07-01   444
2001-10-01   495
2002-01-01   466
2002-04-01   463
2002-07-01   471
2002-10-01   499
2003-01-01   462
2003-04-01   462
2003-07-01   471
2003-10-01   516
2004-01-01   470
2004-04-01   482
2004-07-01   504
2004-10-01   549
2005-01-01   488
2005-04-01   502
2005-07-01   525
2005-10-01   552
2006-01-01   529
2006-04-01   519
2006-07-01   527
2006-10-01   572
2007-01-01   532
2007-04-01   533
2007-07-01   539
2007-10-01   589
2008-01-01   538
2008-04-01   532
2008-07-01   550
2008-10-01   580
2009-01-01   527
2009-04-01   537
2009-07-01   551
2009-10-01   614
2010-01-01   535
2010-04-01   575
2010-07-01   594
2010-10-01   653
2011-01-01   566
2011-04-01   606
2011-07-01   643
2011-10-01   657
2012-01-01   635
2012-04-01   625
2012-07-01   625
2012-10-01   667
2013-01-01   630
2013-04-01   624
2013-07-01   637
2013-10-01   656
2014-01-01   625
2014-04-01   614
2014-07-01   628
2014-10-01   675
2015-01-01   633
2015-04-01   630
2015-07-01   646
2015-10-01   711
2016-01-01   628
2016-04-01   643
2016-07-01   677
2016-10-01   702
2017-01-01   670
2017-04-01   673
2017-07-01   661
2017-10-01   704
2018-01-01   679
