Title:               Equifax Subprime Credit Population for Lincoln County, NC
Series ID:           EQFXSUBPRIME037109
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  36.896021854191560
1999-04-01  37.482829670329670
1999-07-01  37.013543631064636
1999-10-01  36.113037447988900
2000-01-01  36.514305652477320
2000-04-01  35.980828483396095
2000-07-01  36.663941128372850
2000-10-01  35.347707257819614
2001-01-01  35.685271551075670
2001-04-01  35.393848462115530
2001-07-01  34.550195567144720
2001-10-01  35.415787252005070
2002-01-01  35.672186359809146
2002-04-01  35.524846454494690
2002-07-01  35.961800818553890
2002-10-01  36.412224201726740
2003-01-01  35.806625370320496
2003-04-01  36.056838365896980
2003-07-01  35.871196616182290
2003-10-01  35.937500000000000
2004-01-01  37.105700055340340
2004-04-01  36.316365626710460
2004-07-01  36.187465640461790
2004-10-01  36.358775564764066
2005-01-01  35.649665661465846
2005-04-01  35.410135841170320
2005-07-01  34.515491100856956
2005-10-01  35.129819040125890
2006-01-01  35.033433853415495
2006-04-01  34.810867021968020
2006-07-01  35.475944128297980
2006-10-01  34.839554682383760
2007-01-01  34.749600426212040
2007-04-01  34.160834543773930
2007-07-01  34.656225112821880
2007-10-01  35.260597637248090
2008-01-01  36.185434253827445
2008-04-01  36.132278936017250
2008-07-01  35.827729288882530
2008-10-01  36.314363143631430
2009-01-01  35.489913544668590
2009-04-01  35.450730719143394
2009-07-01  35.509851862505390
2009-10-01  35.922190201729100
2010-01-01  35.187057633973710
2010-04-01  35.415167650021590
2010-07-01  35.197836606888700
2010-10-01  35.495367070563080
2011-01-01  34.578502934020320
2011-04-01  34.123222748815170
2011-07-01  34.615936826992105
2011-10-01  34.790159189580315
2012-01-01  34.548611111111110
2012-04-01  33.857245854361935
2012-07-01  33.558493820063234
2012-10-01  34.575365579302584
2013-01-01  33.551465576005450
2013-04-01  32.790169627354080
2013-07-01  32.103366877873030
2013-10-01  32.284625783458274
2014-01-01  31.414838550653190
2014-04-01  31.694666817003043
2014-07-01  31.872421099587378
2014-10-01  31.656509695290858
2015-01-01  30.955526199911930
2015-04-01  30.744901297851456
2015-07-01  30.923176242737250
2015-10-01  30.770046669495123
2016-01-01  30.361090641120120
2016-04-01  29.574309185959674
2016-07-01  29.760535396842000
2016-10-01  29.914973040232270
2017-01-01  29.392871943638628
2017-04-01  28.384639143416040
2017-07-01  28.630916108064184
2017-10-01  29.032915520228270
2018-01-01  28.614178103394906
2018-04-01  28.065674704976910
2018-07-01  28.345250255362615
