Title:               Average Weekly Wages for Employees in Total Covered Establishments in Charlotte-Gastonia-Rock Hill, NC-SC (MSA)
Series ID:           ENUC167440010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   440.9
1990-04-01   438.3
1990-07-01   445.3
1990-10-01   448.2
1991-01-01   454.6
1991-04-01   485.8
1991-07-01   469.1
1991-10-01   466.9
1992-01-01   479.1
1992-04-01   480.5
1992-07-01   488.8
1992-10-01   508.9
1993-01-01   475.9
1993-04-01   495.4
1993-07-01   507.6
1993-10-01   518.5
1994-01-01   502.4
1994-04-01   510.2
1994-07-01   529.8
1994-10-01   524.9
1995-01-01   538.8
1995-04-01   545.6
1995-07-01   544.5
1995-10-01   551.7
1996-01-01   565.1
1996-04-01   569.5
1996-07-01   575.0
1996-10-01   581.3
1997-01-01   592.2
1997-04-01   594.2
1997-07-01   609.3
1997-10-01   631.2
1998-01-01   634.8
1998-04-01   635.9
1998-07-01   646.5
1998-10-01   667.4
1999-01-01   640.4
1999-04-01   670.4
1999-07-01   682.2
1999-10-01   697.3
2000-01-01   700.3
2000-04-01   702.4
2000-07-01   711.2
2000-10-01   721.3
2001-01-01   724.3
2001-04-01   732.3
2001-07-01   728.4
2001-10-01   730.4
2002-01-01   747.0
2002-04-01   757.1
2002-07-01   753.5
2002-10-01   749.0
2003-01-01   757.5
2003-04-01   763.4
2003-07-01   784.0
2003-10-01   786.6
2004-01-01   783.5
2004-04-01   794.4
2004-07-01   803.4
2004-10-01   845.4
2005-01-01   834.3
2005-04-01   837.6
2005-07-01   855.7
2005-10-01   842.1
2006-01-01   891.9
2006-04-01   876.6
2006-07-01   875.6
2006-10-01   874.6
2007-01-01   935.0
2007-04-01   893.1
2007-07-01   882.3
2007-10-01   895.5
2008-01-01   917.3
2008-04-01   904.2
2008-07-01   914.1
2008-10-01   897.5
2009-01-01   850.6
2009-04-01   892.6
2009-07-01   904.0
2009-10-01   917.0
2010-01-01   907.2
2010-04-01   933.5
2010-07-01   921.9
2010-10-01   955.7
2011-01-01   958.8
2011-04-01   953.3
2011-07-01   980.8
2011-10-01   937.0
2012-01-01   984.5
2012-04-01   969.0
2012-07-01   983.8
2012-10-01   989.1
2013-01-01   958.0
2013-04-01   964.4
2013-07-01   958.7
2013-10-01   966.0
2014-01-01   994.0
2014-04-01   983.6
2014-07-01   986.4
2014-10-01   998.0
2015-01-01  1013.0
2015-04-01  1017.0
2015-07-01  1024.9
2015-10-01  1064.6
2016-01-01   997.6
2016-04-01  1045.8
2016-07-01  1090.7
2016-10-01  1055.1
2017-01-01  1068.9
2017-04-01  1076.4
2017-07-01  1063.8
2017-10-01  1086.9
2018-01-01  1099.2
