Title:               Average Weekly Wages for Employees in Federal Government Establishments in Asheville, NC (MSA)
Series ID:           ENUC117040110
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   518
1990-04-01   484
1990-07-01   535
1990-10-01   552
1991-01-01   563
1991-04-01   545
1991-07-01   579
1991-10-01   640
1992-01-01   652
1992-04-01   594
1992-07-01   654
1992-10-01   666
1993-01-01   669
1993-04-01   621
1993-07-01   690
1993-10-01   642
1994-01-01   677
1994-04-01   629
1994-07-01   728
1994-10-01   680
1995-01-01   721
1995-04-01   676
1995-07-01   726
1995-10-01   748
1996-01-01   798
1996-04-01   762
1996-07-01   746
1996-10-01   786
1997-01-01   758
1997-04-01   764
1997-07-01   765
1997-10-01   829
1998-01-01   753
1998-04-01   800
1998-07-01   789
1998-10-01   849
1999-01-01   785
1999-04-01   851
1999-07-01   836
1999-10-01   895
2000-01-01   887
2000-04-01   830
2000-07-01   843
2000-10-01   904
2001-01-01   966
2001-04-01   975
2001-07-01   908
2001-10-01   952
2002-01-01   941
2002-04-01   935
2002-07-01   881
2002-10-01   943
2003-01-01  1025
2003-04-01  1054
2003-07-01  1042
2003-10-01  1056
2004-01-01  1218
2004-04-01  1128
2004-07-01  1151
2004-10-01  1144
2005-01-01  1126
2005-04-01  1153
2005-07-01  1106
2005-10-01  1164
2006-01-01  1168
2006-04-01  1343
2006-07-01  1268
2006-10-01  1268
2007-01-01  1265
2007-04-01  1333
2007-07-01  1291
2007-10-01  1388
2008-01-01  1330
2008-04-01  1417
2008-07-01  1296
2008-10-01  1432
2009-01-01  1351
2009-04-01  1358
2009-07-01  1338
2009-10-01  1323
2010-01-01  1120
2010-04-01  1158
2010-07-01  1105
2010-10-01  1378
2011-01-01  1173
2011-04-01  1348
2011-07-01  1304
2011-10-01  1236
2012-01-01  1362
2012-04-01  1220
2012-07-01  1341
2012-10-01  1261
2013-01-01  1392
2013-04-01  1233
2013-07-01  1437
2013-10-01  1281
2014-01-01  1525
2014-04-01  1287
2014-07-01  1486
2014-10-01  1312
2015-01-01  1546
2015-04-01  1291
2015-07-01  1528
2015-10-01  1392
2016-01-01  1433
2016-04-01  1359
2016-07-01  1550
2016-10-01  1505
2017-01-01  1457
2017-04-01  1512
2017-07-01  1392
2017-10-01  1553
2018-01-01  1453
