Title:               Equifax Subprime Credit Population for Caswell County, NC
Series ID:           EQFXSUBPRIME037033
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  38.196647032170370
1999-04-01  39.711538461538460
1999-07-01  38.395989974937340
1999-10-01  38.810483870967744
2000-01-01  38.721227621483380
2000-04-01  38.033968090581574
2000-07-01  38.434695912263210
2000-10-01  37.624703087885980
2001-01-01  38.862332695984705
2001-04-01  39.054373522458630
2001-07-01  39.371624938635250
2001-10-01  39.693593314763234
2002-01-01  39.471243042671620
2002-04-01  39.432875498449270
2002-07-01  39.847601972209770
2002-10-01  39.830129637907916
2003-01-01  39.578664276109365
2003-04-01  38.815207780725020
2003-07-01  40.239043824701190
2003-10-01  40.227372103191954
2004-01-01  41.004366812227070
2004-04-01  41.135674035543990
2004-07-01  41.442224152910510
2004-10-01  42.237640936686900
2005-01-01  41.695501730103810
2005-04-01  40.964875158696570
2005-07-01  41.882673942701224
2005-10-01  42.116917626217890
2006-01-01  42.436412315930390
2006-04-01  41.604884430876580
2006-07-01  42.237947810703230
2006-10-01  41.689250225835586
2007-01-01  41.696914700544460
2007-04-01  41.176470588235290
2007-07-01  41.797752808988760
2007-10-01  42.063118228921340
2008-01-01  44.439094848338954
2008-04-01  44.417824628653570
2008-07-01  43.517635843660630
2008-10-01  43.413033286451010
2009-01-01  43.536761172513216
2009-04-01  42.870905587668595
2009-07-01  42.300641613198906
2009-10-01  43.186003683241250
2010-01-01  42.738205365402410
2010-04-01  41.647385469689960
2010-07-01  41.463414634146340
2010-10-01  41.772151898734180
2011-01-01  40.397963905599260
2011-04-01  40.351689032855160
2011-07-01  39.906976744186046
2011-10-01  40.611764705882350
2012-01-01  39.600742804085420
2012-04-01  40.102948058025270
2012-07-01  40.114068441064640
2012-10-01  40.608899297423890
2013-01-01  39.235955056179776
2013-04-01  39.327804452204276
2013-07-01  38.854296388542960
2013-10-01  38.610526315789470
2014-01-01  37.702871410736580
2014-04-01  37.016337059329320
2014-07-01  36.945169712793735
2014-10-01  37.391681109185440
2015-01-01  36.659340659340664
2015-04-01  35.763888888888890
2015-07-01  35.636679704476315
2015-10-01  35.692835692835690
2016-01-01  34.714348015699960
2016-04-01  34.136891950064570
2016-07-01  33.927813163481950
2016-10-01  33.939644481190570
2017-01-01  34.141245298788130
2017-04-01  34.072249589490966
2017-07-01  33.939644481190570
2017-10-01  34.231247409863240
2018-01-01  33.628318584070800
2018-04-01  33.052985702270820
2018-07-01  33.291614518147680
