Title:               Equifax Subprime Credit Population for Jones County, NC
Series ID:           EQFXSUBPRIME037103
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  45.669291338582680
1999-04-01  46.244131455399064
1999-07-01  44.244604316546760
1999-10-01  44.106463878327000
2000-01-01  42.961165048543684
2000-04-01  40.481927710843370
2000-07-01  41.791044776119400
2000-10-01  39.111592632719390
2001-01-01  39.828693790149890
2001-04-01  39.468302658486710
2001-07-01  40.040444893832150
2001-10-01  40.628272251308900
2002-01-01  40.398740818467990
2002-04-01  41.233766233766230
2002-07-01  41.750841750841750
2002-10-01  42.434584755403870
2003-01-01  42.176870748299320
2003-04-01  41.210710128055880
2003-07-01  41.893491124260360
2003-10-01  43.704600484261505
2004-01-01  45.030674846625764
2004-04-01  42.803970223325060
2004-07-01  43.636363636363630
2004-10-01  43.870192307692310
2005-01-01  42.805755395683455
2005-04-01  41.737032569360680
2005-07-01  43.529411764705884
2005-10-01  43.734939759036145
2006-01-01  42.162818955042525
2006-04-01  42.716049382716050
2006-07-01  41.851851851851850
2006-10-01  41.811414392059554
2007-01-01  41.283292978208230
2007-04-01  40.903686087990486
2007-07-01  42.080378250591020
2007-10-01  42.981366459627330
2008-01-01  43.636363636363630
2008-04-01  42.474489795918366
2008-07-01  42.566709021601020
2008-10-01  43.726235741444870
2009-01-01  43.233082706766915
2009-04-01  40.989847715736040
2009-07-01  40.983606557377050
2009-10-01  41.253263707571804
2010-01-01  41.048593350383630
2010-04-01  41.720154043645700
2010-07-01  41.645569620253160
2010-10-01  40.750000000000000
2011-01-01  41.047503045066990
2011-04-01  41.073657927590510
2011-07-01  41.320293398533010
2011-10-01  40.981595092024540
2012-01-01  40.745192307692310
2012-04-01  39.709443099273610
2012-07-01  40.095465393794750
2012-10-01  40.481927710843370
2013-01-01  39.064327485380120
2013-04-01  37.500000000000000
2013-07-01  37.581699346405230
2013-10-01  36.383682469680260
2014-01-01  35.430463576158935
2014-04-01  35.524920466595970
2014-07-01  35.722160970231530
2014-10-01  36.403995560488350
2015-01-01  35.211267605633800
2015-04-01  35.921325051759840
2015-07-01  35.854922279792746
2015-10-01  35.330578512396690
2016-01-01  36.029411764705884
2016-04-01  34.579439252336450
2016-07-01  32.716049382716050
2016-10-01  32.640332640332645
2017-01-01  31.979166666666664
2017-04-01  32.915360501567400
2017-07-01  31.578947368421050
2017-10-01  32.778355879292405
2018-01-01  32.515337423312886
2018-04-01  33.401221995926676
2018-07-01  34.175935288169870
