Title:               Average Weekly Wages for Employees in Federal Government Establishments in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           ENUC472640110
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   531
1990-04-01   517
1990-07-01   527
1990-10-01   551
1991-01-01   561
1991-04-01   552
1991-07-01   587
1991-10-01   578
1992-01-01   592
1992-04-01   571
1992-07-01   626
1992-10-01   631
1993-01-01   619
1993-04-01   598
1993-07-01   659
1993-10-01   653
1994-01-01   663
1994-04-01   655
1994-07-01   699
1994-10-01   684
1995-01-01   693
1995-04-01   695
1995-07-01   711
1995-10-01   710
1996-01-01   726
1996-04-01   722
1996-07-01   741
1996-10-01   687
1997-01-01   716
1997-04-01   782
1997-07-01   749
1997-10-01   806
1998-01-01   763
1998-04-01   859
1998-07-01   735
1998-10-01   832
1999-01-01   751
1999-04-01   833
1999-07-01   754
1999-10-01   769
2000-01-01   864
2000-04-01   771
2000-07-01   869
2000-10-01   796
2001-01-01   929
2001-04-01   873
2001-07-01   854
2001-10-01   912
2002-01-01   997
2002-04-01   934
2002-07-01  1010
2002-10-01   947
2003-01-01  1022
2003-04-01   983
2003-07-01  1075
2003-10-01   984
2004-01-01  1091
2004-04-01  1009
2004-07-01  1081
2004-10-01  1051
2005-01-01  1035
2005-04-01  1014
2005-07-01  1171
2005-10-01  1127
2006-01-01  1092
2006-04-01  1163
2006-07-01  1096
2006-10-01  1172
2007-01-01  1116
2007-04-01  1206
2007-07-01  1262
2007-10-01  1234
2008-01-01  1138
2008-04-01  1258
2008-07-01  1154
2008-10-01  1319
2009-01-01  1158
2009-04-01  1278
2009-07-01  1214
2009-10-01  1336
2010-01-01  1179
2010-04-01  1311
2010-07-01  1211
2010-10-01  1388
2011-01-01  1204
2011-04-01  1388
2011-07-01  1364
2011-10-01  1272
2012-01-01  1343
2012-04-01  1222
2012-07-01  1355
2012-10-01  1262
2013-01-01  1355
2013-04-01  1237
2013-07-01  1298
2013-10-01  1200
2014-01-01  1395
2014-04-01  1275
2014-07-01  1419
2014-10-01  1261
2015-01-01  1493
2015-04-01  1315
2015-07-01  1494
2015-10-01  1338
2016-01-01  1357
2016-04-01  1311
2016-07-01  1537
2016-10-01  1506
2017-01-01  1399
2017-04-01  1539
2017-07-01  1425
2017-10-01  1545
2018-01-01  1426
