Title:               Equifax Subprime Credit Population for Yancey County, NC
Series ID:           EQFXSUBPRIME037199
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  30.993788819875780
1999-04-01  32.103210321032110
1999-07-01  30.198019801980198
1999-10-01  29.791271347248580
2000-01-01  29.377311960542542
2000-04-01  28.824969400244800
2000-07-01  28.635204081632654
2000-10-01  27.902621722846444
2001-01-01  26.943174395819725
2001-04-01  24.712990936555894
2001-07-01  25.467497773820124
2001-10-01  25.214987714987714
2002-01-01  24.909983633387890
2002-04-01  24.448051948051948
2002-07-01  25.268258913118725
2002-10-01  25.753012048192770
2003-01-01  27.035699959887687
2003-04-01  26.404731727925647
2003-07-01  27.324312527280664
2003-10-01  27.727075184702304
2004-01-01  29.118597138901710
2004-04-01  27.325864588407210
2004-07-01  27.403598971722364
2004-10-01  26.628151260504200
2005-01-01  27.017178552837063
2005-04-01  26.082628173220506
2005-07-01  26.629327902240323
2005-10-01  28.026449643947100
2006-01-01  27.811244979919680
2006-04-01  29.024144869215290
2006-07-01  29.081364829396330
2006-10-01  29.197860962566846
2007-01-01  29.752953813104188
2007-04-01  28.548300053966543
2007-07-01  28.812636165577345
2007-10-01  29.375696767001113
2008-01-01  30.452436194895594
2008-04-01  29.614485981308412
2008-07-01  29.198361614979518
2008-10-01  30.168269230769230
2009-01-01  32.019405700424500
2009-04-01  30.539609644087257
2009-07-01  30.926033779848574
2009-10-01  32.117647058823530
2010-01-01  32.149200710479576
2010-04-01  30.429664508534433
2010-07-01  30.315420560747665
2010-10-01  29.689366786140980
2011-01-01  29.481132075471700
2011-04-01  29.707112970711297
2011-07-01  28.487690504103163
2011-10-01  29.214157168566285
2012-01-01  28.666666666666668
2012-04-01  28.743235117257964
2012-07-01  27.837514934289125
2012-10-01  28.306403351286650
2013-01-01  26.780626780626783
2013-04-01  25.870930896630494
2013-07-01  27.292696320702910
2013-10-01  27.302275189599136
2014-01-01  27.311827956989248
2014-04-01  27.721179624664877
2014-07-01  26.749864351600650
2014-10-01  27.327163854109960
2015-01-01  26.446727961060034
2015-04-01  25.967741935483872
2015-07-01  26.382978723404253
2015-10-01  27.171017581246670
2016-01-01  27.133015368309486
2016-04-01  26.702412868632706
2016-07-01  26.698262243285942
2016-10-01  27.191129883843720
2017-01-01  26.550079491255964
2017-04-01  25.237091675447843
2017-07-01  25.380977404098793
2017-10-01  26.315789473684210
2018-01-01  25.435356200527703
2018-04-01  24.788583509513742
2018-07-01  25.973360655737704
