Title:               Equifax Subprime Credit Population for Stanly County, NC
Series ID:           EQFXSUBPRIME037167
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  39.362297221704270
1999-04-01  39.673607203151380
1999-07-01  38.470191226096740
1999-10-01  39.018910316420150
2000-01-01  39.065171955158654
2000-04-01  39.525838118170030
2000-07-01  39.710728670816550
2000-10-01  37.571255830022450
2001-01-01  38.440814952012126
2001-04-01  37.483443708609270
2001-07-01  37.261669953977645
2001-10-01  37.614974987897370
2002-01-01  37.478052673583400
2002-04-01  37.539732994278445
2002-07-01  38.118654822335024
2002-10-01  38.604143947655400
2003-01-01  38.381775333857036
2003-04-01  37.709056484695490
2003-07-01  37.766882808793300
2003-10-01  38.374647003451520
2004-01-01  38.986262434864990
2004-04-01  38.668952618453865
2004-07-01  37.860146394642580
2004-10-01  37.820021462517246
2005-01-01  38.453209590100540
2005-04-01  37.973308504034760
2005-07-01  37.953387868498226
2005-10-01  38.249063670411985
2006-01-01  38.390335738939440
2006-04-01  37.711598746081506
2006-07-01  37.736143637782980
2006-10-01  38.154934104789454
2007-01-01  38.422764227642276
2007-04-01  37.589328251548350
2007-07-01  37.752665923921690
2007-10-01  38.091406501448350
2008-01-01  38.610038610038610
2008-04-01  38.325089544601740
2008-07-01  37.914131169709265
2008-10-01  37.595517065715740
2009-01-01  37.919055063401075
2009-04-01  37.203257667648586
2009-07-01  37.303098494028040
2009-10-01  37.461246985876680
2010-01-01  37.976437976437980
2010-04-01  37.724757952973720
2010-07-01  37.793103448275860
2010-10-01  37.521514629948360
2011-01-01  37.388008270158515
2011-04-01  36.907216494845365
2011-07-01  37.201246969172150
2011-10-01  37.170596393897360
2012-01-01  36.744908526061444
2012-04-01  36.022061358152364
2012-07-01  36.374591151661220
2012-10-01  36.227697536108750
2013-01-01  35.585284280936450
2013-04-01  34.768211920529800
2013-07-01  34.728363866077070
2013-10-01  34.723310863771750
2014-01-01  34.375490966221520
2014-04-01  34.014985950671246
2014-07-01  34.334565619223660
2014-10-01  34.999249587273000
2015-01-01  34.410703547805170
2015-04-01  34.250446162998216
2015-07-01  34.208574395490280
2015-10-01  34.302154027736800
2016-01-01  33.916238060249820
2016-04-01  33.421091121837065
2016-07-01  33.114660581859670
2016-10-01  32.612383375742155
2017-01-01  31.474896885222588
2017-04-01  32.079519450800916
2017-07-01  32.146446518305815
2017-10-01  32.225913621262460
2018-01-01  31.648668106551476
2018-04-01  31.372828254058670
2018-07-01  31.625141562853910
