Title:               Average Weekly Wages for Employees in Federal Government Establishments in Winston-Salem, NC (MSA)
Series ID:           ENUC491840110
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   558
1990-04-01   429
1990-07-01   590
1990-10-01   595
1991-01-01   631
1991-04-01   596
1991-07-01   636
1991-10-01   619
1992-01-01   669
1992-04-01   621
1992-07-01   670
1992-10-01   725
1993-01-01   672
1993-04-01   686
1993-07-01   726
1993-10-01   745
1994-01-01   661
1994-04-01   678
1994-07-01   748
1994-10-01   763
1995-01-01   693
1995-04-01   698
1995-07-01  1047
1995-10-01   803
1996-01-01   740
1996-04-01   751
1996-07-01   728
1996-10-01   782
1997-01-01   740
1997-04-01   751
1997-07-01   736
1997-10-01   827
1998-01-01   711
1998-04-01   771
1998-07-01   731
1998-10-01   793
1999-01-01   744
1999-04-01   786
1999-07-01   749
1999-10-01   810
2000-01-01   797
2000-04-01   672
2000-07-01   698
2000-10-01   783
2001-01-01   875
2001-04-01   828
2001-07-01   844
2001-10-01   819
2002-01-01   905
2002-04-01   854
2002-07-01   933
2002-10-01   852
2003-01-01   921
2003-04-01   834
2003-07-01   955
2003-10-01   908
2004-01-01   974
2004-04-01   873
2004-07-01   959
2004-10-01   946
2005-01-01   897
2005-04-01  1019
2005-07-01   962
2005-10-01   879
2006-01-01   883
2006-04-01   914
2006-07-01  1054
2006-10-01   985
2007-01-01   950
2007-04-01  1052
2007-07-01  1006
2007-10-01  1072
2008-01-01   939
2008-04-01  1006
2008-07-01  1094
2008-10-01  1048
2009-01-01   932
2009-04-01  1061
2009-07-01   995
2009-10-01  1101
2010-01-01   932
2010-04-01   936
2010-07-01  1033
2010-10-01  1288
2011-01-01  1089
2011-04-01  1273
2011-07-01  1274
2011-10-01  1108
2012-01-01  1289
2012-04-01  1121
2012-07-01  1305
2012-10-01  1144
2013-01-01  1271
2013-04-01  1101
2013-07-01  1299
2013-10-01  1130
2014-01-01  1362
2014-04-01  1164
2014-07-01  1333
2014-10-01  1162
2015-01-01  1397
2015-04-01  1192
2015-07-01  1382
2015-10-01  1259
2016-01-01  1200
2016-04-01  1176
2016-07-01  1345
2016-10-01  1348
2017-01-01  1187
2017-04-01  1325
2017-07-01  1170
2017-10-01  1359
2018-01-01  1186
