Title:               Equifax Subprime Credit Population for Buncombe County, NC
Series ID:           EQFXSUBPRIME037021
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  35.434589142687630
1999-04-01  35.332313318655075
1999-07-01  34.715064886214030
1999-10-01  35.177282954457290
2000-01-01  34.821530608357776
2000-04-01  34.760578633867100
2000-07-01  35.241384377985156
2000-10-01  33.232222260521870
2001-01-01  33.995217798107916
2001-04-01  31.123770067322630
2001-07-01  31.203362470684980
2001-10-01  31.085551273102485
2002-01-01  32.160788251537590
2002-04-01  31.419669299111554
2002-07-01  31.371409342592310
2002-10-01  31.735715385800095
2003-01-01  32.353498956950500
2003-04-01  32.014170363514500
2003-07-01  32.381624534838960
2003-10-01  32.554735234215890
2004-01-01  33.199533859899006
2004-04-01  32.506772908366536
2004-07-01  31.911745363672235
2004-10-01  31.822561994089682
2005-01-01  31.648254249628060
2005-04-01  28.814146017826754
2005-07-01  30.170691846740510
2005-10-01  30.002075242358660
2006-01-01  30.122950819672127
2006-04-01  30.983550483534938
2006-07-01  31.175235428862308
2006-10-01  30.733365711510440
2007-01-01  30.821557673348670
2007-04-01  30.703247773703506
2007-07-01  30.875545562756250
2007-10-01  31.023079807725090
2008-01-01  32.489098837209305
2008-04-01  32.399007664679530
2008-07-01  31.925192519251926
2008-10-01  32.215108834827140
2009-01-01  32.152324061974990
2009-04-01  31.656528715901032
2009-07-01  31.496679847795267
2009-10-01  31.660971121709412
2010-01-01  31.581938025608004
2010-04-01  30.998869204673955
2010-07-01  30.882352941176470
2010-10-01  30.778204259802816
2011-01-01  30.279859881728130
2011-04-01  30.006033637529228
2011-07-01  30.030220497705480
2011-10-01  30.477722494482062
2012-01-01  30.136067101584340
2012-04-01  29.680280220599197
2012-07-01  29.277707668324550
2012-10-01  29.608917857936450
2013-01-01  28.687230989956960
2013-04-01  28.149793716280550
2013-07-01  28.187740103557708
2013-10-01  27.950994792362130
2014-01-01  27.516161848193484
2014-04-01  27.094926616551140
2014-07-01  26.974322488842894
2014-10-01  27.347057492809355
2015-01-01  26.872274942292897
2015-04-01  26.321316065803290
2015-07-01  26.404352226720647
2015-10-01  26.425992779783392
2016-01-01  25.976310911432970
2016-04-01  25.758629409533444
2016-07-01  25.249753330044400
2016-10-01  25.317111842907668
2017-01-01  24.744538946337883
2017-04-01  24.540754257907544
2017-07-01  24.469334296811490
2017-10-01  24.565420419968063
2018-01-01  24.064494660737516
2018-04-01  23.791989859052908
2018-07-01  23.989914150207120
