Title:               Average Weekly Wages for Employees in Total Covered Establishments in Fayetteville, NC (MSA)
Series ID:           ENUC221840010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  356.9
1990-04-01  350.3
1990-07-01  346.3
1990-10-01  352.4
1991-01-01  362.3
1991-04-01  368.6
1991-07-01  364.9
1991-10-01  361.1
1992-01-01  389.5
1992-04-01  375.9
1992-07-01  392.4
1992-10-01  397.8
1993-01-01  385.2
1993-04-01  390.4
1993-07-01  396.3
1993-10-01  394.0
1994-01-01  391.8
1994-04-01  397.8
1994-07-01  407.6
1994-10-01  406.6
1995-01-01  413.5
1995-04-01  412.3
1995-07-01  412.5
1995-10-01  415.2
1996-01-01  423.4
1996-04-01  429.7
1996-07-01  428.6
1996-10-01  440.3
1997-01-01  445.6
1997-04-01  445.1
1997-07-01  451.6
1997-10-01  460.9
1998-01-01  459.6
1998-04-01  464.7
1998-07-01  464.8
1998-10-01  492.5
1999-01-01  455.3
1999-04-01  483.3
1999-07-01  485.3
1999-10-01  492.1
2000-01-01  495.0
2000-04-01  494.7
2000-07-01  501.6
2000-10-01  498.1
2001-01-01  512.9
2001-04-01  511.1
2001-07-01  510.6
2001-10-01  520.0
2002-01-01  535.9
2002-04-01  537.4
2002-07-01  539.6
2002-10-01  538.4
2003-01-01  544.3
2003-04-01  547.3
2003-07-01  547.6
2003-10-01  554.0
2004-01-01  550.5
2004-04-01  563.1
2004-07-01  575.2
2004-10-01  579.4
2005-01-01  562.3
2005-04-01  573.3
2005-07-01  603.9
2005-10-01  591.6
2006-01-01  601.8
2006-04-01  599.2
2006-07-01  597.5
2006-10-01  605.8
2007-01-01  633.8
2007-04-01  632.6
2007-07-01  645.8
2007-10-01  642.1
2008-01-01  665.2
2008-04-01  669.4
2008-07-01  650.3
2008-10-01  675.1
2009-01-01  670.0
2009-04-01  683.4
2009-07-01  686.0
2009-10-01  708.3
2010-01-01  681.9
2010-04-01  703.6
2010-07-01  717.1
2010-10-01  726.2
2011-01-01  706.2
2011-04-01  737.5
2011-07-01  751.1
2011-10-01  731.1
2012-01-01  740.6
2012-04-01  730.0
2012-07-01  733.8
2012-10-01  732.8
2013-01-01  765.6
2013-04-01  748.9
2013-07-01  740.9
2013-10-01  740.7
2014-01-01  737.8
2014-04-01  741.5
2014-07-01  741.0
2014-10-01  737.9
2015-01-01  748.6
2015-04-01  758.2
2015-07-01  760.8
2015-10-01  778.4
2016-01-01  758.1
2016-04-01  750.2
2016-07-01  807.3
2016-10-01  764.8
2017-01-01  797.7
2017-04-01  797.8
2017-07-01  797.0
2017-10-01  791.9
2018-01-01  809.3
