Title:               Equifax Subprime Credit Population for Nash County, NC
Series ID:           EQFXSUBPRIME037127
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  41.452045216175270
1999-04-01  42.697422619748146
1999-07-01  38.864260080219550
1999-10-01  38.963819310640120
2000-01-01  39.666807254323075
2000-04-01  38.576385238145306
2000-07-01  38.705469141996990
2000-10-01  37.285462473327770
2001-01-01  38.732854343566295
2001-04-01  37.569728523614730
2001-07-01  38.001485884101040
2001-10-01  38.444727736295760
2002-01-01  38.851075415191940
2002-04-01  38.734928918481195
2002-07-01  39.138712601994560
2002-10-01  39.747460883886900
2003-01-01  39.928057553956830
2003-04-01  39.876381344821130
2003-07-01  40.229021963581750
2003-10-01  40.051068658974840
2004-01-01  40.574745456275570
2004-04-01  39.604891815616185
2004-07-01  39.523671777070680
2004-10-01  40.070921985815600
2005-01-01  38.671983678011685
2005-04-01  40.244142547745620
2005-07-01  39.156797726196110
2005-10-01  39.451437159496520
2006-01-01  40.051311288483470
2006-04-01  39.181010024588616
2006-07-01  39.249464568395570
2006-10-01  39.324428958575304
2007-01-01  39.694361156784990
2007-04-01  39.105882352941180
2007-07-01  39.395667046750280
2007-10-01  40.260256282904535
2008-01-01  42.649245804121520
2008-04-01  42.743837084673096
2008-07-01  42.591597722144620
2008-10-01  42.976478346889420
2009-01-01  42.837853043771800
2009-04-01  42.656003604415410
2009-07-01  42.565987303708650
2009-10-01  42.889288928892890
2010-01-01  42.525628027486760
2010-04-01  41.741707511683570
2010-07-01  41.814484239069030
2010-10-01  41.803005008347240
2011-01-01  41.759478006524920
2011-04-01  41.679855301831340
2011-07-01  41.739815440018006
2011-10-01  42.122942559623780
2012-01-01  41.128216653556585
2012-04-01  40.796687926597290
2012-07-01  40.899910233393180
2012-10-01  41.397067054740850
2013-01-01  38.938053097345130
2013-04-01  38.163119845229610
2013-07-01  38.575127049573304
2013-10-01  39.548577036310110
2014-01-01  38.976454563144580
2014-04-01  38.431975403535740
2014-07-01  38.390539371214300
2014-10-01  38.224048939017390
2015-01-01  37.691001697792870
2015-04-01  37.440403851547160
2015-07-01  37.348498974454600
2015-10-01  37.786331205407436
2016-01-01  37.450274673233570
2016-04-01  37.258596325953840
2016-07-01  37.315099078984090
2016-10-01  37.873445908331790
2017-01-01  37.160906726124120
2017-04-01  36.869063140249580
2017-07-01  37.126192019257470
2017-10-01  37.495365220615504
2018-01-01  36.768106558135230
2018-04-01  36.650282852638410
2018-07-01  36.664521467316355
