Title:               Number of Private Establishments for All Industries in Harnett County, NC
Series ID:           ENU3708520510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1096
1990-04-01  1131
1990-07-01  1140
1990-10-01  1139
1991-01-01  1107
1991-04-01  1111
1991-07-01  1111
1991-10-01  1127
1992-01-01  1132
1992-04-01  1129
1992-07-01  1132
1992-10-01  1148
1993-01-01  1135
1993-04-01  1139
1993-07-01  1150
1993-10-01  1171
1994-01-01  1162
1994-04-01  1187
1994-07-01  1201
1994-10-01  1224
1995-01-01  1226
1995-04-01  1233
1995-07-01  1250
1995-10-01  1263
1996-01-01  1251
1996-04-01  1274
1996-07-01  1277
1996-10-01  1285
1997-01-01  1305
1997-04-01  1316
1997-07-01  1349
1997-10-01  1352
1998-01-01  1361
1998-04-01  1363
1998-07-01  1377
1998-10-01  1381
1999-01-01  1411
1999-04-01  1445
1999-07-01  1480
1999-10-01  1517
2000-01-01  1495
2000-04-01  1500
2000-07-01  1497
2000-10-01  1496
2001-01-01  1403
2001-04-01  1413
2001-07-01  1409
2001-10-01  1406
2002-01-01  1453
2002-04-01  1449
2002-07-01  1461
2002-10-01  1476
2003-01-01  1443
2003-04-01  1444
2003-07-01  1463
2003-10-01  1452
2004-01-01  1474
2004-04-01  1484
2004-07-01  1500
2004-10-01  1505
2005-01-01  1508
2005-04-01  1511
2005-07-01  1543
2005-10-01  1536
2006-01-01  1560
2006-04-01  1557
2006-07-01  1569
2006-10-01  1580
2007-01-01  1628
2007-04-01  1620
2007-07-01  1646
2007-10-01  1676
2008-01-01  1682
2008-04-01  1671
2008-07-01  1667
2008-10-01  1675
2009-01-01  1675
2009-04-01  1655
2009-07-01  1652
2009-10-01  1655
2010-01-01  1628
2010-04-01  1626
2010-07-01  1631
2010-10-01  1632
2011-01-01  1611
2011-04-01  1593
2011-07-01  1612
2011-10-01  1621
2012-01-01  1621
2012-04-01  1636
2012-07-01  1614
2012-10-01  1616
2013-01-01  1581
2013-04-01  1608
2013-07-01  1616
2013-10-01  1627
2014-01-01  1639
2014-04-01  1627
2014-07-01  1624
2014-10-01  1646
2015-01-01  1640
2015-04-01  1641
2015-07-01  1663
2015-10-01  1662
2016-01-01  1667
2016-04-01  1677
2016-07-01  1665
2016-10-01  1684
2017-01-01  1674
2017-04-01  1682
2017-07-01  1702
2017-10-01  1710
2018-01-01  1707
