Title:               Equifax Subprime Credit Population for Edgecombe County, NC
Series ID:           EQFXSUBPRIME037065
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  48.402501421262080
1999-04-01  48.595666628453515
1999-07-01  47.120869658809600
1999-10-01  46.733614080552854
2000-01-01  47.808279831746740
2000-04-01  45.994385661844090
2000-07-01  46.250672404518550
2000-10-01  44.764131760878406
2001-01-01  45.973294387648660
2001-04-01  45.361659079413250
2001-07-01  45.320641282565134
2001-10-01  45.184765145071350
2002-01-01  45.180377934720370
2002-04-01  45.018989190768330
2002-07-01  44.926838659992300
2002-10-01  45.177511817358950
2003-01-01  45.773409208484225
2003-04-01  45.499630684815870
2003-07-01  46.441586280814576
2003-10-01  46.042626111170610
2004-01-01  47.832182916307160
2004-04-01  45.441114394259180
2004-07-01  45.658051259868070
2004-10-01  45.652903658945950
2005-01-01  43.055705204180580
2005-04-01  45.228264716291136
2005-07-01  43.525431637890804
2005-10-01  43.368176538908250
2006-01-01  43.234284361311710
2006-04-01  42.747450509898020
2006-07-01  42.440447253281480
2006-10-01  43.196598299149580
2007-01-01  43.608640406607370
2007-04-01  42.717227523857360
2007-07-01  43.371017471736890
2007-10-01  44.455027894951690
2008-01-01  48.665644171779140
2008-04-01  48.372686662412250
2008-07-01  48.412952869509450
2008-10-01  48.009138381201040
2009-01-01  48.917966784096630
2009-04-01  48.099341104916370
2009-07-01  48.151289009497965
2009-10-01  48.175559380378660
2010-01-01  47.689111995845590
2010-04-01  48.026551847865090
2010-07-01  47.412536443148690
2010-10-01  47.518907950562630
2011-01-01  47.723880597014926
2011-04-01  47.402351156617364
2011-07-01  47.391469916222390
2011-10-01  48.077290989095080
2012-01-01  47.502410800385730
2012-04-01  46.751740139211140
2012-07-01  46.856346995622760
2012-10-01  47.482587064676615
2013-01-01  44.401041666666670
2013-04-01  42.796920821114370
2013-07-01  42.632380307900526
2013-10-01  42.702609890109890
2014-01-01  42.528539785312660
2014-04-01  42.669942669942670
2014-07-01  41.963109354413700
2014-10-01  42.793009459676130
2015-01-01  42.238442822384430
2015-04-01  42.269684411858464
2015-07-01  43.001281229980780
2015-10-01  43.561954060174700
2016-01-01  43.873517786561266
2016-04-01  44.027022573735370
2016-07-01  42.857142857142854
2016-10-01  42.983705109950960
2017-01-01  42.176330420969020
2017-04-01  42.126235256614600
2017-07-01  42.272212332092570
2017-10-01  43.249427917620140
2018-01-01  42.462809917355370
2018-04-01  42.082785808147180
2018-07-01  42.135761589403980
