Title:               Equifax Subprime Credit Population for Onslow County, NC
Series ID:           EQFXSUBPRIME037133
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  53.435688686341310
1999-04-01  54.339572664665370
1999-07-01  54.382818454916380
1999-10-01  54.360915974819810
2000-01-01  54.320530046796090
2000-04-01  53.810141837396860
2000-07-01  53.874170749685646
2000-10-01  51.578454731109600
2001-01-01  51.815959864499800
2001-04-01  50.581395348837210
2001-07-01  50.756366081183290
2001-10-01  49.834586466165410
2002-01-01  49.397643141893370
2002-04-01  48.961212661613914
2002-07-01  49.164785553047400
2002-10-01  50.187853515544370
2003-01-01  50.027399570037510
2003-04-01  48.713440260742770
2003-07-01  49.235161276577614
2003-10-01  49.244305982402224
2004-01-01  49.691859967474110
2004-04-01  48.474193688414290
2004-07-01  48.166759724548670
2004-10-01  48.002619515389654
2005-01-01  47.232155628665430
2005-04-01  46.329297820823240
2005-07-01  46.361212599980250
2005-10-01  46.672304019100670
2006-01-01  46.271472544930994
2006-04-01  45.509068923821040
2006-07-01  45.930716840609534
2006-10-01  45.435361503290960
2007-01-01  45.154970613352084
2007-04-01  44.779480150766060
2007-07-01  45.140453657803820
2007-10-01  45.698244904152546
2008-01-01  47.274085138162810
2008-04-01  47.306588706621190
2008-07-01  47.408438637823950
2008-10-01  48.019220501868660
2009-01-01  47.080056028445210
2009-04-01  47.107261255480700
2009-07-01  46.539316329770344
2009-10-01  47.128503437334740
2010-01-01  46.758649744588970
2010-04-01  46.490812404570100
2010-07-01  46.284589076588250
2010-10-01  46.521671262812845
2011-01-01  45.999481462276380
2011-04-01  45.568834393915880
2011-07-01  45.480079059606780
2011-10-01  45.746603997727390
2012-01-01  45.506918368396690
2012-04-01  45.077854223785630
2012-07-01  44.805598755832040
2012-10-01  45.100760847213660
2013-01-01  43.147883506627900
2013-04-01  42.080458653192110
2013-07-01  42.064486198097890
2013-10-01  42.256429510043176
2014-01-01  41.758344210330040
2014-04-01  41.698841698841700
2014-07-01  41.618904444235646
2014-10-01  42.099149746782510
2015-01-01  41.195431939583710
2015-04-01  40.530582166543850
2015-07-01  40.708252111760885
2015-10-01  41.104208510439534
2016-01-01  40.367362357163096
2016-04-01  39.963132769296210
2016-07-01  39.196931891692080
2016-10-01  39.362762871646126
2017-01-01  38.787878787878790
2017-04-01  38.322674286751030
2017-07-01  38.649477100613055
2017-10-01  39.294398311694266
2018-01-01  38.785243372141956
2018-04-01  38.299948877631640
2018-07-01  38.747174685179200
