Title:               Average Weekly Wages for Employees in State Government Establishments in Jacksonville, NC (MSA)
Series ID:           ENUC273440210SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  354.2
1990-04-01  367.2
1990-07-01  355.4
1990-10-01  356.1
1991-01-01  370.9
1991-04-01  371.9
1991-07-01  357.8
1991-10-01  357.0
1992-01-01  359.1
1992-04-01  333.7
1992-07-01  386.4
1992-10-01  368.1
1993-01-01  366.5
1993-04-01  325.6
1993-07-01  385.4
1993-10-01  364.3
1994-01-01  358.8
1994-04-01  409.9
1994-07-01  412.1
1994-10-01  416.3
1995-01-01  414.3
1995-04-01  407.7
1995-07-01  389.7
1995-10-01  394.6
1996-01-01  399.7
1996-04-01  388.0
1996-07-01  395.1
1996-10-01  399.4
1997-01-01  389.0
1997-04-01  396.5
1997-07-01  398.8
1997-10-01  403.3
1998-01-01  497.8
1998-04-01  399.7
1998-07-01  401.4
1998-10-01  421.5
1999-01-01  406.7
1999-04-01  427.3
1999-07-01  442.4
1999-10-01  432.7
2000-01-01  434.4
2000-04-01  444.0
2000-07-01  457.4
2000-10-01  457.2
2001-01-01  460.3
2001-04-01  445.8
2001-07-01  455.7
2001-10-01  451.9
2002-01-01  466.0
2002-04-01  485.4
2002-07-01  470.8
2002-10-01  472.9
2003-01-01  478.3
2003-04-01  471.0
2003-07-01  468.9
2003-10-01  469.7
2004-01-01  458.1
2004-04-01  467.5
2004-07-01  492.8
2004-10-01  485.8
2005-01-01  461.1
2005-04-01  422.5
2005-07-01  403.5
2005-10-01  384.0
2006-01-01  479.2
2006-04-01  522.6
2006-07-01  539.4
2006-10-01  573.0
2007-01-01  537.7
2007-04-01  556.8
2007-07-01  562.2
2007-10-01  566.3
2008-01-01  569.6
2008-04-01  574.3
2008-07-01  589.5
2008-10-01  588.4
2009-01-01  567.9
2009-04-01  559.5
2009-07-01  551.5
2009-10-01  569.5
2010-01-01  572.5
2010-04-01  579.0
2010-07-01  569.0
2010-10-01  570.2
2011-01-01  589.3
2011-04-01  593.5
2011-07-01  585.7
2011-10-01  566.9
2012-01-01  588.0
2012-04-01  573.5
2012-07-01  587.4
2012-10-01  584.6
2013-01-01  584.0
2013-04-01  587.2
2013-07-01  587.5
2013-10-01  572.4
2014-01-01  596.1
2014-04-01  584.7
2014-07-01  580.0
2014-10-01  570.7
2015-01-01  568.8
2015-04-01  588.3
2015-07-01  594.7
2015-10-01  609.4
2016-01-01  598.0
2016-04-01  604.7
2016-07-01  608.1
2016-10-01  660.6
2017-01-01  638.8
2017-04-01  636.7
2017-07-01  635.1
2017-10-01  631.6
2018-01-01  635.4
