Title:               Average Weekly Wages for Employees in State Government Establishments in Greenville, NC (MSA)
Series ID:           ENUC247840210
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-04-01
Last Updated:        2018-12-17 3:32 PM CST
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   534
1990-04-01   419
1990-07-01   704
1990-10-01   548
1991-01-01   559
1991-04-01   439
1991-07-01   709
1991-10-01   553
1992-01-01   547
1992-04-01   415
1992-07-01   721
1992-10-01   559
1993-01-01   564
1993-04-01   437
1993-07-01   754
1993-10-01   602
1994-01-01   585
1994-04-01   590
1994-07-01   640
1994-10-01   607
1995-01-01   609
1995-04-01   577
1995-07-01   565
1995-10-01   595
1996-01-01   579
1996-04-01   570
1996-07-01   596
1996-10-01   640
1997-01-01   646
1997-04-01   640
1997-07-01   645
1997-10-01   685
1998-01-01   661
1998-04-01   666
1998-07-01   692
1998-10-01   710
1999-01-01   689
1999-04-01   715
1999-07-01   741
1999-10-01   760
2000-01-01   728
2000-04-01   742
2000-07-01   778
2000-10-01   795
2001-01-01   763
2001-04-01   772
2001-07-01   772
2001-10-01   827
2002-01-01   783
2002-04-01   789
2002-07-01   803
2002-10-01   806
2003-01-01   796
2003-04-01   805
2003-07-01   828
2003-10-01     .
2004-01-01   822
2004-04-01   825
2004-07-01   868
2004-10-01   867
2005-01-01   845
2005-04-01   871
2005-07-01   890
2005-10-01   883
2006-01-01   857
2006-04-01   887
2006-07-01   939
2006-10-01   916
2007-01-01   897
2007-04-01   944
2007-07-01   974
2007-10-01   991
2008-01-01   949
2008-04-01  1009
2008-07-01  1014
2008-10-01  1027
2009-01-01   983
2009-04-01  1020
2009-07-01  1020
2009-10-01  1030
2010-01-01     .
2010-04-01     .
2010-07-01     .
2010-10-01     .
2011-01-01     .
2011-04-01     .
2011-07-01     .
2011-10-01     .
2012-01-01     .
2012-04-01     .
2012-07-01     .
2012-10-01     .
2013-01-01  1110
2013-04-01  1171
2013-07-01  1118
2013-10-01  1108
2014-01-01  1093
2014-04-01  1148
2014-07-01  1153
2014-10-01  1121
2015-01-01  1098
2015-04-01  1156
2015-07-01  1155
2015-10-01  1184
2016-01-01  1115
2016-04-01  1174
2016-07-01  1196
2016-10-01  1228
2017-01-01  1156
2017-04-01  1219
2017-07-01  1224
2017-10-01  1219
2018-01-01  1163
2018-04-01  1257
