Title:               Total Quarterly Wages in Raleigh, NC (MSA)
Series ID:           ENUC395830010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.

DATE             VALUE
1990-01-01  1464478556
1990-04-01  1468557341
1990-07-01  1558488648
1990-10-01  1619374870
1991-01-01  1511941761
1991-04-01  1556612590
1991-07-01  1625340278
1991-10-01  1690069573
1992-01-01  1617943016
1992-04-01  1645566347
1992-07-01  1766246098
1992-10-01  1915402974
1993-01-01  1700701470
1993-04-01  1791025447
1993-07-01  1923835509
1993-10-01  2100132545
1994-01-01  1890207361
1994-04-01  1957397556
1994-07-01  2074486732
1994-10-01  2208436749
1995-01-01  2092636800
1995-04-01  2136936635
1995-07-01  2204384574
1995-10-01  2385116586
1996-01-01  2250166027
1996-04-01  2347076108
1996-07-01  2393011801
1996-10-01  2660589075
1997-01-01  2576724237
1997-04-01  2611573452
1997-07-01  2671353961
1997-10-01  3019978450
1998-01-01  2758225239
1998-04-01  2918848091
1998-07-01  2996464241
1998-10-01  3388025586
1999-01-01  3106239793
1999-04-01  3199311342
1999-07-01  3294279307
1999-10-01  3686993965
2000-01-01  3515394390
2000-04-01  3584452951
2000-07-01  3629359406
2000-10-01  3993156027
2001-01-01  3903183036
2001-04-01  3820010362
2001-07-01  3772944544
2001-10-01  4033326863
2002-01-01  3881963866
2002-04-01  3846497806
2002-07-01  3804398863
2002-10-01  4081899970
2003-01-01  3910158828
2003-04-01  3864951707
2003-07-01  3858992771
2003-10-01  4313297409
2004-01-01  4094578135
2004-04-01  4059648287
2004-07-01  4090017838
2004-10-01  4621843620
2005-01-01  4263280376
2005-04-01  4330663559
2005-07-01  4520112580
2005-10-01  4909711392
2006-01-01  4898048364
2006-04-01  4717415156
2006-07-01  4788716832
2006-10-01  5460802071
2007-01-01  5381104830
2007-04-01  5197991986
2007-07-01  5213628543
2007-10-01  5838570260
2008-01-01  5619759627
2008-04-01  5419673631
2008-07-01  5364699179
2008-10-01  5866085648
2009-01-01  5415916969
2009-04-01  5139477334
2009-07-01  5102725599
2009-10-01  5704671291
2010-01-01  5346665716
2010-04-01  5328240096
2010-07-01  5300395880
2010-10-01  5956810851
2011-01-01  5604764615
2011-04-01  5583083134
2011-07-01  5617007653
2011-10-01  5957999599
2012-01-01  5999086430
2012-04-01  5718125003
2012-07-01  5827867504
2012-10-01  6322300490
2013-01-01  6404752557
2013-04-01  6151533661
2013-07-01  6267759223
2013-10-01  6699240974
2014-01-01  6755505100
2014-04-01  6421104006
2014-07-01  6599883092
2014-10-01  7109981768
2015-01-01  7214975085
2015-04-01  6906754496
2015-07-01  7112561852
2015-10-01  7865680226
2016-01-01  7589206684
2016-04-01  7353769380
2016-07-01  7832846379
2016-10-01  8223658180
2017-01-01  8218531456
2017-04-01  7925201267
2017-07-01  7990830186
2017-10-01  8670686177
2018-01-01  8838940864
