Title:               Equifax Subprime Credit Population for Wilson County, NC
Series ID:           EQFXSUBPRIME037195
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  38.768439874832370
1999-04-01  40.159335727109514
1999-07-01  38.679663269827200
1999-10-01  39.420226199626660
2000-01-01  39.971919213737980
2000-04-01  38.956503333686110
2000-07-01  38.722453539148980
2000-10-01  36.682962158247330
2001-01-01  37.255615167773030
2001-04-01  36.722718514626030
2001-07-01  36.247096274627890
2001-10-01  38.210778245440290
2002-01-01  40.488368256063350
2002-04-01  38.336614173228350
2002-07-01  37.642740619902120
2002-10-01  37.085385878489326
2003-01-01  36.827779610689540
2003-04-01  36.256423216241260
2003-07-01  36.762828695430180
2003-10-01  36.938021146737725
2004-01-01  37.927369353410090
2004-04-01  36.549865229110510
2004-07-01  36.270012171145020
2004-10-01  36.385299239299790
2005-01-01  35.995221466642164
2005-04-01  36.302617700642436
2005-07-01  35.501559988654630
2005-10-01  35.734200743494426
2006-01-01  36.633003048780490
2006-04-01  34.787390029325515
2006-07-01  35.268518518518520
2006-10-01  36.679230311446140
2007-01-01  36.504835400996390
2007-04-01  35.808966861598440
2007-07-01  35.920807605606190
2007-10-01  38.276532596458910
2008-01-01  39.778200963369560
2008-04-01  39.646118721461185
2008-07-01  39.821408387023850
2008-10-01  39.876951122251334
2009-01-01  39.969799047508420
2009-04-01  40.276476101218364
2009-07-01  40.087069066949056
2009-10-01  40.417616704668184
2010-01-01  40.782461240310080
2010-04-01  40.966921119592875
2010-07-01  40.965029852564880
2010-10-01  41.383539801300130
2011-01-01  40.240166646244330
2011-04-01  40.097979179424370
2011-07-01  40.093125842421270
2011-10-01  40.645081562036580
2012-01-01  40.287151797766600
2012-04-01  39.338009105450965
2012-07-01  39.262526032096050
2012-10-01  39.468875624314780
2013-01-01  38.703152885187386
2013-04-01  37.679453989173920
2013-07-01  37.075168825417910
2013-10-01  37.306382511260026
2014-01-01  36.793166828846360
2014-04-01  36.642619947326230
2014-07-01  36.164165529786270
2014-10-01  36.427929950606200
2015-01-01  36.018373291507956
2015-04-01  35.752776861321890
2015-07-01  35.991731041235994
2015-10-01  36.468039003250270
2016-01-01  36.259829796402020
2016-04-01  35.745826602046310
2016-07-01  35.065474953232176
2016-10-01  35.683274757080840
2017-01-01  35.289877458552155
2017-04-01  34.976283769849450
2017-07-01  34.965180334684540
2017-10-01  35.969468885826360
2018-01-01  35.262987363646180
2018-04-01  35.255178304505655
2018-07-01  35.770290315744866
