Title:               Average Weekly Wages for Employees in Total Covered Establishments in Durham, NC (MSA)
Series ID:           ENUC205040010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   466.4
1990-04-01   476.1
1990-07-01   470.0
1990-10-01   475.3
1991-01-01   505.2
1991-04-01   501.7
1991-07-01   510.1
1991-10-01   514.6
1992-01-01   517.1
1992-04-01   529.3
1992-07-01   554.9
1992-10-01   549.9
1993-01-01   513.7
1993-04-01   552.3
1993-07-01   551.7
1993-10-01   570.7
1994-01-01   551.6
1994-04-01   554.3
1994-07-01   582.7
1994-10-01   562.2
1995-01-01   582.9
1995-04-01   593.0
1995-07-01   599.5
1995-10-01   597.5
1996-01-01   599.0
1996-04-01   614.3
1996-07-01   612.2
1996-10-01   628.1
1997-01-01   663.9
1997-04-01   648.7
1997-07-01   658.4
1997-10-01   693.2
1998-01-01   673.3
1998-04-01   663.1
1998-07-01   677.0
1998-10-01   721.1
1999-01-01   726.8
1999-04-01   737.2
1999-07-01   751.7
1999-10-01   760.9
2000-01-01   801.1
2000-04-01   823.0
2000-07-01   850.8
2000-10-01   806.0
2001-01-01   824.6
2001-04-01   838.8
2001-07-01   808.0
2001-10-01   824.3
2002-01-01   822.2
2002-04-01   827.8
2002-07-01   823.2
2002-10-01   820.4
2003-01-01   828.8
2003-04-01   840.7
2003-07-01   853.0
2003-10-01   863.3
2004-01-01   870.4
2004-04-01   865.5
2004-07-01   878.2
2004-10-01   917.5
2005-01-01   858.8
2005-04-01   912.8
2005-07-01   923.0
2005-10-01   905.9
2006-01-01   937.0
2006-04-01   941.2
2006-07-01   953.4
2006-10-01   961.3
2007-01-01   992.9
2007-04-01   998.1
2007-07-01  1007.8
2007-10-01  1031.5
2008-01-01  1039.7
2008-04-01  1040.8
2008-07-01  1030.8
2008-10-01  1018.3
2009-01-01  1030.5
2009-04-01  1032.5
2009-07-01  1063.8
2009-10-01  1091.6
2010-01-01  1070.2
2010-04-01  1086.9
2010-07-01  1082.6
2010-10-01  1133.0
2011-01-01  1073.1
2011-04-01  1140.8
2011-07-01  1157.8
2011-10-01  1083.3
2012-01-01  1154.8
2012-04-01  1118.8
2012-07-01  1135.3
2012-10-01  1113.0
2013-01-01  1117.7
2013-04-01  1137.7
2013-07-01  1111.2
2013-10-01  1136.9
2014-01-01  1149.3
2014-04-01  1141.6
2014-07-01  1139.2
2014-10-01  1156.1
2015-01-01  1146.7
2015-04-01  1146.3
2015-07-01  1157.6
2015-10-01  1174.7
2016-01-01  1113.9
2016-04-01  1150.6
2016-07-01  1191.6
2016-10-01  1162.8
2017-01-01  1176.8
2017-04-01  1187.2
2017-07-01  1180.1
2017-10-01  1194.0
2018-01-01  1215.8
