Title:               Number of Private Establishments for All Industries in Lee County, NC
Series ID:           ENU3710520510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1072
1990-04-01  1096
1990-07-01  1098
1990-10-01  1120
1991-01-01  1107
1991-04-01  1116
1991-07-01  1111
1991-10-01  1129
1992-01-01  1132
1992-04-01  1152
1992-07-01  1151
1992-10-01  1162
1993-01-01  1143
1993-04-01  1146
1993-07-01  1163
1993-10-01  1173
1994-01-01  1157
1994-04-01  1165
1994-07-01  1177
1994-10-01  1182
1995-01-01  1181
1995-04-01  1192
1995-07-01  1199
1995-10-01  1209
1996-01-01  1209
1996-04-01  1215
1996-07-01  1226
1996-10-01  1236
1997-01-01  1249
1997-04-01  1256
1997-07-01  1278
1997-10-01  1275
1998-01-01  1274
1998-04-01  1272
1998-07-01  1287
1998-10-01  1296
1999-01-01  1286
1999-04-01  1321
1999-07-01  1337
1999-10-01  1340
2000-01-01  1353
2000-04-01  1355
2000-07-01  1353
2000-10-01  1348
2001-01-01  1342
2001-04-01  1364
2001-07-01  1367
2001-10-01  1364
2002-01-01  1386
2002-04-01  1394
2002-07-01  1397
2002-10-01  1403
2003-01-01  1326
2003-04-01  1321
2003-07-01  1334
2003-10-01  1324
2004-01-01  1342
2004-04-01  1342
2004-07-01  1357
2004-10-01  1359
2005-01-01  1346
2005-04-01  1347
2005-07-01  1357
2005-10-01  1368
2006-01-01  1368
2006-04-01  1371
2006-07-01  1383
2006-10-01  1380
2007-01-01  1420
2007-04-01  1408
2007-07-01  1396
2007-10-01  1397
2008-01-01  1391
2008-04-01  1387
2008-07-01  1380
2008-10-01  1371
2009-01-01  1371
2009-04-01  1349
2009-07-01  1349
2009-10-01  1336
2010-01-01  1335
2010-04-01  1341
2010-07-01  1343
2010-10-01  1338
2011-01-01  1313
2011-04-01  1316
2011-07-01  1316
2011-10-01  1319
2012-01-01  1310
2012-04-01  1318
2012-07-01  1309
2012-10-01  1307
2013-01-01  1282
2013-04-01  1290
2013-07-01  1296
2013-10-01  1305
2014-01-01  1322
2014-04-01  1332
2014-07-01  1311
2014-10-01  1313
2015-01-01  1338
2015-04-01  1349
2015-07-01  1383
2015-10-01  1378
2016-01-01  1364
2016-04-01  1347
2016-07-01  1338
2016-10-01  1346
2017-01-01  1339
2017-04-01  1356
2017-07-01  1355
2017-10-01  1353
2018-01-01  1355
