Title:               Equifax Subprime Credit Population for Pender County, NC
Series ID:           EQFXSUBPRIME037141
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  41.139954853273140
1999-04-01  41.862416107382550
1999-07-01  41.339361401525856
1999-10-01  42.138185953938020
2000-01-01  42.025677603423680
2000-04-01  41.864406779661020
2000-07-01  41.960784313725490
2000-10-01  39.664396887159530
2001-01-01  41.095559845559850
2001-04-01  40.498154981549820
2001-07-01  40.531487271103174
2001-10-01  40.124516960068700
2002-01-01  40.497640497640500
2002-04-01  39.688379138714566
2002-07-01  39.728841413311420
2002-10-01  40.041237113402060
2003-01-01  39.628547579298830
2003-04-01  39.822822189411520
2003-07-01  41.175222740772160
2003-10-01  40.668465850114174
2004-01-01  42.248793790644015
2004-04-01  40.004038772213250
2004-07-01  39.884852094500694
2004-10-01  39.153640869233705
2005-01-01  38.908246225319395
2005-04-01  38.801441304760100
2005-07-01  38.720030205776860
2005-10-01  40.317891064159724
2006-01-01  40.240589833139310
2006-04-01  39.556412729026036
2006-07-01  39.173896642776310
2006-10-01  38.106103822019390
2007-01-01  38.105263157894740
2007-04-01  37.943131462333824
2007-07-01  38.442867811799850
2007-10-01  38.700402530189760
2008-01-01  41.678349689565394
2008-04-01  42.178377290114750
2008-07-01  41.303486529318540
2008-10-01  41.581832419733750
2009-01-01  41.124084702157134
2009-04-01  40.843397347059990
2009-07-01  40.764080346593150
2009-10-01  41.072858286629305
2010-01-01  41.323296354992080
2010-04-01  41.104662797678610
2010-07-01  40.356083086053410
2010-10-01  40.133254948069760
2011-01-01  39.457709429380810
2011-04-01  39.548478129409390
2011-07-01  39.632277834525030
2011-10-01  39.335236541598700
2012-01-01  38.823289902280130
2012-04-01  38.372564935064936
2012-07-01  38.500201045436260
2012-10-01  38.107726447448050
2013-01-01  37.670825906120020
2013-04-01  36.692201924965630
2013-07-01  36.267212504652030
2013-10-01  36.151012891344380
2014-01-01  35.624430264357336
2014-04-01  35.249457700650760
2014-07-01  34.822532226734950
2014-10-01  33.686576750160560
2015-01-01  32.777248172863050
2015-04-01  34.206497703691100
2015-07-01  34.225686208065060
2015-10-01  34.547591069330200
2016-01-01  33.546325878594250
2016-04-01  32.733994286674510
2016-07-01  30.833721471821146
2016-10-01  30.620689655172413
2017-01-01  29.440538061754820
2017-04-01  29.514948139109215
2017-07-01  29.167296357866100
2017-10-01  29.270864718288642
2018-01-01  29.308518686639427
2018-04-01  29.208894267130542
2018-07-01  29.038667278007030
