Title:               Equifax Subprime Credit Population for Currituck County, NC
Series ID:           EQFXSUBPRIME037053
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  34.914425427872860
1999-04-01  35.255767301905710
1999-07-01  34.132933533233384
1999-10-01  34.021164021164020
2000-01-01  34.922335297268350
2000-04-01  33.726294208098410
2000-07-01  33.571064696892510
2000-10-01  31.924198250728864
2001-01-01  30.400395452298568
2001-04-01  30.110630110630110
2001-07-01  30.575539568345324
2001-10-01  31.435768261964736
2002-01-01  32.132132132132130
2002-04-01  31.505483549351943
2002-07-01  32.906590801327646
2002-10-01  33.125300048007680
2003-01-01  33.333333333333330
2003-04-01  31.887629374075900
2003-07-01  32.716650438169424
2003-10-01  31.502890173410403
2004-01-01  32.498796340876260
2004-04-01  31.759036144578310
2004-07-01  32.769766285430140
2004-10-01  32.708933717579250
2005-01-01  31.852551984877124
2005-04-01  31.160425335182616
2005-07-01  31.191806331471135
2005-10-01  31.179394487121552
2006-01-01  30.693069306930692
2006-04-01  30.227374052608113
2006-07-01  29.973707274320770
2006-10-01  31.216931216931215
2007-01-01  31.144631765749782
2007-04-01  29.186195142735404
2007-07-01  28.558989986939487
2007-10-01  29.065588499550763
2008-01-01  31.443061318579990
2008-04-01  30.173627404974190
2008-07-01  30.484988452655887
2008-10-01  31.600928074245940
2009-01-01  31.902123730378580
2009-04-01  31.145251396648042
2009-07-01  31.341240875912410
2009-10-01  31.523722627737230
2010-01-01  31.241473396998636
2010-04-01  30.980751604032996
2010-07-01  31.187669990933820
2010-10-01  31.438881371222372
2011-01-01  30.244122965641950
2011-04-01  30.584503851381967
2011-07-01  30.108991825613078
2011-10-01  30.464480874316940
2012-01-01  31.184748070812528
2012-04-01  31.508078994614003
2012-07-01  31.701841041760215
2012-10-01  31.355181576616474
2013-01-01  30.491518051326665
2013-04-01  29.931093884582253
2013-07-01  30.933772110242696
2013-10-01  31.084924827305972
2014-01-01  31.052847193773044
2014-04-01  29.748100759696122
2014-07-01  29.241160111243540
2014-10-01  30.484896661367250
2015-01-01  30.656645569620256
2015-04-01  28.448275862068968
2015-07-01  29.236138037999226
2015-10-01  29.699962020508924
2016-01-01  29.191842900302117
2016-04-01  28.571428571428570
2016-07-01  28.051948051948050
2016-10-01  28.202328966521108
2017-01-01  27.726771942710250
2017-04-01  27.820939696633367
2017-07-01  27.508330248056270
2017-10-01  27.918968692449354
2018-01-01  27.929901423877330
2018-04-01  26.623141095393542
2018-07-01  25.884876653557380
