Title:               Equifax Subprime Credit Population for Warren County, NC
Series ID:           EQFXSUBPRIME037185
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  44.546062904305150
1999-04-01  44.789306751246030
1999-07-01  43.901324805847416
1999-10-01  43.617998163452710
2000-01-01  43.941135893308810
2000-04-01  42.060848323340000
2000-07-01  42.700809805209020
2000-10-01  40.467884260209320
2001-01-01  41.153530377668304
2001-04-01  40.338983050847460
2001-07-01  40.056474384832590
2001-10-01  40.301428851047170
2002-01-01  41.386635766705300
2002-04-01  40.459949327616450
2002-07-01  40.442307692307690
2002-10-01  40.611608881963380
2003-01-01  41.211519364448854
2003-04-01  40.930232558139540
2003-07-01  41.334966319657070
2003-10-01  41.768511861969806
2004-01-01  42.952161678178560
2004-04-01  41.141304347826086
2004-07-01  39.302884615384610
2004-10-01  38.904899135446680
2005-01-01  38.513513513513516
2005-04-01  37.625979843225080
2005-07-01  38.793774319066150
2005-10-01  37.708248679398620
2006-01-01  37.392373923739235
2006-04-01  36.903765690376570
2006-07-01  37.317282889079970
2006-10-01  38.530066815144764
2007-01-01  38.495380554333480
2007-04-01  37.544014084507040
2007-07-01  38.858695652173914
2007-10-01  39.462313970235236
2008-01-01  43.046007403490215
2008-04-01  43.109919571045570
2008-07-01  42.163355408388520
2008-10-01  41.876046901172530
2009-01-01  41.877880184331794
2009-04-01  40.435550323719840
2009-07-01  40.327293980128580
2009-10-01  41.946902654867260
2010-01-01  40.811455847255370
2010-04-01  39.462431276725720
2010-07-01  39.703153988868270
2010-10-01  39.563862928348910
2011-01-01  38.012820512820510
2011-04-01  36.963484945547730
2011-07-01  38.231469440832250
2011-10-01  39.038841342988800
2012-01-01  39.771197846567965
2012-04-01  39.371657754010700
2012-07-01  38.598810310641110
2012-10-01  39.630118890356670
2013-01-01  39.095744680851060
2013-04-01  38.899803536345780
2013-07-01  39.057656540607570
2013-10-01  39.542079207920790
2014-01-01  39.022919179734620
2014-04-01  37.527114967462040
2014-07-01  37.500000000000000
2014-10-01  38.317256162915330
2015-01-01  37.882858678130034
2015-04-01  37.651395471300690
2015-07-01  37.927461139896370
2015-10-01  38.019497178040020
2016-01-01  37.384615384615380
2016-04-01  38.188368502316000
2016-07-01  37.413884472708006
2016-10-01  38.127615062761510
2017-01-01  37.997903563941300
2017-04-01  37.040979244278870
2017-07-01  36.675603217158180
2017-10-01  37.783783783783790
2018-01-01  36.152219873150100
2018-04-01  34.756756756756760
2018-07-01  36.227224008574495
