Title:               Average Weekly Wages for Employees in Total Covered Establishments in Wilmington, NC (MSA)
Series ID:           ENUC489040010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  367.7
1990-04-01  365.1
1990-07-01  374.4
1990-10-01  371.4
1991-01-01  386.2
1991-04-01  398.8
1991-07-01  390.4
1991-10-01  392.5
1992-01-01  396.8
1992-04-01  395.4
1992-07-01  404.6
1992-10-01  417.2
1993-01-01  397.9
1993-04-01  413.1
1993-07-01  417.7
1993-10-01  425.6
1994-01-01  411.9
1994-04-01  430.9
1994-07-01  436.3
1994-10-01  427.8
1995-01-01  437.8
1995-04-01  439.8
1995-07-01  439.6
1995-10-01  436.7
1996-01-01  455.0
1996-04-01  448.9
1996-07-01  454.1
1996-10-01  462.0
1997-01-01  465.5
1997-04-01  463.8
1997-07-01  472.1
1997-10-01  479.5
1998-01-01  475.1
1998-04-01  482.3
1998-07-01  492.4
1998-10-01  493.5
1999-01-01  480.7
1999-04-01  505.8
1999-07-01  506.9
1999-10-01  526.6
2000-01-01  526.9
2000-04-01  531.5
2000-07-01  531.4
2000-10-01  537.3
2001-01-01  563.7
2001-04-01  554.9
2001-07-01  553.2
2001-10-01  544.8
2002-01-01  552.3
2002-04-01  553.7
2002-07-01  549.5
2002-10-01  548.2
2003-01-01  551.3
2003-04-01  557.3
2003-07-01  563.1
2003-10-01  571.2
2004-01-01  567.3
2004-04-01  577.3
2004-07-01  588.0
2004-10-01  601.8
2005-01-01  591.0
2005-04-01  605.5
2005-07-01  627.8
2005-10-01  618.4
2006-01-01  635.4
2006-04-01  629.5
2006-07-01  629.4
2006-10-01  638.4
2007-01-01  652.6
2007-04-01  655.1
2007-07-01  661.2
2007-10-01  664.5
2008-01-01  674.9
2008-04-01  679.0
2008-07-01  677.9
2008-10-01  682.9
2009-01-01  682.5
2009-04-01  685.5
2009-07-01  695.0
2009-10-01  722.3
2010-01-01  689.9
2010-04-01  708.4
2010-07-01  714.6
2010-10-01  728.2
2011-01-01  711.9
2011-04-01  731.3
2011-07-01  742.8
2011-10-01  717.0
2012-01-01  726.8
2012-04-01  722.2
2012-07-01  714.1
2012-10-01  723.4
2013-01-01  747.9
2013-04-01  741.6
2013-07-01  747.7
2013-10-01  745.3
2014-01-01  756.7
2014-04-01  756.1
2014-07-01  759.6
2014-10-01  775.7
2015-01-01  763.7
2015-04-01  770.6
2015-07-01  779.8
2015-10-01  808.3
2016-01-01  785.3
2016-04-01  785.5
2016-07-01  831.5
2016-10-01  811.4
2017-01-01  835.1
2017-04-01  869.8
2017-07-01  831.0
2017-10-01  822.4
2018-01-01  855.3
