Title:               Equifax Subprime Credit Population for Cumberland County, NC
Series ID:           EQFXSUBPRIME037051
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  47.848690914384340
1999-04-01  48.245576996157580
1999-07-01  48.239913049264686
1999-10-01  48.251518634050240
2000-01-01  48.241936656408270
2000-04-01  47.533875338753390
2000-07-01  47.379032258064520
2000-10-01  46.014811386253186
2001-01-01  47.192730307385600
2001-04-01  45.826950749663470
2001-07-01  45.732601599091640
2001-10-01  45.544785705944180
2002-01-01  45.945118360617130
2002-04-01  45.136994287046754
2002-07-01  45.094326552289470
2002-10-01  45.473552163913860
2003-01-01  45.591352267910130
2003-04-01  45.418939375735880
2003-07-01  45.796898400888930
2003-10-01  45.542028140263910
2004-01-01  46.490033428253064
2004-04-01  45.484925178760110
2004-07-01  45.235512273885510
2004-10-01  44.912182882631726
2005-01-01  44.189786891837560
2005-04-01  43.367230492227320
2005-07-01  43.519954507857730
2005-10-01  43.964585370875590
2006-01-01  44.134739007456930
2006-04-01  43.981851460390295
2006-07-01  43.926597852153060
2006-10-01  43.616368149907906
2007-01-01  43.209474141677530
2007-04-01  42.494782469096165
2007-07-01  42.855985087932570
2007-10-01  43.715192693250170
2008-01-01  45.360163312919220
2008-04-01  45.414730067929920
2008-07-01  44.933698043646310
2008-10-01  44.950145222624790
2009-01-01  44.885215240278740
2009-04-01  44.520091987412240
2009-07-01  44.589709603566696
2009-10-01  44.587636718154954
2010-01-01  44.076707999027480
2010-04-01  43.567946374162100
2010-07-01  43.627777441423990
2010-10-01  44.363112737745250
2011-01-01  43.690225563909770
2011-04-01  43.776460626587635
2011-07-01  43.780064543627840
2011-10-01  43.838414634146340
2012-01-01  43.126223091976520
2012-04-01  42.747905559786744
2012-07-01  42.870589664176840
2012-10-01  43.118295815077810
2013-01-01  41.848798662246610
2013-04-01  41.033593229181760
2013-07-01  41.348252521066450
2013-10-01  41.672670841877730
2014-01-01  41.200575922029020
2014-04-01  40.976568991303390
2014-07-01  41.008435582822080
2014-10-01  41.057041572671610
2015-01-01  40.514486721624020
2015-04-01  40.378506793369450
2015-07-01  40.680104135913470
2015-10-01  41.303010033444814
2016-01-01  40.800172311668730
2016-04-01  40.153804641122505
2016-07-01  40.161509554649390
2016-10-01  40.170758869385374
2017-01-01  39.728153261625735
2017-04-01  39.421507505418354
2017-07-01  39.548204921339250
2017-10-01  40.162477091824170
2018-01-01  39.317887545111430
2018-04-01  38.951692952464980
2018-07-01  39.205214581108100
