Title:               Equifax Subprime Credit Population for Orange County, NC
Series ID:           EQFXSUBPRIME037135
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  28.759587410737904
1999-04-01  29.836906125565920
1999-07-01  28.464186939098040
1999-10-01  28.879310344827587
2000-01-01  29.321751136167517
2000-04-01  28.723163841807910
2000-07-01  28.933733296973003
2000-10-01  27.694435578253007
2001-01-01  27.763193142244840
2001-04-01  27.437556827298497
2001-07-01  28.014480646059592
2001-10-01  27.655529953917053
2002-01-01  27.747333686877614
2002-04-01  28.014227152158190
2002-07-01  27.545761507019726
2002-10-01  28.026377767310410
2003-01-01  28.096898513488718
2003-04-01  27.657233665423874
2003-07-01  28.043801039346693
2003-10-01  27.719190680564072
2004-01-01  28.358670127301938
2004-04-01  27.865084787875023
2004-07-01  27.915241735398645
2004-10-01  28.214543308635500
2005-01-01  27.055548362035480
2005-04-01  26.929072486360095
2005-07-01  27.471876850207224
2005-10-01  27.829068847269850
2006-01-01  27.494894934457548
2006-04-01  26.241452035533968
2006-07-01  26.050527662296130
2006-10-01  26.427667088691940
2007-01-01  26.475559461834900
2007-04-01  25.797696279623988
2007-07-01  25.909121238406620
2007-10-01  25.810583080552746
2008-01-01  26.832760595647194
2008-04-01  26.209529403127522
2008-07-01  25.683060109289617
2008-10-01  25.528244933160842
2009-01-01  25.579361609094885
2009-04-01  25.048183839881393
2009-07-01  24.950451442413566
2009-10-01  24.919818005519502
2010-01-01  24.322109654350417
2010-04-01  23.632008383861066
2010-07-01  23.860750037352457
2010-10-01  24.143047929959934
2011-01-01  23.196910049766025
2011-04-01  23.208090352107476
2011-07-01  23.057662567199350
2011-10-01  23.528544033043220
2012-01-01  23.019747868541867
2012-04-01  22.791918897235796
2012-07-01  22.746657029273580
2012-10-01  23.441753832927354
2013-01-01  21.357040670345390
2013-04-01  21.058634107070980
2013-07-01  21.267024865675370
2013-10-01  21.401938851603280
2014-01-01  20.668953687821613
2014-04-01  20.224231912784933
2014-07-01  20.316286960736790
2014-10-01  20.738738738738740
2015-01-01  20.266298806453550
2015-04-01  20.051960321209258
2015-07-01  20.450790653764457
2015-10-01  20.437529246607394
2016-01-01  19.762267244408010
2016-04-01  19.888969345884625
2016-07-01  19.227892526321845
2016-10-01  18.984685195689167
2017-01-01  18.535178777393310
2017-04-01  18.093080006972283
2017-07-01  18.217937481741160
2017-10-01  18.617365234260184
2018-01-01  18.164016140517447
2018-04-01  17.882520132638560
2018-07-01  18.229508196721312
