Title:               Average Weekly Wages for Employees in Federal Government Establishments in Burlington, NC (MSA)
Series ID:           ENUC155040110
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   639
1990-04-01   427
1990-07-01   606
1990-10-01   601
1991-01-01   669
1991-04-01   590
1991-07-01   677
1991-10-01   615
1992-01-01   739
1992-04-01   642
1992-07-01   721
1992-10-01   773
1993-01-01   683
1993-04-01   616
1993-07-01   710
1993-10-01   716
1994-01-01   657
1994-04-01   617
1994-07-01   745
1994-10-01   763
1995-01-01   669
1995-04-01   651
1995-07-01   672
1995-10-01   804
1996-01-01   706
1996-04-01   729
1996-07-01   649
1996-10-01   765
1997-01-01   661
1997-04-01   736
1997-07-01   687
1997-10-01   797
1998-01-01   679
1998-04-01   749
1998-07-01   671
1998-10-01   790
1999-01-01   688
1999-04-01   784
1999-07-01   702
1999-10-01   818
2000-01-01   766
2000-04-01   597
2000-07-01   643
2000-10-01   744
2001-01-01   855
2001-04-01   763
2001-07-01   843
2001-10-01   758
2002-01-01   901
2002-04-01   799
2002-07-01   897
2002-10-01   824
2003-01-01   909
2003-04-01   822
2003-07-01   888
2003-10-01   808
2004-01-01   927
2004-04-01   840
2004-07-01   967
2004-10-01   955
2005-01-01   839
2005-04-01   965
2005-07-01   848
2005-10-01   878
2006-01-01   875
2006-04-01   874
2006-07-01  1017
2006-10-01   913
2007-01-01   887
2007-04-01  1012
2007-07-01   890
2007-10-01  1050
2008-01-01   849
2008-04-01   964
2008-07-01   846
2008-10-01  1029
2009-01-01   858
2009-04-01   973
2009-07-01   887
2009-10-01  1040
2010-01-01   904
2010-04-01   863
2010-07-01   882
2010-10-01  1120
2011-01-01   944
2011-04-01  1119
2011-07-01  1104
2011-10-01   993
2012-01-01  1086
2012-04-01   945
2012-07-01  1102
2012-10-01   981
2013-01-01  1108
2013-04-01   968
2013-07-01  1091
2013-10-01   974
2014-01-01  1142
2014-04-01   994
2014-07-01  1134
2014-10-01   991
2015-01-01  1145
2015-04-01   965
2015-07-01  1148
2015-10-01  1132
2016-01-01   948
2016-04-01   937
2016-07-01  1089
2016-10-01  1170
2017-01-01   965
2017-04-01  1115
2017-07-01   937
2017-10-01  1135
2018-01-01   951
