Title:               Number of Private Establishments for All Industries in Orange County, NC
Series ID:           ENU3713520510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1844
1990-04-01  1897
1990-07-01  1906
1990-10-01  1941
1991-01-01  2001
1991-04-01  2032
1991-07-01  2048
1991-10-01  2074
1992-01-01  2077
1992-04-01  2097
1992-07-01  2110
1992-10-01  2150
1993-01-01  2161
1993-04-01  2175
1993-07-01  2228
1993-10-01  2272
1994-01-01  2289
1994-04-01  2326
1994-07-01  2372
1994-10-01  2418
1995-01-01  2425
1995-04-01  2447
1995-07-01  2471
1995-10-01  2544
1996-01-01  2569
1996-04-01  2598
1996-07-01  2637
1996-10-01  2701
1997-01-01  2703
1997-04-01  2743
1997-07-01  2839
1997-10-01  2864
1998-01-01  2857
1998-04-01  2878
1998-07-01  2870
1998-10-01  2918
1999-01-01  2945
1999-04-01  3023
1999-07-01  3103
1999-10-01  3166
2000-01-01  3194
2000-04-01  3262
2000-07-01  3285
2000-10-01  3316
2001-01-01  3156
2001-04-01  3215
2001-07-01  3232
2001-10-01  3249
2002-01-01  3297
2002-04-01  3343
2002-07-01  3358
2002-10-01  3354
2003-01-01  3201
2003-04-01  3225
2003-07-01  3286
2003-10-01  3304
2004-01-01  3214
2004-04-01  3255
2004-07-01  3254
2004-10-01  3264
2005-01-01  3254
2005-04-01  3297
2005-07-01  3346
2005-10-01  3336
2006-01-01  3362
2006-04-01  3403
2006-07-01  3441
2006-10-01  3417
2007-01-01  3514
2007-04-01  3517
2007-07-01  3558
2007-10-01  3603
2008-01-01  3609
2008-04-01  3566
2008-07-01  3596
2008-10-01  3631
2009-01-01  3568
2009-04-01  3514
2009-07-01  3554
2009-10-01  3617
2010-01-01  3559
2010-04-01  3627
2010-07-01  3633
2010-10-01  3659
2011-01-01  3568
2011-04-01  3599
2011-07-01  3648
2011-10-01  3680
2012-01-01  3645
2012-04-01  3684
2012-07-01  3689
2012-10-01  3710
2013-01-01  3595
2013-04-01  3633
2013-07-01  3636
2013-10-01  3674
2014-01-01  3731
2014-04-01  3750
2014-07-01  3758
2014-10-01  3773
2015-01-01  3797
2015-04-01  3868
2015-07-01  3888
2015-10-01  3954
2016-01-01  3899
2016-04-01  3948
2016-07-01  3936
2016-10-01  3981
2017-01-01  3839
2017-04-01  3852
2017-07-01  3896
2017-10-01  3926
2018-01-01  3973
