Title:               Average Weekly Wages for Employees in State Government Establishments in Charlotte-Gastonia-Rock Hill, NC-SC (MSA)
Series ID:           ENUC167440210
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-04-01
Last Updated:        2018-12-17 3:31 PM CST
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   404
1990-04-01   390
1990-07-01   504
1990-10-01   416
1991-01-01   429
1991-04-01   410
1991-07-01   497
1991-10-01   422
1992-01-01   427
1992-04-01   409
1992-07-01   509
1992-10-01   431
1993-01-01   427
1993-04-01   431
1993-07-01   519
1993-10-01   457
1994-01-01   442
1994-04-01   448
1994-07-01   489
1994-10-01   467
1995-01-01   469
1995-04-01   474
1995-07-01   478
1995-10-01   478
1996-01-01   470
1996-04-01   485
1996-07-01   491
1996-10-01   501
1997-01-01   489
1997-04-01   498
1997-07-01   509
1997-10-01   509
1998-01-01   505
1998-04-01   509
1998-07-01   528
1998-10-01   546
1999-01-01   522
1999-04-01   536
1999-07-01   571
1999-10-01   547
2000-01-01   559
2000-04-01   560
2000-07-01   611
2000-10-01   576
2001-01-01   586
2001-04-01   587
2001-07-01   620
2001-10-01   587
2002-01-01   595
2002-04-01   615
2002-07-01   668
2002-10-01   643
2003-01-01     .
2003-04-01   634
2003-07-01   666
2003-10-01     .
2004-01-01   631
2004-04-01   648
2004-07-01   650
2004-10-01   630
2005-01-01   631
2005-04-01   656
2005-07-01   700
2005-10-01   657
2006-01-01   666
2006-04-01   691
2006-07-01   734
2006-10-01   701
2007-01-01   709
2007-04-01   732
2007-07-01   739
2007-10-01   746
2008-01-01   724
2008-04-01   761
2008-07-01   795
2008-10-01   767
2009-01-01   761
2009-04-01   777
2009-07-01   794
2009-10-01   787
2010-01-01   772
2010-04-01   801
2010-07-01   804
2010-10-01   783
2011-01-01   781
2011-04-01   816
2011-07-01   864
2011-10-01   778
2012-01-01   812
2012-04-01   809
2012-07-01   841
2012-10-01   800
2013-01-01   785
2013-04-01   795
2013-07-01   827
2013-10-01   785
2014-01-01   779
2014-04-01   793
2014-07-01   830
2014-10-01   802
2015-01-01   808
2015-04-01   820
2015-07-01   863
2015-10-01   868
2016-01-01   826
2016-04-01   844
2016-07-01   914
2016-10-01   885
2017-01-01   868
2017-04-01   867
2017-07-01   913
2017-10-01   877
2018-01-01   886
2018-04-01   907
