Title:               Average Weekly Wages for Employees in Total Covered Establishments in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           ENUC472640010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  389.3
1990-04-01  391.8
1990-07-01  389.5
1990-10-01  392.9
1991-01-01  404.1
1991-04-01  413.2
1991-07-01  413.4
1991-10-01  411.2
1992-01-01  420.6
1992-04-01  416.3
1992-07-01  422.9
1992-10-01  435.5
1993-01-01  415.3
1993-04-01  428.7
1993-07-01  433.5
1993-10-01  444.9
1994-01-01  433.2
1994-04-01  442.8
1994-07-01  454.1
1994-10-01  444.4
1995-01-01  457.1
1995-04-01  453.3
1995-07-01  452.8
1995-10-01  454.4
1996-01-01  466.8
1996-04-01  465.4
1996-07-01  466.5
1996-10-01  468.6
1997-01-01  475.2
1997-04-01  481.2
1997-07-01  486.1
1997-10-01  495.4
1998-01-01  492.5
1998-04-01  503.5
1998-07-01  503.7
1998-10-01  520.4
1999-01-01  499.9
1999-04-01  525.5
1999-07-01  528.3
1999-10-01  537.0
2000-01-01  543.1
2000-04-01  539.7
2000-07-01  553.7
2000-10-01  544.9
2001-01-01  570.2
2001-04-01  568.7
2001-07-01  568.8
2001-10-01  593.6
2002-01-01  586.5
2002-04-01  593.3
2002-07-01  600.5
2002-10-01  594.5
2003-01-01  610.2
2003-04-01  616.9
2003-07-01  621.0
2003-10-01  629.1
2004-01-01  631.0
2004-04-01  633.8
2004-07-01  643.3
2004-10-01  663.5
2005-01-01  636.5
2005-04-01  658.8
2005-07-01  688.6
2005-10-01  675.8
2006-01-01  682.8
2006-04-01  696.0
2006-07-01  690.3
2006-10-01  703.6
2007-01-01  722.2
2007-04-01  721.2
2007-07-01  732.9
2007-10-01  725.4
2008-01-01  740.1
2008-04-01  740.9
2008-07-01  741.4
2008-10-01  753.0
2009-01-01  755.1
2009-04-01  757.3
2009-07-01  756.4
2009-10-01  778.7
2010-01-01  746.4
2010-04-01  778.5
2010-07-01  772.9
2010-10-01  793.4
2011-01-01  774.6
2011-04-01  801.4
2011-07-01  815.9
2011-10-01  777.0
2012-01-01  815.8
2012-04-01  802.3
2012-07-01  807.4
2012-10-01  826.5
2013-01-01  823.1
2013-04-01  816.7
2013-07-01  819.1
2013-10-01  804.4
2014-01-01  840.7
2014-04-01  834.5
2014-07-01  836.0
2014-10-01  844.0
2015-01-01  861.6
2015-04-01  853.3
2015-07-01  864.6
2015-10-01  878.0
2016-01-01  843.1
2016-04-01  860.4
2016-07-01  896.8
2016-10-01  877.9
2017-01-01  889.4
2017-04-01  910.8
2017-07-01  877.0
2017-10-01  894.4
2018-01-01  908.7
