Title:               Total Quarterly Wages in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           ENUC472630010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.

DATE             VALUE
1990-01-01  2883488384
1990-04-01  2980532963
1990-07-01  2948092143
1990-10-01  3203494692
1991-01-01  2952926361
1991-04-01  3092697982
1991-07-01  3081188808
1991-10-01  3302682246
1992-01-01  3080287630
1992-04-01  3150383026
1992-07-01  3197591583
1992-10-01  3570415895
1993-01-01  3113461000
1993-04-01  3298760548
1993-07-01  3338228074
1993-10-01  3686425675
1994-01-01  3268495159
1994-04-01  3467453051
1994-07-01  3532982365
1994-10-01  3741070475
1995-01-01  3546550360
1995-04-01  3623207898
1995-07-01  3603628363
1995-10-01  3893347394
1996-01-01  3673793350
1996-04-01  3794522147
1996-07-01  3814659718
1996-10-01  4145386367
1997-01-01  3927572331
1997-04-01  4082752704
1997-07-01  4085281927
1997-10-01  4525022882
1998-01-01  4120408870
1998-04-01  4352275236
1998-07-01  4324657246
1998-10-01  4864787233
1999-01-01  4301341394
1999-04-01  4583234456
1999-07-01  4573424756
1999-10-01  5089529052
2000-01-01  4776981930
2000-04-01  4807876709
2000-07-01  4854756478
2000-10-01  5202428092
2001-01-01  5058346905
2001-04-01  5095642653
2001-07-01  5059019438
2001-10-01  5687336205
2002-01-01  5220954126
2002-04-01  5333001286
2002-07-01  5380937928
2002-10-01  5733937320
2003-01-01  5453010006
2003-04-01  5562705771
2003-07-01  5609755681
2003-10-01  6133117928
2004-01-01  5724818128
2004-04-01  5844132334
2004-07-01  5940233184
2004-10-01  6572738339
2005-01-01  5894869214
2005-04-01  6188299499
2005-07-01  6454826112
2005-10-01  6770070354
2006-01-01  6414549911
2006-04-01  6622614173
2006-07-01  6475848164
2006-10-01  7150326778
2007-01-01  6828219717
2007-04-01  6922150051
2007-07-01  6903602110
2007-10-01  7421834973
2008-01-01  6986692113
2008-04-01  7111042409
2008-07-01  6958486401
2008-10-01  7594552539
2009-01-01  6869931609
2009-04-01  6968643026
2009-07-01  6789768392
2009-10-01  7590710755
2010-01-01  6645543544
2010-04-01  7081314860
2010-07-01  6931598620
2010-10-01  7709008502
2011-01-01  6910518890
2011-04-01  7265938729
2011-07-01  7345245498
2011-10-01  7499872963
2012-01-01  7403235823
2012-04-01  7255522584
2012-07-01  7357067556
2012-10-01  8044011806
2013-01-01  7588691069
2013-04-01  7428397759
2013-07-01  7548922233
2013-10-01  7840402670
2014-01-01  7773598609
2014-04-01  7578724331
2014-07-01  7709620386
2014-10-01  8193833674
2015-01-01  8062288304
2015-04-01  7847402911
2015-07-01  8148464961
2015-10-01  8744895599
2016-01-01  7982207402
2016-04-01  7982935320
2016-07-01  8462437120
2016-10-01  8774521880
2017-01-01  8482604861
2017-04-01  8577385141
2017-07-01  8347315369
2017-10-01  9048540877
2018-01-01  8771097819
