Title:               Equifax Subprime Credit Population for Avery County, NC
Series ID:           EQFXSUBPRIME037011
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  31.795984807379273
1999-04-01  31.466965285554310
1999-07-01  28.729281767955800
1999-10-01  28.415300546448087
2000-01-01  28.856825749167590
2000-04-01  28.477185266630016
2000-07-01  27.094972067039110
2000-10-01  25.733401955738550
2001-01-01  26.287553648068666
2001-04-01  27.189682966147230
2001-07-01  25.686591276252020
2001-10-01  25.271739130434785
2002-01-01  25.747863247863243
2002-04-01  25.158227848101266
2002-07-01  25.705329153605017
2002-10-01  25.962539021852237
2003-01-01  26.483050847457630
2003-04-01  25.721925133689837
2003-07-01  25.372340425531913
2003-10-01  26.714207350521118
2004-01-01  27.561247216035632
2004-04-01  27.460850111856820
2004-07-01  27.692307692307693
2004-10-01  27.580174927113703
2005-01-01  27.980826842420610
2005-04-01  26.242774566473987
2005-07-01  25.352112676056336
2005-10-01  27.124773960217000
2006-01-01  27.221526908635795
2006-04-01  28.242424242424242
2006-07-01  25.153717160424822
2006-10-01  26.827757125154893
2007-01-01  28.780487804878046
2007-04-01  26.453488372093027
2007-07-01  24.859075535512964
2007-10-01  27.439024390243905
2008-01-01  27.905449770190415
2008-04-01  27.319587628865980
2008-07-01  25.637755102040817
2008-10-01  27.327528466175487
2009-01-01  28.706838185511170
2009-04-01  28.328804347826086
2009-07-01  26.526717557251910
2009-10-01  28.879610299234514
2010-01-01  28.060522696011002
2010-04-01  27.586206896551722
2010-07-01  27.539195637355146
2010-10-01  30.234208658623135
2011-01-01  27.867698803659398
2011-04-01  28.660652324774460
2011-07-01  26.525198938992045
2011-10-01  27.433004231311710
2012-01-01  26.571428571428573
2012-04-01  25.464556090846525
2012-07-01  25.034013605442180
2012-10-01  25.649794801641583
2013-01-01  24.491180461329716
2013-04-01  24.593495934959350
2013-07-01  24.191461836998705
2013-10-01  24.488491048593350
2014-01-01  24.904701397712834
2014-04-01  25.210084033613445
2014-07-01  24.317768344451180
2014-10-01  25.743162901307965
2015-01-01  25.756676557863500
2015-04-01  25.744934445768774
2015-07-01  25.332527206771466
2015-10-01  25.135297654840650
2016-01-01  25.124069478908190
2016-04-01  25.151883353584450
2016-07-01  24.527186761229313
2016-10-01  25.132743362831860
2017-01-01  24.004825090470447
2017-04-01  25.989367985823980
2017-07-01  24.894003634161113
2017-10-01  24.567901234567902
2018-01-01  24.191542288557212
2018-04-01  23.000000000000000
2018-07-01  22.291797119599250
