Title:               Average Weekly Wages for Employees in Total Covered Establishments in Winston-Salem, NC (MSA)
Series ID:           ENUC491840010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   442
1990-04-01   421
1990-07-01   428
1990-10-01   461
1991-01-01   442
1991-04-01   448
1991-07-01   451
1991-10-01   473
1992-01-01   460
1992-04-01   452
1992-07-01   468
1992-10-01   526
1993-01-01   453
1993-04-01   467
1993-07-01   482
1993-10-01   531
1994-01-01   478
1994-04-01   471
1994-07-01   506
1994-10-01   522
1995-01-01   517
1995-04-01   493
1995-07-01   510
1995-10-01   537
1996-01-01   524
1996-04-01   509
1996-07-01   519
1996-10-01   554
1997-01-01   545
1997-04-01   527
1997-07-01   533
1997-10-01   598
1998-01-01   563
1998-04-01   559
1998-07-01   567
1998-10-01   627
1999-01-01   570
1999-04-01   570
1999-07-01   593
1999-10-01   632
2000-01-01   630
2000-04-01   594
2000-07-01   610
2000-10-01   686
2001-01-01   653
2001-04-01   628
2001-07-01   622
2001-10-01   659
2002-01-01   657
2002-04-01   636
2002-07-01   650
2002-10-01   674
2003-01-01   681
2003-04-01   646
2003-07-01   678
2003-10-01   703
2004-01-01   698
2004-04-01   652
2004-07-01   723
2004-10-01   739
2005-01-01   694
2005-04-01   675
2005-07-01   727
2005-10-01   722
2006-01-01   729
2006-04-01   693
2006-07-01   720
2006-10-01   758
2007-01-01   753
2007-04-01   739
2007-07-01   727
2007-10-01   774
2008-01-01   793
2008-04-01   733
2008-07-01   741
2008-10-01   793
2009-01-01   774
2009-04-01   739
2009-07-01   740
2009-10-01   814
2010-01-01   789
2010-04-01   766
2010-07-01   763
2010-10-01   843
2011-01-01   846
2011-04-01   777
2011-07-01   815
2011-10-01   818
2012-01-01   894
2012-04-01   779
2012-07-01   801
2012-10-01   847
2013-01-01   843
2013-04-01   773
2013-07-01   787
2013-10-01   825
2014-01-01   914
2014-04-01   779
2014-07-01   822
2014-10-01   862
2015-01-01   910
2015-04-01   849
2015-07-01   820
2015-10-01   903
2016-01-01   910
2016-04-01   810
2016-07-01   847
2016-10-01   888
2017-01-01   991
2017-04-01   855
2017-07-01   896
2017-10-01   934
2018-01-01   959
