Title:               Total Quarterly Wages in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           ENUC472630010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE             VALUE
1990-01-01  2992893821
1990-04-01  3010563213
1990-07-01  2996077469
1990-10-01  3012402404
1991-01-01  3069462413
1991-04-01  3122949941
1991-07-01  3128490640
1991-10-01  3107508554
1992-01-01  3203384951
1992-04-01  3180609855
1992-07-01  3243205527
1992-10-01  3364212265
1993-01-01  3235158901
1993-04-01  3330855791
1993-07-01  3382557493
1993-10-01  3481475300
1994-01-01  3389794302
1994-04-01  3499979950
1994-07-01  3582029059
1994-10-01  3537461154
1995-01-01  3672821760
1995-04-01  3653509993
1995-07-01  3659136478
1995-10-01  3684626577
1996-01-01  3799266666
1996-04-01  3820301422
1996-07-01  3884941812
1996-10-01  3921499640
1997-01-01  4055289601
1997-04-01  4109629916
1997-07-01  4169368664
1997-10-01  4279366560
1998-01-01  4245587393
1998-04-01  4382946592
1998-07-01  4425512050
1998-10-01  4592060365
1999-01-01  4427034006
1999-04-01  4622049263
1999-07-01  4681104766
1999-10-01  4806380759
2000-01-01  4905022050
2000-04-01  4856845839
2000-07-01  4968443267
2000-10-01  4916624514
2001-01-01  5181156731
2001-04-01  5160427203
2001-07-01  5167156165
2001-10-01  5385339293
2002-01-01  5337098160
2002-04-01  5408960014
2002-07-01  5489469027
2002-10-01  5432091960
2003-01-01  5576169520
2003-04-01  5640811859
2003-07-01  5717929086
2003-10-01  5815298331
2004-01-01  5857200860
2004-04-01  5918441296
2004-07-01  6056229289
2004-10-01  6237085334
2005-01-01  6030746966
2005-04-01  6258860456
2005-07-01  6586817314
2005-10-01  6427752395
2006-01-01  6559305664
2006-04-01  6690470975
2006-07-01  6622745639
2006-10-01  6776266243
2007-01-01  6993744734
2007-04-01  6979209994
2007-07-01  7082107045
2007-10-01  7008319718
2008-01-01  7177012596
2008-04-01  7162575127
2008-07-01  7144681657
2008-10-01  7156802997
2009-01-01  7068956780
2009-04-01  7021352632
2009-07-01  6970287795
2009-10-01  7145797366
2010-01-01  6837404715
2010-04-01  7152248011
2010-07-01  7093506977
2010-10-01  7279651230
2011-01-01  7081935910
2011-04-01  7363861257
2011-07-01  7493715467
2011-10-01  7114961513
2012-01-01  7537594255
2012-04-01  7391523899
2012-07-01  7472421526
2012-10-01  7677213979
2013-01-01  7669591109
2013-04-01  7608527837
2013-07-01  7639584946
2013-10-01  7512131809
2014-01-01  7822300369
2014-04-01  7785507458
2014-07-01  7788014271
2014-10-01  7864547093
2015-01-01  8102072207
2015-04-01  8061694943
2015-07-01  8235902409
2015-10-01  8388624281
2016-01-01  8031418456
2016-04-01  8186408864
2016-07-01  8565497882
2016-10-01  8406654874
2017-01-01  8549350411
2017-04-01  8781186087
2017-07-01  8458890930
2017-10-01  8660381095
2018-01-01  8852763237
