Title:               Number of Private Establishments for All Industries in Moore County, NC
Series ID:           ENU3712520510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1438
1990-04-01  1443
1990-07-01  1430
1990-10-01  1482
1991-01-01  1486
1991-04-01  1480
1991-07-01  1502
1991-10-01  1504
1992-01-01  1524
1992-04-01  1523
1992-07-01  1523
1992-10-01  1538
1993-01-01  1560
1993-04-01  1597
1993-07-01  1607
1993-10-01  1626
1994-01-01  1620
1994-04-01  1632
1994-07-01  1661
1994-10-01  1697
1995-01-01  1684
1995-04-01  1706
1995-07-01  1718
1995-10-01  1768
1996-01-01  1777
1996-04-01  1804
1996-07-01  1820
1996-10-01  1833
1997-01-01  1864
1997-04-01  1908
1997-07-01  1923
1997-10-01  1920
1998-01-01  1939
1998-04-01  1956
1998-07-01  1954
1998-10-01  1988
1999-01-01  2005
1999-04-01  2057
1999-07-01  2115
1999-10-01  2138
2000-01-01  2149
2000-04-01  2179
2000-07-01  2200
2000-10-01  2206
2001-01-01  2202
2001-04-01  2218
2001-07-01  2213
2001-10-01  2226
2002-01-01  2241
2002-04-01  2241
2002-07-01  2252
2002-10-01  2261
2003-01-01  2110
2003-04-01  2126
2003-07-01  2141
2003-10-01  2142
2004-01-01  2154
2004-04-01  2167
2004-07-01  2181
2004-10-01  2189
2005-01-01  2174
2005-04-01  2204
2005-07-01  2245
2005-10-01  2246
2006-01-01  2266
2006-04-01  2274
2006-07-01  2299
2006-10-01  2315
2007-01-01  2378
2007-04-01  2377
2007-07-01  2378
2007-10-01  2406
2008-01-01  2434
2008-04-01  2425
2008-07-01  2434
2008-10-01  2454
2009-01-01  2444
2009-04-01  2415
2009-07-01  2389
2009-10-01  2367
2010-01-01  2344
2010-04-01  2357
2010-07-01  2349
2010-10-01  2376
2011-01-01  2378
2011-04-01  2393
2011-07-01  2421
2011-10-01  2418
2012-01-01  2399
2012-04-01  2405
2012-07-01  2406
2012-10-01  2423
2013-01-01  2354
2013-04-01  2349
2013-07-01  2352
2013-10-01  2376
2014-01-01  2383
2014-04-01  2380
2014-07-01  2389
2014-10-01  2389
2015-01-01  2423
2015-04-01  2427
2015-07-01  2430
2015-10-01  2459
2016-01-01  2468
2016-04-01  2466
2016-07-01  2411
2016-10-01  2442
2017-01-01  2466
2017-04-01  2454
2017-07-01  2455
2017-10-01  2459
2018-01-01  2487
