Title:               Number of Private Establishments for All Industries in Nash County, NC
Series ID:           ENU3712720510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1790
1990-04-01  1836
1990-07-01  1846
1990-10-01  1865
1991-01-01  1878
1991-04-01  1874
1991-07-01  1884
1991-10-01  1924
1992-01-01  1910
1992-04-01  1903
1992-07-01  1920
1992-10-01  1907
1993-01-01  1912
1993-04-01  1920
1993-07-01  1915
1993-10-01  1926
1994-01-01  1934
1994-04-01  1945
1994-07-01  1942
1994-10-01  1962
1995-01-01  1953
1995-04-01  1961
1995-07-01  1970
1995-10-01  2003
1996-01-01  2002
1996-04-01  2010
1996-07-01  2027
1996-10-01  2049
1997-01-01  2040
1997-04-01  2060
1997-07-01  2101
1997-10-01  2091
1998-01-01  2089
1998-04-01  2075
1998-07-01  2111
1998-10-01  2122
1999-01-01  2161
1999-04-01  2184
1999-07-01  2224
1999-10-01  2257
2000-01-01  2262
2000-04-01  2270
2000-07-01  2273
2000-10-01  2260
2001-01-01  2253
2001-04-01  2291
2001-07-01  2288
2001-10-01  2290
2002-01-01  2323
2002-04-01  2340
2002-07-01  2358
2002-10-01  2336
2003-01-01  2212
2003-04-01  2224
2003-07-01  2229
2003-10-01  2236
2004-01-01  2245
2004-04-01  2231
2004-07-01  2249
2004-10-01  2253
2005-01-01  2246
2005-04-01  2232
2005-07-01  2249
2005-10-01  2243
2006-01-01  2251
2006-04-01  2276
2006-07-01  2301
2006-10-01  2308
2007-01-01  2348
2007-04-01  2358
2007-07-01  2384
2007-10-01  2385
2008-01-01  2383
2008-04-01  2329
2008-07-01  2321
2008-10-01  2321
2009-01-01  2290
2009-04-01  2274
2009-07-01  2268
2009-10-01  2294
2010-01-01  2274
2010-04-01  2289
2010-07-01  2302
2010-10-01  2310
2011-01-01  2329
2011-04-01  2314
2011-07-01  2322
2011-10-01  2311
2012-01-01  2330
2012-04-01  2328
2012-07-01  2254
2012-10-01  2229
2013-01-01  2172
2013-04-01  2163
2013-07-01  2139
2013-10-01  2135
2014-01-01  2151
2014-04-01  2132
2014-07-01  2127
2014-10-01  2127
2015-01-01  2156
2015-04-01  2172
2015-07-01  2166
2015-10-01  2158
2016-01-01  2124
2016-04-01  2108
2016-07-01  2057
2016-10-01  2064
2017-01-01  2065
2017-04-01  2068
2017-07-01  2060
2017-10-01  2075
2018-01-01  2074
